"","date","CSGS"
"1","2007-01-03",26.059999
"2","2007-01-04",26.5
"3","2007-01-05",26.17
"4","2007-01-08",26.09
"5","2007-01-09",26.24
"6","2007-01-10",26.040001
"7","2007-01-11",26.059999
"8","2007-01-12",26.540001
"9","2007-01-16",26.76
"10","2007-01-17",26.43
"11","2007-01-18",25.83
"12","2007-01-19",25.82
"13","2007-01-22",25.700001
"14","2007-01-23",25.75
"15","2007-01-24",24.530001
"16","2007-01-25",24.27
"17","2007-01-26",24.799999
"18","2007-01-29",24.76
"19","2007-01-30",24.98
"20","2007-01-31",25.08
"21","2007-02-01",25.280001
"22","2007-02-02",25.15
"23","2007-02-05",24.5
"24","2007-02-06",24.68
"25","2007-02-07",24.84
"26","2007-02-08",25.15
"27","2007-02-09",24.719999
"28","2007-02-12",24.719999
"29","2007-02-13",25.059999
"30","2007-02-14",25.07
"31","2007-02-15",25.379999
"32","2007-02-16",25.49
"33","2007-02-20",25.16
"34","2007-02-21",25.629999
"35","2007-02-22",25.58
"36","2007-02-23",25.51
"37","2007-02-26",25.35
"38","2007-02-27",24.34
"39","2007-02-28",24.66
"40","2007-03-01",24.75
"41","2007-03-02",24.469999
"42","2007-03-05",24.24
"43","2007-03-06",24.68
"44","2007-03-07",24.379999
"45","2007-03-08",24.469999
"46","2007-03-09",24.540001
"47","2007-03-12",24.66
"48","2007-03-13",24.360001
"49","2007-03-14",24.709999
"50","2007-03-15",24.85
"51","2007-03-16",24.58
"52","2007-03-19",24.950001
"53","2007-03-20",24.83
"54","2007-03-21",25.049999
"55","2007-03-22",24.98
"56","2007-03-23",24.93
"57","2007-03-26",25.309999
"58","2007-03-27",25.23
"59","2007-03-28",25.280001
"60","2007-03-29",24.92
"61","2007-03-30",25.02
"62","2007-04-02",24.99
"63","2007-04-03",25.09
"64","2007-04-04",25.02
"65","2007-04-05",25.02
"66","2007-04-09",24.84
"67","2007-04-10",24.91
"68","2007-04-11",24.68
"69","2007-04-12",24.889999
"70","2007-04-13",25.110001
"71","2007-04-16",25.540001
"72","2007-04-17",25.879999
"73","2007-04-18",25.370001
"74","2007-04-19",25.389999
"75","2007-04-20",26.01
"76","2007-04-23",25.549999
"77","2007-04-24",25.870001
"78","2007-04-25",27.01
"79","2007-04-26",26.790001
"80","2007-04-27",26.77
"81","2007-04-30",26.780001
"82","2007-05-01",26.98
"83","2007-05-02",27.02
"84","2007-05-03",27.110001
"85","2007-05-04",27.959999
"86","2007-05-07",27.26
"87","2007-05-08",27.559999
"88","2007-05-09",27.559999
"89","2007-05-10",27.16
"90","2007-05-11",27.51
"91","2007-05-14",26.98
"92","2007-05-15",26.99
"93","2007-05-16",27.200001
"94","2007-05-17",27.110001
"95","2007-05-18",27.07
"96","2007-05-21",27.219999
"97","2007-05-22",27.49
"98","2007-05-23",27.58
"99","2007-05-24",26.809999
"100","2007-05-25",27.23
"101","2007-05-29",26.99
"102","2007-05-30",27.379999
"103","2007-05-31",27.799999
"104","2007-06-01",28.219999
"105","2007-06-04",27.83
"106","2007-06-05",27.379999
"107","2007-06-06",27.15
"108","2007-06-07",26.540001
"109","2007-06-08",26.870001
"110","2007-06-11",26.67
"111","2007-06-12",26.66
"112","2007-06-13",27.030001
"113","2007-06-14",27.02
"114","2007-06-15",26.969999
"115","2007-06-18",27.120001
"116","2007-06-19",27.16
"117","2007-06-20",26.459999
"118","2007-06-21",26.889999
"119","2007-06-22",26.49
"120","2007-06-25",26.24
"121","2007-06-26",26.35
"122","2007-06-27",26.309999
"123","2007-06-28",26.629999
"124","2007-06-29",26.51
"125","2007-07-02",26.58
"126","2007-07-03",26.52
"127","2007-07-05",26.5
"128","2007-07-06",26.67
"129","2007-07-09",26.549999
"130","2007-07-10",26.440001
"131","2007-07-11",26.379999
"132","2007-07-12",27.09
"133","2007-07-13",26.83
"134","2007-07-16",26.65
"135","2007-07-17",26.6
"136","2007-07-18",26.540001
"137","2007-07-19",26.370001
"138","2007-07-20",25.790001
"139","2007-07-23",25.9
"140","2007-07-24",25.040001
"141","2007-07-25",26.780001
"142","2007-07-26",24.969999
"143","2007-07-27",24.370001
"144","2007-07-30",24.58
"145","2007-07-31",25.02
"146","2007-08-01",25.66
"147","2007-08-02",25.559999
"148","2007-08-03",23.99
"149","2007-08-06",24.23
"150","2007-08-07",23.799999
"151","2007-08-08",21.35
"152","2007-08-09",20.959999
"153","2007-08-10",22.01
"154","2007-08-13",22.76
"155","2007-08-14",22.440001
"156","2007-08-15",22.52
"157","2007-08-16",22.73
"158","2007-08-17",23.110001
"159","2007-08-20",23.1
"160","2007-08-21",23.25
"161","2007-08-22",23.43
"162","2007-08-23",23.5
"163","2007-08-24",23.82
"164","2007-08-27",23.780001
"165","2007-08-28",23.07
"166","2007-08-29",23.48
"167","2007-08-30",23.35
"168","2007-08-31",23.120001
"169","2007-09-04",23.030001
