"","date","VLRS"
"1","2013-09-18",14.01
"2","2013-09-19",13.81
"3","2013-09-20",13.83
"4","2013-09-23",14
"5","2013-09-24",14.53
"6","2013-09-25",14.76
"7","2013-09-26",14.91
"8","2013-09-27",14.8
"9","2013-09-30",14.5
"10","2013-10-01",15.14
"11","2013-10-02",14.97
"12","2013-10-03",14.77
"13","2013-10-04",14.99
"14","2013-10-07",14.82
"15","2013-10-08",14.33
"16","2013-10-09",14.29
"17","2013-10-10",14.47
"18","2013-10-11",14.39
"19","2013-10-14",14.29
"20","2013-10-15",14.16
"21","2013-10-16",13.8
"22","2013-10-17",14.04
"23","2013-10-18",14.09
"24","2013-10-21",13.74
"25","2013-10-22",13.43
"26","2013-10-23",13.19
"27","2013-10-24",12.86
"28","2013-10-25",13.31
"29","2013-10-28",13.06
"30","2013-10-29",13.18
"31","2013-10-30",13.45
"32","2013-10-31",13.56
"33","2013-11-01",13.31
"34","2013-11-04",13.4
"35","2013-11-05",13.2
"36","2013-11-06",13.24
"37","2013-11-07",13.13
"38","2013-11-08",12.97
"39","2013-11-11",12.65
"40","2013-11-12",12.7
"41","2013-11-13",12.74
"42","2013-11-14",13.01
"43","2013-11-15",13.17
"44","2013-11-18",12.83
"45","2013-11-19",12.96
"46","2013-11-20",12.84
"47","2013-11-21",13.09
"48","2013-11-22",14.24
"49","2013-11-25",14.22
"50","2013-11-26",14.04
"51","2013-11-27",14.02
"52","2013-11-29",14.14
"53","2013-12-02",14.5
"54","2013-12-03",14.53
"55","2013-12-04",14.75
"56","2013-12-05",14.83
"57","2013-12-06",14.78
"58","2013-12-09",15
"59","2013-12-10",15
"60","2013-12-11",14.88
"61","2013-12-12",14.92
"62","2013-12-13",14.56
"63","2013-12-16",14.7
"64","2013-12-17",14.61
"65","2013-12-18",14.68
"66","2013-12-19",14.14
"67","2013-12-20",14.02
"68","2013-12-23",13.58
"69","2013-12-24",13.83
"70","2013-12-26",13.72
"71","2013-12-27",13.65
"72","2013-12-30",13.55
"73","2013-12-31",13.55
"74","2014-01-02",13.5
"75","2014-01-03",13.97
"76","2014-01-06",13.89
"77","2014-01-07",13.7
"78","2014-01-08",13.75
"79","2014-01-09",13.71
"80","2014-01-10",13.78
"81","2014-01-13",13.72
"82","2014-01-14",13.7
"83","2014-01-15",13.75
"84","2014-01-16",13.49
"85","2014-01-17",12.71
"86","2014-01-21",12.4
"87","2014-01-22",12.28
"88","2014-01-23",11.98
"89","2014-01-24",11.7
"90","2014-01-27",11.63
"91","2014-01-28",11.89
"92","2014-01-29",11.65
"93","2014-01-30",11.79
"94","2014-01-31",11.64
"95","2014-02-03",11.35
"96","2014-02-04",11.29
"97","2014-02-05",11.28
"98","2014-02-06",11.1
"99","2014-02-07",11.01
"100","2014-02-10",11.39
"101","2014-02-11",11.18
"102","2014-02-12",11.35
"103","2014-02-13",11.36
"104","2014-02-14",11.36
"105","2014-02-18",11.54
"106","2014-02-19",11.44
"107","2014-02-20",11.46
"108","2014-02-21",11.45
"109","2014-02-24",11.31
"110","2014-02-25",11.39
"111","2014-02-26",9.9
"112","2014-02-27",9.41
"113","2014-02-28",9.28
"114","2014-03-03",9.12
"115","2014-03-04",9.13
"116","2014-03-05",9.49
"117","2014-03-06",9.68
"118","2014-03-07",9.5
"119","2014-03-10",9.26
"120","2014-03-11",9.21
"121","2014-03-12",9.04
"122","2014-03-13",8.89
"123","2014-03-14",8.84
"124","2014-03-17",8.98
"125","2014-03-18",8.7
"126","2014-03-19",8.71
"127","2014-03-20",8.71
"128","2014-03-21",8.43
"129","2014-03-24",8.34
"130","2014-03-25",8.26
"131","2014-03-26",8.07
"132","2014-03-27",7.97
"133","2014-03-28",8.35
"134","2014-03-31",8.3
"135","2014-04-01",8.31
"136","2014-04-02",8.19
"137","2014-04-03",8.02
"138","2014-04-04",7.99
"139","2014-04-07",7.71
"140","2014-04-08",7.37
"141","2014-04-09",7.38
"142","2014-04-10",7.07
"143","2014-04-11",7.01
"144","2014-04-14",7.08
"145","2014-04-15",7.04
"146","2014-04-16",7.21
"147","2014-04-17",7.29
"148","2014-04-21",7.38
"149","2014-04-22",7.32
"150","2014-04-23",7.29
"151","2014-04-24",7.34
