"","date","RSSS"
"1","2010-11-15",1.89
"2","2010-11-16",1.85
"3","2010-11-17",1.86
"4","2010-11-18",1.86
"5","2010-11-19",1.86
"6","2010-11-22",1.89
"7","2010-11-23",1.9
"8","2010-11-24",2.05
"9","2010-11-26",2
"10","2010-11-29",2.02
"11","2010-11-30",2.05
"12","2010-12-01",2.2
"13","2010-12-02",2.25
"14","2010-12-03",2.1
"15","2010-12-06",2.1
"16","2010-12-07",2.1
"17","2010-12-08",2.1
"18","2010-12-09",2.11
"19","2010-12-10",2.1
"20","2010-12-13",2.1
"21","2010-12-14",2.19
"22","2010-12-15",2.1
"23","2010-12-16",2.15
"24","2010-12-17",2.15
"25","2010-12-20",2.25
"26","2010-12-21",2.23
"27","2010-12-22",2.23
"28","2010-12-23",2.4
"29","2010-12-27",2.5
"30","2010-12-28",2.65
"31","2010-12-29",2.65
"32","2010-12-30",2.6
"33","2010-12-31",2.65
"34","2011-01-03",2.69
"35","2011-01-04",2.8
"36","2011-01-05",2.75
"37","2011-01-06",2.9
"38","2011-01-07",2.95
"39","2011-01-10",2.95
"40","2011-01-11",3
"41","2011-01-12",3.05
"42","2011-01-13",3
"43","2011-01-14",2.98
"44","2011-01-18",3.05
"45","2011-01-19",3.03
"46","2011-01-20",3.05
"47","2011-01-21",3.1
"48","2011-01-24",3
"49","2011-01-25",3.1
"50","2011-01-26",3.05
"51","2011-01-27",3.05
"52","2011-01-28",3.05
"53","2011-01-31",2.95
"54","2011-02-01",3
"55","2011-02-02",3
"56","2011-02-03",3
"57","2011-02-04",2.9
"58","2011-02-07",3
"59","2011-02-08",3
"60","2011-02-09",3.05
"61","2011-02-10",2.95
"62","2011-02-11",2.95
"63","2011-02-14",3.12
"64","2011-02-15",3.4
"65","2011-02-16",3.27
"66","2011-02-17",3.4
"67","2011-02-18",3.5
"68","2011-02-22",3.6
"69","2011-02-23",3.6
"70","2011-02-24",3.65
"71","2011-02-25",3.6
"72","2011-02-28",3.75
"73","2011-03-01",3.75
"74","2011-03-02",3.6
