"","date","SII"
"1","2010-02-22",39.599998
"2","2010-02-23",39.599998
"3","2010-02-24",39.599998
"4","2010-02-25",40.900002
"5","2010-02-26",40.900002
"6","2010-03-01",40.900002
"7","2010-03-02",40.900002
"8","2010-03-03",40.900002
"9","2010-03-04",40.900002
"10","2010-03-05",40.900002
"11","2010-03-08",40.900002
"12","2010-03-09",40.900002
"13","2010-03-10",40.900002
"14","2010-03-11",40.900002
"15","2010-03-12",40.900002
"16","2010-03-15",40.900002
"17","2010-03-16",40.900002
"18","2010-03-17",40.900002
"19","2010-03-18",40.900002
"20","2010-03-19",40.900002
"21","2010-03-22",40.900002
"22","2010-03-23",40.900002
"23","2010-03-24",40.900002
"24","2010-03-25",42.299999
"25","2010-03-26",42.299999
"26","2010-03-29",39.599998
"27","2010-03-30",39.599998
"28","2010-03-31",39.599998
"29","2010-04-01",39.599998
"30","2010-04-05",39.599998
"31","2010-04-06",39.599998
"32","2010-04-07",39.599998
"33","2010-04-08",39.599998
"34","2010-04-09",39.599998
"35","2010-04-12",39.599998
"36","2010-04-13",39.900002
"37","2010-04-14",39.900002
"38","2010-04-15",38
"39","2010-04-16",38
"40","2010-04-19",38
"41","2010-04-20",38
"42","2010-04-21",38
"43","2010-04-22",38
"44","2010-04-23",38.200001
"45","2010-04-26",39.099998
"46","2010-04-27",38.799999
"47","2010-04-28",38.799999
"48","2010-04-29",38.799999
"49","2010-04-30",38.799999
"50","2010-05-03",38.799999
"51","2010-05-04",38.799999
"52","2010-05-05",38.700001
"53","2010-05-06",38.700001
"54","2010-05-07",38.700001
"55","2010-05-10",38.700001
"56","2010-05-11",39
"57","2010-05-12",39
"58","2010-05-13",41.400002
"59","2010-05-14",41.400002
"60","2010-05-17",41.400002
"61","2010-05-18",41.400002
"62","2010-05-19",41.400002
"63","2010-05-20",41.400002
"64","2010-05-21",35.5
"65","2010-05-24",35.5
"66","2010-05-25",33.700001
"67","2010-05-26",33.700001
"68","2010-05-27",33.700001
"69","2010-05-28",33.700001
