"","date","TOPS"
"1","2007-01-03",882630000640
"2","2007-01-04",878850015232
"3","2007-01-05",884519993344
"4","2007-01-08",903419985920
"5","2007-01-09",907199971328
"6","2007-01-10",907199971328
"7","2007-01-11",952559992832
"8","2007-01-12",937439985664
"9","2007-01-16",907199971328
"10","2007-01-17",878850015232
"11","2007-01-18",914760007680
"12","2007-01-19",931770007552
"13","2007-01-22",897750007808
"14","2007-01-23",910980022272
"15","2007-01-24",914760007680
"16","2007-01-25",914760007680
"17","2007-01-26",916650000384
"18","2007-01-29",931770007552
"19","2007-01-30",946890014720
"20","2007-01-31",948780007424
"21","2007-02-01",975239970816
"22","2007-02-02",979020021760
"23","2007-02-05",975239970816
"24","2007-02-06",960120029184
"25","2007-02-07",945000022016
"26","2007-02-08",937439985664
"27","2007-02-09",941219971072
"28","2007-02-12",927990022144
"29","2007-02-13",937439985664
"30","2007-02-14",927990022144
"31","2007-02-15",924209971200
"32","2007-02-16",939329978368
"33","2007-02-20",931770007552
"34","2007-02-21",931770007552
"35","2007-02-22",933660000256
"36","2007-02-23",939329978368
"37","2007-02-26",926100029440
"38","2007-02-27",905309978624
"39","2007-02-28",912870014976
"40","2007-03-01",916650000384
"41","2007-03-02",901529993216
"42","2007-03-05",931770007552
"43","2007-03-06",948780007424
"44","2007-03-07",948780007424
"45","2007-03-08",918539993088
"46","2007-03-09",920429985792
"47","2007-03-12",905309978624
"48","2007-03-13",884519993344
"49","2007-03-14",888299978752
"50","2007-03-15",880740007936
"51","2007-03-16",865620000768
"52","2007-03-19",842940022784
"53","2007-03-20",863730008064
"54","2007-03-21",858060029952
"55","2007-03-22",869399986176
"56","2007-03-23",865620000768
"57","2007-03-26",871289978880
"58","2007-03-27",861840015360
"59","2007-03-28",854279979008
"60","2007-03-29",861840015360
"61","2007-03-30",880740007936
"62","2007-04-02",888299978752
"63","2007-04-03",886409986048
"64","2007-04-04",875070029824
"65","2007-04-05",876960022528
"66","2007-04-09",859950022656
"67","2007-04-10",863730008064
"68","2007-04-11",863730008064
"69","2007-04-12",869399986176
"70","2007-04-13",867509993472
"71","2007-04-16",869399986176
"72","2007-04-17",867509993472
"73","2007-04-18",865620000768
"74","2007-04-19",865620000768
"75","2007-04-20",875070029824
"76","2007-04-23",882630000640
"77","2007-04-24",876960022528
"78","2007-04-25",895860015104
"79","2007-04-26",890189971456
"80","2007-04-27",890189971456
"81","2007-04-30",875070029824
"82","2007-05-01",869399986176
"83","2007-05-02",875070029824
"84","2007-05-03",858060029952
"85","2007-05-04",871289978880
"86","2007-05-07",861840015360
"87","2007-05-08",861840015360
"88","2007-05-09",875070029824
"89","2007-05-10",867509993472
"90","2007-05-11",882630000640
"91","2007-05-14",875070029824
"92","2007-05-15",895860015104
"93","2007-05-16",916650000384
"94","2007-05-17",948780007424
"95","2007-05-18",1035719999488
"96","2007-05-21",1094309969920
"97","2007-05-22",1116989947904
"98","2007-05-23",1133999947776
"99","2007-05-24",1116989947904
"100","2007-05-25",1139669991424
"101","2007-05-29",1164239962112
"102","2007-05-30",1160459976704
"103","2007-05-31",1162350034944
"104","2007-06-01",1177469976576
"105","2007-06-04",1207709990912
"106","2007-06-05",1224719990784
"107","2007-06-06",1200150020096
"108","2007-06-07",1186920005632
"109","2007-06-08",1241729990656
"110","2007-06-11",1258739990528
"111","2007-06-12",1247400034304
"112","2007-06-13",1277640048640
"113","2007-06-14",1273860063232
"114","2007-06-15",1271970004992
"115","2007-06-18",1300319961088
"116","2007-06-19",1323000004608
"117","2007-06-20",1336230019072
"118","2007-06-21",1370250018816
"119","2007-06-22",1340010004480
"120","2007-06-25",1323000004608
"121","2007-06-26",1357020004352
"122","2007-06-27",1379700047872
"123","2007-06-28",1385369960448
"124","2007-06-29",1357020004352
"125","2007-07-02",1387260018688
"126","2007-07-03",1417500033024
