"","date","FBC"
"1","2007-01-03",1494
"2","2007-01-04",1496
"3","2007-01-05",1461
"4","2007-01-08",1464
"5","2007-01-09",1459
"6","2007-01-10",1449
"7","2007-01-11",1461
"8","2007-01-12",1476
"9","2007-01-16",1488
"10","2007-01-17",1465
"11","2007-01-18",1458
"12","2007-01-19",1476
"13","2007-01-22",1479
"14","2007-01-23",1462
"15","2007-01-24",1492
"16","2007-01-25",1449
"17","2007-01-26",1468
"18","2007-01-29",1472
"19","2007-01-30",1455
"20","2007-01-31",1451
"21","2007-02-01",1436
"22","2007-02-02",1478
"23","2007-02-05",1473
"24","2007-02-06",1485
"25","2007-02-07",1485
"26","2007-02-08",1483
"27","2007-02-09",1456
"28","2007-02-12",1458
"29","2007-02-13",1475
"30","2007-02-14",1472
"31","2007-02-15",1460
"32","2007-02-16",1461
"33","2007-02-20",1473
"34","2007-02-21",1462
"35","2007-02-22",1460
"36","2007-02-23",1444
"37","2007-02-26",1426
"38","2007-02-27",1396
"39","2007-02-28",1380
"40","2007-03-01",1369
"41","2007-03-02",1354
"42","2007-03-05",1234
"43","2007-03-06",1295
"44","2007-03-07",1299
"45","2007-03-08",1292
"46","2007-03-09",1290
"47","2007-03-12",1284
"48","2007-03-13",1223
"49","2007-03-14",1222
"50","2007-03-15",1267
"51","2007-03-16",1265
"52","2007-03-19",1272
"53","2007-03-20",1293
"54","2007-03-21",1328
"55","2007-03-22",1291
"56","2007-03-23",1280
"57","2007-03-26",1248
"58","2007-03-27",1225
"59","2007-03-28",1214
"60","2007-03-29",1211
"61","2007-03-30",1195
"62","2007-04-02",1171
"63","2007-04-03",1199
"64","2007-04-04",1178
"65","2007-04-05",1183
"66","2007-04-09",1164
"67","2007-04-10",1150
"68","2007-04-11",1130
"69","2007-04-12",1148
"70","2007-04-13",1167
"71","2007-04-16",1198
"72","2007-04-17",1201
"73","2007-04-18",1236
"74","2007-04-19",1228
"75","2007-04-20",1237
"76","2007-04-23",1226
"77","2007-04-24",1210
"78","2007-04-25",1212
"79","2007-04-26",1208
"80","2007-04-27",1199
"81","2007-04-30",1180
"82","2007-05-01",1186
"83","2007-05-02",1228
"84","2007-05-03",1233
"85","2007-05-04",1242
"86","2007-05-07",1235
"87","2007-05-08",1253
"88","2007-05-09",1261
"89","2007-05-10",1260
"90","2007-05-11",1270
"91","2007-05-14",1261
"92","2007-05-15",1261
"93","2007-05-16",1264
"94","2007-05-17",1263
"95","2007-05-18",1269
"96","2007-05-21",1316
"97","2007-05-22",1343
"98","2007-05-23",1343
"99","2007-05-24",1295
"100","2007-05-25",1309
"101","2007-05-29",1305
"102","2007-05-30",1293
"103","2007-05-31",1286
"104","2007-06-01",1295
"105","2007-06-04",1299
"106","2007-06-05",1292
"107","2007-06-06",1286
"108","2007-06-07",1276
"109","2007-06-08",1294
"110","2007-06-11",1280
"111","2007-06-12",1257
"112","2007-06-13",1257
"113","2007-06-14",1258
"114","2007-06-15",1289
