"","date","DOCU"
"1","2018-04-27",39.73
"2","2018-04-30",38.630001
"3","2018-05-01",39.450001
"4","2018-05-02",39.32
"5","2018-05-03",41.959999
"6","2018-05-04",41.09
"7","2018-05-07",41.310001
"8","2018-05-08",43.220001
"9","2018-05-09",44.099998
"10","2018-05-10",44.009998
"11","2018-05-11",44.369999
"12","2018-05-14",44.189999
"13","2018-05-15",45.459999
"14","2018-05-16",45.23
"15","2018-05-17",44.900002
"16","2018-05-18",44.779999
"17","2018-05-21",42.98
"18","2018-05-22",43.049999
"19","2018-05-23",45.419998
"20","2018-05-24",46.799999
"21","2018-05-25",46.369999
"22","2018-05-29",48.43
"23","2018-05-30",49.990002
"24","2018-05-31",49.810001
"25","2018-06-01",50.119999
"26","2018-06-04",53.650002
"27","2018-06-05",54.59
"28","2018-06-06",57.360001
"29","2018-06-07",55.990002
"30","2018-06-08",57.919998
"31","2018-06-11",59.540001
"32","2018-06-12",61.82
"33","2018-06-13",63.77
"34","2018-06-14",63.529999
"35","2018-06-15",63.950001
"36","2018-06-18",63.900002
"37","2018-06-19",63.869999
"38","2018-06-20",62.459999
"39","2018-06-21",57.59
"40","2018-06-22",57.549999
"41","2018-06-25",55
"42","2018-06-26",56.470001
"43","2018-06-27",51.77
"44","2018-06-28",53.040001
"45","2018-06-29",52.950001
"46","2018-07-02",52.34
"47","2018-07-03",51.970001
"48","2018-07-05",54.619999
"49","2018-07-06",54.950001
"50","2018-07-09",55.349998
"51","2018-07-10",52.369999
"52","2018-07-11",51.98
"53","2018-07-12",55.369999
"54","2018-07-13",55.330002
"55","2018-07-16",55.049999
"56","2018-07-17",54.09
"57","2018-07-18",53.049999
"58","2018-07-19",52.360001
"59","2018-07-20",52.209999
"60","2018-07-23",55.529999
"61","2018-07-24",53.790001
"62","2018-07-25",54.689999
"63","2018-07-26",55.509998
"64","2018-07-27",54.82
"65","2018-07-30",51.709999
"66","2018-07-31",53.900002
"67","2018-08-01",55.75
"68","2018-08-02",58.91
"69","2018-08-03",57.009998
"70","2018-08-06",60
"71","2018-08-07",59.889999
"72","2018-08-08",61.349998
"73","2018-08-09",60.450001
"74","2018-08-10",58.200001
"75","2018-08-13",56.139999
"76","2018-08-14",57.849998
"77","2018-08-15",56.150002
"78","2018-08-16",57.689999
"79","2018-08-17",58.68
"80","2018-08-20",61.220001
"81","2018-08-21",62.5
"82","2018-08-22",61.84
"83","2018-08-23",63.900002
"84","2018-08-24",65.540001
"85","2018-08-27",65.529999
"86","2018-08-28",66.300003
"87","2018-08-29",67.870003
"88","2018-08-30",65
"89","2018-08-31",62.439999
"90","2018-09-04",64.849998
"91","2018-09-05",63.099998
"92","2018-09-06",57.849998
"93","2018-09-07",56.939999
"94","2018-09-10",53.93
"95","2018-09-11",53.959999
"96","2018-09-12",57.18
"97","2018-09-13",55.369999
"98","2018-09-14",53.790001
"99","2018-09-17",52.18
"100","2018-09-18",53.029999
"101","2018-09-19",51.73
"102","2018-09-20",52.23
"103","2018-09-21",52.540001
"104","2018-09-24",51.830002
"105","2018-09-25",53.400002
"106","2018-09-26",52.540001
"107","2018-09-27",52.82
"108","2018-09-28",52.57
"109","2018-10-01",48.849998
"110","2018-10-02",46.400002
"111","2018-10-03",47.110001
"112","2018-10-04",45.799999
