"","date","SGOC"
"226","2009-03-02",29.799999
"227","2009-03-03",29.799999
"228","2009-03-04",29.799999
"229","2009-03-05",29.799999
"230","2009-03-06",29.799999
"231","2009-03-09",29.799999
"232","2009-03-10",29.799999
"233","2009-03-11",29.799999
"234","2009-03-12",29.799999
"235","2009-03-13",29.799999
"236","2009-03-16",29.799999
"237","2009-03-17",29.84
"238","2009-03-18",29.84
"239","2009-03-19",29.84
"240","2009-03-20",29.84
"241","2009-03-23",29.84
"242","2009-03-24",29.84
"243","2009-03-25",29.84
"244","2009-03-26",29.84
"245","2009-03-27",29.52
"246","2009-03-30",29.4
"247","2009-03-31",29.4
"248","2009-04-01",29.4
"249","2009-04-02",29.48
"250","2009-04-03",29.48
"251","2009-04-06",29.48
"252","2009-04-07",29.48
"253","2009-04-08",29.48
"254","2009-04-09",29.4
"255","2009-04-13",29.4
"256","2009-04-14",29.4
"257","2009-04-15",29.4
"258","2009-04-16",29.4
"259","2009-04-17",29.4
"260","2009-04-20",29.4
"261","2009-04-21",29.4
"262","2009-04-22",29.4
"263","2009-04-23",29.4
"264","2009-04-24",29.4
"265","2009-04-27",29.4
"266","2009-04-28",29.4
"267","2009-04-29",29.4
"268","2009-04-30",29.4
"269","2009-05-01",29.4
"270","2009-05-04",29.4
"271","2009-05-05",29.4
"272","2009-05-06",29.4
"273","2009-05-07",29.4
"274","2009-05-08",29.4
"275","2009-05-11",29.4
"276","2009-05-12",29.4
"277","2009-05-13",29.4
"278","2009-05-14",29.4
"279","2009-05-15",29.4
"280","2009-05-18",29.4
"281","2009-05-19",29.4
"282","2009-05-20",29.4
"283","2009-05-21",29.4
"284","2009-05-22",29.4
"285","2009-05-26",29.4
"286","2009-05-27",29.4
"287","2009-05-28",29.4
"288","2009-05-29",29.4
"289","2009-06-01",29.4
"290","2009-06-02",29.4
"291","2009-06-03",29.959999
"292","2009-06-04",30.16
"293","2009-06-05",30.16
"294","2009-06-08",30.200001
"295","2009-06-09",30.200001
"296","2009-06-10",30.200001
"297","2009-06-11",30.200001
"298","2009-06-12",30.200001
"299","2009-06-15",30.200001
"300","2009-06-16",30.200001
"301","2009-06-17",30.200001
"302","2009-06-18",30.200001
"303","2009-06-19",30.200001
"304","2009-06-22",30.200001
"305","2009-06-23",30.200001
"306","2009-06-24",30.200001
"307","2009-06-25",30.200001
"308","2009-06-26",30.24
"309","2009-06-29",30.24
"310","2009-06-30",30.24
"311","2009-07-01",30.32
"312","2009-07-02",30.32
"313","2009-07-06",30.4
"314","2009-07-07",30.4
"315","2009-07-08",30.4
"316","2009-07-09",30.4
"317","2009-07-10",30.4
"318","2009-07-13",30.4
"319","2009-07-14",30.4
"320","2009-07-15",30.4
"321","2009-07-16",30.4
"322","2009-07-17",30.4
"323","2009-07-20",30.4
"324","2009-07-21",30.4
"325","2009-07-22",30.4
"326","2009-07-23",30.4
"327","2009-07-24",30.4
"328","2009-07-27",30.4
"329","2009-07-28",31.32
"330","2009-07-29",31.32
"331","2009-07-30",31.32
"332","2009-07-31",31.32
"333","2009-08-03",31.32
"334","2009-08-04",31.32
"335","2009-08-05",31.32
"336","2009-08-06",31.32
"337","2009-08-07",31.32
"338","2009-08-10",31.32
"339","2009-08-11",31.32
"340","2009-08-12",31.24
"341","2009-08-13",31.24
"342","2009-08-14",31.24
"343","2009-08-17",31.280001
"344","2009-08-18",31.280001
"345","2009-08-19",31.280001
"346","2009-08-20",31.280001
"347","2009-08-21",31.280001
"348","2009-08-24",31.280001
"349","2009-08-25",31.280001
"350","2009-08-26",31.280001
"351","2009-08-27",30.68
"352","2009-08-28",30.68
"353","2009-08-31",30.68
"354","2009-09-01",30.68
"355","2009-09-02",30.68
"356","2009-09-03",30.68
"357","2009-09-04",30.68
"358","2009-09-08",30.68
"359","2009-09-09",30.68
"360","2009-09-10",30.68
"361","2009-09-11",30.68
"362","2009-09-14",30.68
"363","2009-09-15",30.68
"364","2009-09-16",30.68
"365","2009-09-17",30.68
"366","2009-09-18",30.68
"367","2009-09-21",30.68
"368","2009-09-22",31.280001
"369","2009-09-23",31.280001
"370","2009-09-24",31.280001
"371","2009-09-25",31.280001
"372","2009-09-28",31.280001
"373","2009-09-29",31.280001
"374","2009-09-30",31.280001
"375","2009-10-01",31.280001
"376","2009-10-02",30.879999
"377","2009-10-05",30.879999
"378","2009-10-06",30.879999
"379","2009-10-07",30.879999
"380","2009-10-08",30.879999
"381","2009-10-09",30.879999
"382","2009-10-12",30.959999
"383","2009-10-13",30.959999
"384","2009-10-14",30.959999
"385","2009-10-15",30.959999
"386","2009-10-16",30.959999
"387","2009-10-19",30.959999
"388","2009-10-20",30.959999
"389","2009-10-21",30.959999
"390","2009-10-22",30.959999
"391","2009-10-23",31.040001
"392","2009-10-26",31.040001
"393","2009-10-27",31.040001
"394","2009-10-28",31.040001
"395","2009-10-29",31.040001
"396","2009-10-30",31.040001
"397","2009-11-02",31.040001
"398","2009-11-03",31.040001
"399","2009-11-04",31
"400","2009-11-05",31
"401","2009-11-06",31.040001
"402","2009-11-09",30.92
"403","2009-11-10",30.92
"404","2009-11-11",30.92
"405","2009-11-12",30.92
"406","2009-11-13",30.92
"407","2009-11-16",30.92
"408","2009-11-17",30.92
"409","2009-11-18",30.92
"410","2009-11-19",30.92
"411","2009-11-20",30.92
