"","date","XYF"
"227","2019-08-14",8.22
"228","2019-08-15",7.71
"229","2019-08-16",7.89
"230","2019-08-19",8.34
"231","2019-08-20",8.04
"232","2019-08-21",7.98
"233","2019-08-22",7.92
"234","2019-08-23",7.53
"235","2019-08-26",7.65
"236","2019-08-27",7.56
"237","2019-08-28",7.5
"238","2019-08-29",7.59
"239","2019-08-30",7.89
"240","2019-09-03",7.53
"241","2019-09-04",7.53
"242","2019-09-05",7.95
"243","2019-09-06",7.92
"244","2019-09-09",9.87
"245","2019-09-10",9.48
"246","2019-09-11",9.09
"247","2019-09-12",9.57
"248","2019-09-13",9.15
"249","2019-09-16",9.3
"250","2019-09-17",9
"251","2019-09-18",8.85
"252","2019-09-19",8.55
"253","2019-09-20",8.4
"254","2019-09-23",8.25
"255","2019-09-24",8.19
"256","2019-09-25",7.98
"257","2019-09-26",7.83
"258","2019-09-27",7.92
"259","2019-09-30",6.81
"260","2019-10-01",6.6
"261","2019-10-02",6.24
"262","2019-10-03",6.21
"263","2019-10-04",6.21
"264","2019-10-07",6.06
"265","2019-10-08",6.03
"266","2019-10-09",5.97
"267","2019-10-10",6.09
"268","2019-10-11",6.06
"269","2019-10-14",6.09
"270","2019-10-15",6.21
"271","2019-10-16",6
"272","2019-10-17",6.24
"273","2019-10-18",5.97
"274","2019-10-21",5.76
"275","2019-10-22",5.46
"276","2019-10-23",5.4
"277","2019-10-24",5.4
"278","2019-10-25",5.49
"279","2019-10-28",5.7
"280","2019-10-29",5.61
"281","2019-10-30",5.52
"282","2019-10-31",5.07
"283","2019-11-01",5.55
"284","2019-11-04",5.58
"285","2019-11-05",6.03
"286","2019-11-06",5.64
"287","2019-11-07",5.43
"288","2019-11-08",5.58
"289","2019-11-11",5.49
"290","2019-11-12",6
"291","2019-11-13",5.46
"292","2019-11-14",6
"293","2019-11-15",5.82
"294","2019-11-18",5.88
"295","2019-11-19",5.91
"296","2019-11-20",5.55
"297","2019-11-21",5.4
"298","2019-11-22",5.22
"299","2019-11-25",5.34
"300","2019-11-26",5.94
"301","2019-11-27",5.58
"302","2019-11-29",5.31
"303","2019-12-02",5.67
"304","2019-12-03",5.34
"305","2019-12-04",5.31
"306","2019-12-05",5.13
"307","2019-12-06",5.31
"308","2019-12-09",5.7
"309","2019-12-10",5.7
"310","2019-12-11",5.55
"311","2019-12-12",5.31
"312","2019-12-13",5.46
"313","2019-12-16",5.31
"314","2019-12-17",5.34
"315","2019-12-18",5.31
"316","2019-12-19",5.31
"317","2019-12-20",5.31
"318","2019-12-23",5.46
"319","2019-12-24",5.43
"320","2019-12-26",5.16
"321","2019-12-27",5.19
"322","2019-12-30",5.34
"323","2019-12-31",5.07
"324","2020-01-02",5.28
"325","2020-01-03",5.34
"326","2020-01-06",5.28
"327","2020-01-07",5.25
"328","2020-01-08",5.16
"329","2020-01-09",5.01
"330","2020-01-10",5.1
"331","2020-01-13",5.04
"332","2020-01-14",4.95
"333","2020-01-15",5.1
"334","2020-01-16",5.04
"335","2020-01-17",5.31
"336","2020-01-21",5.04
"337","2020-01-22",4.98
"338","2020-01-23",4.74
"339","2020-01-24",4.59
"340","2020-01-27",4.17
"341","2020-01-28",4.11
"342","2020-01-29",4.02
"343","2020-01-30",3.75
"344","2020-01-31",3.78
"345","2020-02-03",4.02
"346","2020-02-04",4.05
"347","2020-02-05",4.02
"348","2020-02-06",4.29
"349","2020-02-07",4.11
"350","2020-02-10",3.99
"351","2020-02-11",4.59
"352","2020-02-12",4.44
"353","2020-02-13",4.23
"354","2020-02-14",4.02
"355","2020-02-18",3.96
"356","2020-02-19",3.96
"357","2020-02-20",4.47
"358","2020-02-21",4.26
"359","2020-02-24",4.05
"360","2020-02-25",3.9
"361","2020-02-26",3.84
"362","2020-02-27",3.81
"363","2020-02-28",4.95
"364","2020-03-02",4.32
"365","2020-03-03",3.99
"366","2020-03-04",4.02
"367","2020-03-05",3.87
"368","2020-03-06",3.93
"369","2020-03-09",3.45
"370","2020-03-10",3.51
"371","2020-03-11",3.39
"372","2020-03-12",3.12
"373","2020-03-13",2.4
"374","2020-03-16",2.76
"375","2020-03-17",2.76
"376","2020-03-18",2.46
"377","2020-03-19",2.67
"378","2020-03-20",2.91
"379","2020-03-23",2.85
"380","2020-03-24",2.85
"381","2020-03-25",2.82
"382","2020-03-26",2.79
"383","2020-03-27",2.79
