"","date","HZO"
"1","2007-01-03",25.360001
"2","2007-01-04",25.049999
"3","2007-01-05",24.77
"4","2007-01-08",22.049999
"5","2007-01-09",22.01
"6","2007-01-10",22.09
"7","2007-01-11",22.790001
"8","2007-01-12",22.84
"9","2007-01-16",22.530001
"10","2007-01-17",22.219999
"11","2007-01-18",22.049999
"12","2007-01-19",22.68
"13","2007-01-22",22.370001
"14","2007-01-23",22.73
"15","2007-01-24",22.950001
"16","2007-01-25",23.41
"17","2007-01-26",23.67
"18","2007-01-29",24.030001
"19","2007-01-30",23.969999
"20","2007-01-31",24.16
"21","2007-02-01",24.309999
"22","2007-02-02",24
"23","2007-02-05",23.41
"24","2007-02-06",23.790001
"25","2007-02-07",24.17
"26","2007-02-08",24.08
"27","2007-02-09",22.59
"28","2007-02-12",22.719999
"29","2007-02-13",22.74
"30","2007-02-14",22.68
"31","2007-02-15",22.709999
"32","2007-02-16",22.52
"33","2007-02-20",23.5
"34","2007-02-21",23.24
"35","2007-02-22",23.08
"36","2007-02-23",23.07
"37","2007-02-26",22.77
"38","2007-02-27",22.540001
"39","2007-02-28",22.780001
"40","2007-03-01",22.83
"41","2007-03-02",22.32
"42","2007-03-05",21.440001
"43","2007-03-06",21.92
"44","2007-03-07",21.559999
"45","2007-03-08",21.9
"46","2007-03-09",22.049999
"47","2007-03-12",21.620001
"48","2007-03-13",21.030001
"49","2007-03-14",21.120001
"50","2007-03-15",21.040001
"51","2007-03-16",20.610001
"52","2007-03-19",21.129999
"53","2007-03-20",21.450001
"54","2007-03-21",21.59
"55","2007-03-22",21.83
"56","2007-03-23",22.84
"57","2007-03-26",23.440001
"58","2007-03-27",22.91
"59","2007-03-28",23.190001
"60","2007-03-29",22.82
"61","2007-03-30",23.18
"62","2007-04-02",23.280001
"63","2007-04-03",23.74
"64","2007-04-04",23.440001
"65","2007-04-05",23.74
"66","2007-04-09",23.33
"67","2007-04-10",23.030001
"68","2007-04-11",22.950001
"69","2007-04-12",19.709999
"70","2007-04-13",19.209999
"71","2007-04-16",19.549999
"72","2007-04-17",19.559999
"73","2007-04-18",19.93
"74","2007-04-19",19.49
"75","2007-04-20",19.68
"76","2007-04-23",19.59
"77","2007-04-24",19.030001
"78","2007-04-25",19.459999
"79","2007-04-26",20.84
"80","2007-04-27",19.809999
"81","2007-04-30",19.83
"82","2007-05-01",20.190001
"83","2007-05-02",20.41
"84","2007-05-03",20.559999
"85","2007-05-04",21.379999
"86","2007-05-07",21.059999
"87","2007-05-08",21.450001
"88","2007-05-09",21.16
"89","2007-05-10",21.02
"90","2007-05-11",21.09
"91","2007-05-14",21.059999
"92","2007-05-15",20.4
"93","2007-05-16",20.370001
"94","2007-05-17",20.360001
"95","2007-05-18",20.42
"96","2007-05-21",20.92
"97","2007-05-22",21.1
"98","2007-05-23",20.73
"99","2007-05-24",20.219999
"100","2007-05-25",20.02
"101","2007-05-29",20
"102","2007-05-30",20.77
"103","2007-05-31",20.780001
"104","2007-06-01",21.049999
"105","2007-06-04",21.190001
"106","2007-06-05",21.200001
"107","2007-06-06",21.02
"108","2007-06-07",20.540001
"109","2007-06-08",21.25
"110","2007-06-11",21.51
"111","2007-06-12",21.32
"112","2007-06-13",21.65
"113","2007-06-14",22
"114","2007-06-15",21.93
"115","2007-06-18",21.860001
"116","2007-06-19",21.84
"117","2007-06-20",21.450001
"118","2007-06-21",21.58
"119","2007-06-22",21.41
"120","2007-06-25",20.879999
"121","2007-06-26",20.08
"122","2007-06-27",20.49
"123","2007-06-28",20.379999
"124","2007-06-29",20.02
"125","2007-07-02",20.700001
"126","2007-07-03",21.27
"127","2007-07-05",21.43
"128","2007-07-06",21.42
"129","2007-07-09",21.299999
"130","2007-07-10",20.440001
"131","2007-07-11",20.360001
"132","2007-07-12",20.24
"133","2007-07-13",20.459999
"134","2007-07-16",20.629999
"135","2007-07-17",20.700001
"136","2007-07-18",20.76
"137","2007-07-19",20.84
"138","2007-07-20",20.02
"139","2007-07-23",19.76
"140","2007-07-24",19.07
"141","2007-07-25",18.5
"142","2007-07-26",19.610001
"143","2007-07-27",18.959999
"144","2007-07-30",19.42
"145","2007-07-31",18.700001
"146","2007-08-01",18.91
"147","2007-08-02",19.280001
"148","2007-08-03",19.08
"149","2007-08-06",19.809999
"150","2007-08-07",19.799999
"151","2007-08-08",20.9
"152","2007-08-09",21.700001
"153","2007-08-10",19.5
"154","2007-08-13",19.02
"155","2007-08-14",18.41
"156","2007-08-15",18.540001
"157","2007-08-16",18.5
"158","2007-08-17",19.18
"159","2007-08-20",19.309999
"160","2007-08-21",19.09
"161","2007-08-22",18.85
"162","2007-08-23",18.57
"163","2007-08-24",19.059999
"164","2007-08-27",18.870001
"165","2007-08-28",17.99
"166","2007-08-29",18.299999
"167","2007-08-30",18.139999
"168","2007-08-31",18.34
"169","2007-09-04",18.360001
"170","2007-09-05",17.780001
"171","2007-09-06",17.9
"172","2007-09-07",17.24
"173","2007-09-10",16.68
"174","2007-09-11",16.120001
"175","2007-09-12",15.36
"176","2007-09-13",15.59
"177","2007-09-14",15.99
"178","2007-09-17",15.44
"179","2007-09-18",16.59
"180","2007-09-19",16.74
"181","2007-09-20",16.360001
"182","2007-09-21",16.43
"183","2007-09-24",15.62
"184","2007-09-25",15.01
"185","2007-09-26",14.96
"186","2007-09-27",14.63
"187","2007-09-28",14.56
"188","2007-10-01",14.6
"189","2007-10-02",14.6
"190","2007-10-03",15.16
"191","2007-10-04",14.95
"192","2007-10-05",15.66
"193","2007-10-08",15.68
"194","2007-10-09",15.95
"195","2007-10-10",15.76
"196","2007-10-11",15.19
"197","2007-10-12",15.85
"198","2007-10-15",15.5
"199","2007-10-16",15.39
