"","date","OLLI"
"1","2015-07-16",21.15
"2","2015-07-17",20.040001
"3","2015-07-20",20.200001
"4","2015-07-21",20
"5","2015-07-22",20.65
"6","2015-07-23",20.370001
"7","2015-07-24",20
"8","2015-07-27",19.969999
"9","2015-07-28",19.709999
"10","2015-07-29",19.700001
"11","2015-07-30",19.6
"12","2015-07-31",19.620001
"13","2015-08-03",20.879999
"14","2015-08-04",20.57
"15","2015-08-05",19.99
"16","2015-08-06",19.950001
"17","2015-08-07",19.940001
"18","2015-08-10",19.129999
"19","2015-08-11",19.309999
"20","2015-08-12",19.73
"21","2015-08-13",19.25
"22","2015-08-14",19.91
"23","2015-08-17",19.450001
"24","2015-08-18",19.870001
"25","2015-08-19",19.809999
"26","2015-08-20",19.540001
"27","2015-08-21",18.32
"28","2015-08-24",16.719999
"29","2015-08-25",15.91
"30","2015-08-26",16.52
"31","2015-08-27",16.620001
"32","2015-08-28",17.57
"33","2015-08-31",17.889999
"34","2015-09-01",17.549999
"35","2015-09-02",17.1
"36","2015-09-03",16.610001
"37","2015-09-04",17.030001
"38","2015-09-08",17.27
"39","2015-09-09",17.09
"40","2015-09-10",18.25
"41","2015-09-11",18.26
"42","2015-09-14",18.1
"43","2015-09-15",18.190001
"44","2015-09-16",18.68
"45","2015-09-17",18.700001
"46","2015-09-18",17.82
"47","2015-09-21",17.309999
"48","2015-09-22",17.27
"49","2015-09-23",16.360001
"50","2015-09-24",16.139999
"51","2015-09-25",16.35
"52","2015-09-28",16.16
"53","2015-09-29",16.49
"54","2015-09-30",16.17
"55","2015-10-01",16.08
"56","2015-10-02",16.73
"57","2015-10-05",16.66
"58","2015-10-06",16.389999
"59","2015-10-07",16.59
"60","2015-10-08",16.49
"61","2015-10-09",17.1
"62","2015-10-12",16.940001
"63","2015-10-13",16.99
"64","2015-10-14",16.299999
"65","2015-10-15",16.18
"66","2015-10-16",15.91
"67","2015-10-19",15.66
"68","2015-10-20",15.38
"69","2015-10-21",15.4
"70","2015-10-22",15.55
"71","2015-10-23",15.28
"72","2015-10-26",15.49
"73","2015-10-27",15.28
"74","2015-10-28",15.34
