"","date","EIDX"
"1","2018-06-20",23.120001
"2","2018-06-21",21.940001
"3","2018-06-22",21.9
"4","2018-06-25",20.299999
"5","2018-06-26",20.120001
"6","2018-06-27",20.1
"7","2018-06-28",19.91
"8","2018-06-29",20.34
"9","2018-07-02",20.32
"10","2018-07-03",20.85
"11","2018-07-05",21.790001
"12","2018-07-06",22.5
"13","2018-07-09",22.76
"14","2018-07-10",21.959999
"15","2018-07-11",20.950001
"16","2018-07-12",21.25
"17","2018-07-13",20.77
"18","2018-07-16",21.809999
"19","2018-07-17",21.5
"20","2018-07-18",21.639999
"21","2018-07-19",21.49
"22","2018-07-20",21.280001
"23","2018-07-23",20.709999
"24","2018-07-24",20.110001
"25","2018-07-25",19.1
"26","2018-07-26",19.18
"27","2018-07-27",18.299999
"28","2018-07-30",17.379999
"29","2018-07-31",16.73
"30","2018-08-01",15.94
"31","2018-08-02",16.940001
"32","2018-08-03",16.040001
"33","2018-08-06",15.2
"34","2018-08-07",15.18
"35","2018-08-08",15.3
"36","2018-08-09",16.610001
"37","2018-08-10",16.459999
"38","2018-08-13",17.190001
"39","2018-08-14",18.120001
"40","2018-08-15",18.030001
"41","2018-08-16",17.049999
"42","2018-08-17",18.15
"43","2018-08-20",18.690001
"44","2018-08-21",18.98
"45","2018-08-22",18.790001
"46","2018-08-23",20.639999
"47","2018-08-24",20.23
"48","2018-08-27",13.94
"49","2018-08-28",14.48
"50","2018-08-29",13.91
"51","2018-08-30",12.9
"52","2018-08-31",12.4
"53","2018-09-04",12.17
"54","2018-09-05",11.94
"55","2018-09-06",12.09
"56","2018-09-07",11.67
"57","2018-09-10",12.38
"58","2018-09-11",12.4
"59","2018-09-12",13.28
"60","2018-09-13",12.32
"61","2018-09-14",13.07
"62","2018-09-17",12.68
"63","2018-09-18",12.43
"64","2018-09-19",11.44
"65","2018-09-20",11.07
"66","2018-09-21",11.53
"67","2018-09-24",11.1
"68","2018-09-25",10.51
"69","2018-09-26",9.92
"70","2018-09-27",9.96
"71","2018-09-28",9.98
"72","2018-10-01",9.92
"73","2018-10-02",9.79
"74","2018-10-03",9.51
"75","2018-10-04",9.31
"76","2018-10-05",10.2
"77","2018-10-08",10.03
"78","2018-10-09",9.75
"79","2018-10-10",9.63
"80","2018-10-11",9.2
"81","2018-10-12",9.35
"82","2018-10-15",9.33
"83","2018-10-16",9.38
"84","2018-10-17",9.24
"85","2018-10-18",9.46
"86","2018-10-19",9.51
"87","2018-10-22",9.72
"88","2018-10-23",9.64
"89","2018-10-24",10.71
"90","2018-10-25",11.93
"91","2018-10-26",12.41
"92","2018-10-29",11.81
"93","2018-10-30",11.15
"94","2018-10-31",12.23
"95","2018-11-01",13.05
"96","2018-11-02",12.82
"97","2018-11-05",13.2
"98","2018-11-06",13.27
"99","2018-11-07",12.91
"100","2018-11-08",12.4
"101","2018-11-09",12.71
"102","2018-11-12",14.6
"103","2018-11-13",13.87
"104","2018-11-14",13.74
"105","2018-11-15",14.22
"106","2018-11-16",14.13
"107","2018-11-19",14.08
"108","2018-11-20",14.21
"109","2018-11-21",14.15
"110","2018-11-23",14.52
"111","2018-11-26",14.24
"112","2018-11-27",14.01
"113","2018-11-28",14.6
"114","2018-11-29",14.04
"115","2018-11-30",14.13
"116","2018-12-03",14.15
"117","2018-12-04",13.67
"118","2018-12-06",13.49
"119","2018-12-07",13.15
"120","2018-12-10",13.9
"121","2018-12-11",14.18
"122","2018-12-12",15.29
"123","2018-12-13",15.18
"124","2018-12-14",16.27
"125","2018-12-17",15.89
"126","2018-12-18",14.9
"127","2018-12-19",14.59
"128","2018-12-20",14.8
"129","2018-12-21",13.51
"130","2018-12-24",14.18
"131","2018-12-26",14.25
"132","2018-12-27",13.88
"133","2018-12-28",13.83
"134","2018-12-31",13.76
"135","2019-01-02",14.03
"136","2019-01-03",13.83
"137","2019-01-04",14.37
"138","2019-01-07",14.32
"139","2019-01-08",14.24
"140","2019-01-09",14.25
"141","2019-01-10",13.75
"142","2019-01-11",13.71
"143","2019-01-14",12.91
"144","2019-01-15",12.96
"145","2019-01-16",12.85
"146","2019-01-17",12.29
