"","date","PBH"
"1","2007-01-03",12.99
"2","2007-01-04",12.84
"3","2007-01-05",12.6
"4","2007-01-08",12.7
"5","2007-01-09",12.79
"6","2007-01-10",12.8
"7","2007-01-11",13.16
"8","2007-01-12",13.14
"9","2007-01-16",12.9
"10","2007-01-17",12.88
"11","2007-01-18",12.65
"12","2007-01-19",12.75
"13","2007-01-22",13.01
"14","2007-01-23",12.9
"15","2007-01-24",12.69
"16","2007-01-25",12.69
"17","2007-01-26",13.02
"18","2007-01-29",12.91
"19","2007-01-30",12.84
"20","2007-01-31",12.71
"21","2007-02-01",12.74
"22","2007-02-02",12.69
"23","2007-02-05",12.7
"24","2007-02-06",10.99
"25","2007-02-07",10.99
"26","2007-02-08",10.99
"27","2007-02-09",11.32
"28","2007-02-12",11.56
"29","2007-02-13",11.5
"30","2007-02-14",11.55
"31","2007-02-15",11.51
"32","2007-02-16",11.46
"33","2007-02-20",11.51
"34","2007-02-21",11.61
"35","2007-02-22",11.75
"36","2007-02-23",11.71
"37","2007-02-26",11.79
"38","2007-02-27",11.35
"39","2007-02-28",11.46
"40","2007-03-01",11.5
"41","2007-03-02",11.29
"42","2007-03-05",11.19
"43","2007-03-06",11.46
"44","2007-03-07",11.15
"45","2007-03-08",11.45
"46","2007-03-09",11.33
"47","2007-03-12",11.64
"48","2007-03-13",11.19
"49","2007-03-14",11.84
"50","2007-03-15",11.6
"51","2007-03-16",11.63
"52","2007-03-19",11.52
"53","2007-03-20",11.85
"54","2007-03-21",11.89
"55","2007-03-22",11.96
"56","2007-03-23",12.06
"57","2007-03-26",12.03
"58","2007-03-27",11.66
"59","2007-03-28",11.86
"60","2007-03-29",12.01
"61","2007-03-30",11.85
"62","2007-04-02",11.92
"63","2007-04-03",12.24
"64","2007-04-04",11.93
"65","2007-04-05",12.17
"66","2007-04-09",11.34
"67","2007-04-10",11.53
"68","2007-04-11",11.2
"69","2007-04-12",11.59
"70","2007-04-13",12.22
"71","2007-04-16",12.79
"72","2007-04-17",13.11
"73","2007-04-18",13.04
"74","2007-04-19",12.71
"75","2007-04-20",13.27
"76","2007-04-23",13.11
"77","2007-04-24",13.12
"78","2007-04-25",13.09
"79","2007-04-26",13.09
"80","2007-04-27",13.14
"81","2007-04-30",13.01
"82","2007-05-01",13.17
"83","2007-05-02",13.35
"84","2007-05-03",13.12
"85","2007-05-04",12.96
"86","2007-05-07",13.15
"87","2007-05-08",13
"88","2007-05-09",12.83
"89","2007-05-10",12.48
"90","2007-05-11",12.54
"91","2007-05-14",12.38
"92","2007-05-15",12.25
"93","2007-05-16",12.29
"94","2007-05-17",12.24
"95","2007-05-18",12.52
"96","2007-05-21",12.68
"97","2007-05-22",12.83
"98","2007-05-23",12.78
"99","2007-05-24",12.67
"100","2007-05-25",12.86
"101","2007-05-29",12.86
"102","2007-05-30",13.1
"103","2007-05-31",13.15
"104","2007-06-01",13.33
"105","2007-06-04",13.15
"106","2007-06-05",13.08
"107","2007-06-06",12.89
"108","2007-06-07",12.86
"109","2007-06-08",13.2
"110","2007-06-11",13.01
"111","2007-06-12",12.98
"112","2007-06-13",13.37
"113","2007-06-14",13.36
"114","2007-06-15",13.51
"115","2007-06-18",13.6
"116","2007-06-19",13.13
"117","2007-06-20",12.8
"118","2007-06-21",12.91
"119","2007-06-22",12.93
"120","2007-06-25",13.22
"121","2007-06-26",13.1
"122","2007-06-27",13.11
"123","2007-06-28",13.51
"124","2007-06-29",12.98
"125","2007-07-02",13
"126","2007-07-03",13.07
"127","2007-07-05",12.84
"128","2007-07-06",12.98
