"","date","INSUU"
"1","2019-03-20",10.1
"2","2019-03-21",10.1
"3","2019-03-22",10.12
"4","2019-03-25",10.1
"5","2019-03-26",10.09
"6","2019-03-27",10.1
"7","2019-03-28",10.1
"8","2019-03-29",10.1
"9","2019-04-01",10.1
"10","2019-04-02",10.1
"11","2019-04-03",10.1
"12","2019-04-04",10.08
"13","2019-04-05",10.1
"14","2019-04-08",10.1
"15","2019-04-09",10.11
"16","2019-04-10",10.11
"17","2019-04-11",10.11
"18","2019-04-12",10.11
"19","2019-04-15",10.11
"20","2019-04-16",10.0988
"21","2019-04-17",10.0988
"22","2019-04-18",10.09
"23","2019-04-22",10.09
"24","2019-04-23",10.1
"25","2019-04-24",10.1095
"26","2019-04-25",10.115
"27","2019-04-26",10.115
"28","2019-04-29",10.12
"29","2019-04-30",10.12
"30","2019-05-01",10.13
"31","2019-05-02",10.16
"32","2019-05-03",10.2
"33","2019-05-06",10.2
"34","2019-05-07",10.19
"35","2019-05-08",10.23
"36","2019-05-09",10.25
"37","2019-05-10",10.24
"38","2019-05-13",10.24
"39","2019-05-14",10.24
"40","2019-05-15",10.21
"41","2019-05-16",10.21
"42","2019-05-17",10.21
"43","2019-05-20",10.21
"44","2019-05-21",10.2
"45","2019-05-22",10.2
"46","2019-05-23",10.2
"47","2019-05-24",10.2
"48","2019-05-28",10.25
"49","2019-05-29",10.25
"50","2019-05-30",10.25
"51","2019-05-31",10.1916
"52","2019-06-03",10.26
"53","2019-06-04",10.23
"54","2019-06-05",10.23
"55","2019-06-06",10.23
"56","2019-06-07",10.22
"57","2019-06-10",10.2
"58","2019-06-11",10.23
"59","2019-06-12",10.23
"60","2019-06-13",10.3
"61","2019-06-14",10.3
"62","2019-06-17",10.32
"63","2019-06-18",10.32
"64","2019-06-19",10.32
"65","2019-06-20",10.32
"66","2019-06-21",10.35
"67","2019-06-24",10.32
"68","2019-06-25",10.32
"69","2019-06-26",10.3101
"70","2019-06-27",10.3101
"71","2019-06-28",10.3101
"72","2019-07-01",10.3101
