"","date","ZNTL"
"1","2020-04-03",23.200001
"2","2020-04-06",24.389999
"3","2020-04-07",23.75
"4","2020-04-08",24.799999
"5","2020-04-09",24.309999
"6","2020-04-13",23.9
"7","2020-04-14",25.120001
"8","2020-04-15",24.48
"9","2020-04-16",24.379999
"10","2020-04-17",24.559999
"11","2020-04-20",24.120001
"12","2020-04-21",25.559999
"13","2020-04-22",26.790001
"14","2020-04-23",28.450001
"15","2020-04-24",30.5
"16","2020-04-27",31.76
"17","2020-04-28",35.57
"18","2020-04-29",36.16
"19","2020-04-30",35.099998
"20","2020-05-01",31.290001
"21","2020-05-04",31.93
"22","2020-05-05",33.259998
"23","2020-05-06",32.98
"24","2020-05-07",31.93
"25","2020-05-08",33.27
"26","2020-05-11",34.5
"27","2020-05-12",35.639999
"28","2020-05-13",36.5
"29","2020-05-14",37.959999
"30","2020-05-15",35.869999
"31","2020-05-18",39.650002
"32","2020-05-19",44.66
"33","2020-05-20",41.07
"34","2020-05-21",40.040001
"35","2020-05-22",39.07
"36","2020-05-26",39.639999
"37","2020-05-27",41.720001
"38","2020-05-28",41.299999
"39","2020-05-29",52.220001
"40","2020-06-01",49.349998
"41","2020-06-02",51.459999
"42","2020-06-03",50.810001
"43","2020-06-04",48.490002
"44","2020-06-05",45.599998
"45","2020-06-08",47.139999
"46","2020-06-09",49.380001
"47","2020-06-10",45.93
"48","2020-06-11",41.07
"49","2020-06-12",41.950001
"50","2020-06-15",46.880001
"51","2020-06-16",47.27
"52","2020-06-17",52.25
"53","2020-06-18",52.099998
"54","2020-06-19",53.119999
"55","2020-06-22",48.41
"56","2020-06-23",49.25
"57","2020-06-24",51.57
"58","2020-06-25",54.799999
"59","2020-06-26",47.849998
"60","2020-06-29",45.470001
"61","2020-06-30",48.02
"62","2020-07-01",47.799999
"63","2020-07-02",47.970001
"64","2020-07-06",44.09
"65","2020-07-07",42.650002
"66","2020-07-08",42.540001
"67","2020-07-09",41.130001
"68","2020-07-10",40
"69","2020-07-13",39.299999
"70","2020-07-14",41.939999
"71","2020-07-15",42.580002
"72","2020-07-16",40.43
"73","2020-07-17",41.130001
"74","2020-07-20",43.189999
"75","2020-07-21",41.57
"76","2020-07-22",42.16
"77","2020-07-23",40.860001
"78","2020-07-24",39.610001
"79","2020-07-27",40
"80","2020-07-28",37.939999
"81","2020-07-29",36.41
"82","2020-07-30",35.060001
"83","2020-07-31",34.5
"84","2020-08-03",34.959999
"85","2020-08-04",35.060001
"86","2020-08-05",35.759998
"87","2020-08-06",34.09
"88","2020-08-07",34.5
"89","2020-08-10",34.310001
"90","2020-08-11",33.860001
"91","2020-08-12",32.560001
"92","2020-08-13",32.810001
"93","2020-08-14",32.900002
"94","2020-08-17",33.84
"95","2020-08-18",34.900002
"96","2020-08-19",33.630001
"97","2020-08-20",34.959999
"98","2020-08-21",33.48
"99","2020-08-24",33.450001
"100","2020-08-25",34.84
"101","2020-08-26",34.16
"102","2020-08-27",33.84
"103","2020-08-28",34.400002
"104","2020-08-31",34.400002
"105","2020-09-01",31.870001
"106","2020-09-02",30.65
"107","2020-09-03",28.93
"108","2020-09-04",27.030001
"109","2020-09-08",27.209999
"110","2020-09-09",29.690001
"111","2020-09-10",28.9
"112","2020-09-11",29.1
"113","2020-09-14",30.379999
"114","2020-09-15",29.51
"115","2020-09-16",30
"116","2020-09-17",31.5
"117","2020-09-18",29.4
"118","2020-09-21",28.610001
"119","2020-09-22",28.219999
"120","2020-09-23",28.049999
"121","2020-09-24",27.91
"122","2020-09-25",29.02
"123","2020-09-28",29.1
"124","2020-09-29",33.419998
"125","2020-09-30",32.689999
"126","2020-10-01",31.709999
"127","2020-10-02",31.93
"128","2020-10-05",35.049999
"129","2020-10-06",34.169998
"130","2020-10-07",35.459999
"131","2020-10-08",38.305
"132","2020-10-09",40.360001
"133","2020-10-12",39.990002
"134","2020-10-13",40.91
"135","2020-10-14",38.98
"136","2020-10-15",40.759998
"137","2020-10-16",42
"138","2020-10-19",42.439999
"139","2020-10-20",40.799999
"140","2020-10-21",40.560001
"141","2020-10-22",41.43
"142","2020-10-23",41.68
"143","2020-10-26",40.119999
"144","2020-10-27",41.799999
"145","2020-10-28",39.43
"146","2020-10-29",40.029999
"147","2020-10-30",39.59
"148","2020-11-02",38.369999
"149","2020-11-03",38.099998
"150","2020-11-04",38.889999
"151","2020-11-05",39.59
"152","2020-11-06",41.380001
"153","2020-11-09",37.779999
"154","2020-11-10",39.07
"155","2020-11-11",40.93
"156","2020-11-12",41.02
"157","2020-11-13",40.5
"158","2020-11-16",40.380001
"159","2020-11-17",41.59
"160","2020-11-18",43.68
"161","2020-11-19",45.279999
"162","2020-11-20",46
"163","2020-11-23",46.48
"164","2020-11-24",46.400002
"165","2020-11-25",46.040001
"166","2020-11-27",50.900002
