"","date","LPCN"
"1","2013-10-22",10
"2","2013-10-23",10
"3","2013-10-24",10
"4","2013-10-25",10
"5","2013-10-28",10
"6","2013-10-29",10
"7","2013-10-30",10
"8","2013-10-31",10
"9","2013-11-01",10
"10","2013-11-04",10
"11","2013-11-05",10
"12","2013-11-06",10
"13","2013-11-07",10
"14","2013-11-08",10
"15","2013-11-11",10
"16","2013-11-12",9.7
"17","2013-11-13",9.7
"18","2013-11-14",8
"19","2013-11-15",8.95
"20","2013-11-18",8.95
"21","2013-11-19",8.95
"22","2013-11-20",8.95
"23","2013-11-21",8.95
"24","2013-11-22",8.95
"25","2013-11-25",8.95
"26","2013-11-26",8.95
"27","2013-11-27",8.25
"28","2013-11-29",8.25
"29","2013-12-02",8.3
"30","2013-12-03",8.3
"31","2013-12-04",8.3
"32","2013-12-05",8.25
"33","2013-12-06",8.2
"34","2013-12-09",8.15
"35","2013-12-10",8.1
"36","2013-12-11",8
"37","2013-12-12",7.5
"38","2013-12-13",8
"39","2013-12-16",7.65
"40","2013-12-17",8
"41","2013-12-18",8
"42","2013-12-19",8.03
"43","2013-12-20",8
"44","2013-12-23",8.29
"45","2013-12-24",8.29
"46","2013-12-26",8.3
"47","2013-12-27",8.3
"48","2013-12-30",8
"49","2013-12-31",8.25
"50","2014-01-02",8.15
"51","2014-01-03",8.15
"52","2014-01-06",8.25
"53","2014-01-07",8.3
"54","2014-01-08",8.3
"55","2014-01-09",8.3
"56","2014-01-10",8.4
"57","2014-01-13",8.5
"58","2014-01-14",9.2
"59","2014-01-15",9
"60","2014-01-16",8.6
"61","2014-01-17",9
"62","2014-01-21",8.8
"63","2014-01-22",9
"64","2014-01-23",8.85
"65","2014-01-24",9.28
"66","2014-01-27",9
"67","2014-01-28",9
"68","2014-01-29",9
"69","2014-01-30",9
"70","2014-01-31",8.91
"71","2014-02-03",8.9
"72","2014-02-04",8.45
"73","2014-02-05",8.05
"74","2014-02-06",8.15
"75","2014-02-07",8.2
"76","2014-02-10",8.5
"77","2014-02-11",8.45
"78","2014-02-12",8.45
"79","2014-02-13",8.4
"80","2014-02-14",8.9
"81","2014-02-18",8.55
"82","2014-02-19",8.25
"83","2014-02-20",8.35
"84","2014-02-21",8.25
"85","2014-02-24",8.25
"86","2014-02-25",8
"87","2014-02-26",8
"88","2014-02-27",8
"89","2014-02-28",8
"90","2014-03-03",8
"91","2014-03-04",7.9
"92","2014-03-05",7.9
"93","2014-03-06",8
"94","2014-03-07",7.95
"95","2014-03-10",8.07
"96","2014-03-11",8
"97","2014-03-12",8.05
"98","2014-03-13",8
"99","2014-03-14",8
"100","2014-03-17",7.7
"101","2014-03-18",8.01
"102","2014-03-19",8.02
"103","2014-03-20",8.02
"104","2014-03-21",7.44
"105","2014-03-24",7.86
"106","2014-03-25",7.65
"107","2014-03-26",7.61
"108","2014-03-27",7.61
"109","2014-03-28",7.59
"110","2014-03-31",7.44
"111","2014-04-01",8
"112","2014-04-02",7.98
"113","2014-04-03",7.95
"114","2014-04-04",7.55
"115","2014-04-07",7.95
"116","2014-04-08",7.89
"117","2014-04-09",7.95
"118","2014-04-10",7.94
"119","2014-04-11",7.5
"120","2014-04-14",7.5
"121","2014-04-15",7.85
"122","2014-04-16",7.82
"123","2014-04-17",7.85
"124","2014-04-21",7.89
"125","2014-04-22",7.69
"126","2014-04-23",7.9
"127","2014-04-24",7.59
"128","2014-04-25",7.5
"129","2014-04-28",7.5
"130","2014-04-29",7.5
"131","2014-04-30",7.5
"132","2014-05-01",7.6
"133","2014-05-02",7.67
"134","2014-05-05",7.67
"135","2014-05-06",7.67
"136","2014-05-07",7.35
"137","2014-05-08",7
"138","2014-05-09",7.47
"139","2014-05-12",7.25
"140","2014-05-13",7.32
"141","2014-05-14",7.1
"142","2014-05-15",7.13
"143","2014-05-16",7.1
"144","2014-05-19",6.84
"145","2014-05-20",6.98
"146","2014-05-21",6.92
"147","2014-05-22",6.87
"148","2014-05-23",6.6
"149","2014-05-27",6.53
"150","2014-05-28",6.39
"151","2014-05-29",6.5
"152","2014-05-30",6.48
"153","2014-06-02",6.73
"154","2014-06-03",6.65
"155","2014-06-04",6.65
"156","2014-06-05",6.65
"157","2014-06-06",6.65
"158","2014-06-09",6.65
"159","2014-06-10",6.63
"160","2014-06-11",6.65
"161","2014-06-12",6.44
"162","2014-06-13",6.6
"163","2014-06-16",6.65
"164","2014-06-17",6.72
"165","2014-06-18",6.63
"166","2014-06-19",6.47
"167","2014-06-20",5.52
"168","2014-06-23",5.78
"169","2014-06-24",5.8
"170","2014-06-25",5.97
"171","2014-06-26",5.91
"172","2014-06-27",5.83
"173","2014-06-30",6.1
"174","2014-07-01",6.38
"175","2014-07-02",6.15
"176","2014-07-03",6.46
"177","2014-07-07",6.3
"178","2014-07-08",6.47
"179","2014-07-09",6.43
"180","2014-07-10",6.66
"181","2014-07-11",6.79
"182","2014-07-14",6.7
"183","2014-07-15",6.5
"184","2014-07-16",6.42
"185","2014-07-17",6.35
"186","2014-07-18",6.08
"187","2014-07-21",6.5
"188","2014-07-22",6.41
"189","2014-07-23",6.4
"190","2014-07-24",6.22
"191","2014-07-25",6.14
"192","2014-07-28",6.85
"193","2014-07-29",6.81
"194","2014-07-30",6.93
"195","2014-07-31",6.7
"196","2014-08-01",6.51
"197","2014-08-04",7.295
"198","2014-08-05",6.75
"199","2014-08-06",6.9
"200","2014-08-07",7.28
"201","2014-08-08",7.14
"202","2014-08-11",7.78
"203","2014-08-12",8.61
"204","2014-08-13",8.848
"205","2014-08-14",8.43
"206","2014-08-15",8.5
"207","2014-08-18",8.69
"208","2014-08-19",8.59
"209","2014-08-20",8.36
"210","2014-08-21",8.25
"211","2014-08-22",8.09
"212","2014-08-25",8.14
"213","2014-08-26",8.23
"214","2014-08-27",8.64
"215","2014-08-28",8.89
"216","2014-08-29",9.64
"217","2014-09-02",9.88
"218","2014-09-03",9.47
"219","2014-09-04",8.39
"220","2014-09-05",8.6
"221","2014-09-08",9.22
"222","2014-09-09",8.84
"223","2014-09-10",8.65
"224","2014-09-11",8.39
"225","2014-09-12",8.1
"226","2014-09-15",7.64
"227","2014-09-16",7.5
"228","2014-09-17",7.5
"229","2014-09-18",5.09
"230","2014-09-19",5.47
"231","2014-09-22",5.48
"232","2014-09-23",5.22
"233","2014-09-24",7.23
"234","2014-09-25",6.44
"235","2014-09-26",6.41
"236","2014-09-29",6.29
"237","2014-09-30",6.11
"238","2014-10-01",5.51
"239","2014-10-02",5.33
"240","2014-10-03",5.35
"241","2014-10-06",5.04
"242","2014-10-07",5.21
"243","2014-10-08",5.11
"244","2014-10-09",4.96
"245","2014-10-10",4.8
"246","2014-10-13",4.54
"247","2014-10-14",4.68
"248","2014-10-15",4.42
"249","2014-10-16",4.69
"250","2014-10-17",4.83
"251","2014-10-20",4.8
"252","2014-10-21",4.88
"253","2014-10-22",5.45
"254","2014-10-23",5.25
"255","2014-10-24",5.17
"256","2014-10-27",5.13
"257","2014-10-28",4.72
"258","2014-10-29",4.76
"259","2014-10-30",4.37
"260","2014-10-31",4.29
"261","2014-11-03",4.39
"262","2014-11-04",4.1
"263","2014-11-05",3.97
"264","2014-11-06",4.16
"265","2014-11-07",3.95
"266","2014-11-10",4.12
"267","2014-11-11",4.52
"268","2014-11-12",4.6
"269","2014-11-13",4.95
"270","2014-11-14",5.29
"271","2014-11-17",5.37
"272","2014-11-18",5.2
"273","2014-11-19",5.29
"274","2014-11-20",5.09
"275","2014-11-21",5.39
"276","2014-11-24",5.15
"277","2014-11-25",4.99
"278","2014-11-26",5.1
"279","2014-11-28",5.02
"280","2014-12-01",4.97
"281","2014-12-02",4.98
"282","2014-12-03",4.875
"283","2014-12-04",5.08
"284","2014-12-05",5.42
"285","2014-12-08",5.21
"286","2014-12-09",5.322
"287","2014-12-10",5.32
"288","2014-12-11",5.35
"289","2014-12-12",5.09
"290","2014-12-15",5.36
"291","2014-12-16",5.265
