"","date","AVCO"
"1","2018-03-27",2.25
"2","2018-03-28",2.36
"3","2018-03-29",2.41
"4","2018-04-02",2.46
"5","2018-04-03",2.73
"6","2018-04-04",2.9
"7","2018-04-05",3.04
"8","2018-04-06",2.5
"9","2018-04-09",2.6
"10","2018-04-10",2.46
"11","2018-04-11",2.5
"12","2018-04-12",3
"13","2018-04-13",2.41
"14","2018-04-16",1.64
"15","2018-04-17",1.52
"16","2018-04-18",1.5
"17","2018-04-19",1.62
"18","2018-04-20",1.62
"19","2018-04-23",1.85
"20","2018-04-24",1.85
"21","2018-04-25",1.85
"22","2018-04-26",1.85
"23","2018-04-27",1.91
"24","2018-04-30",1.95
"25","2018-05-01",2.2
"26","2018-05-02",1.9
"27","2018-05-03",1.9
"28","2018-05-04",1.9
"29","2018-05-07",1.9
"30","2018-05-08",1.9
"31","2018-05-09",1.9
"32","2018-05-10",1.895
"33","2018-05-11",1.9
"34","2018-05-14",1.9
"35","2018-05-15",1.91
"36","2018-05-16",1.91
"37","2018-05-17",1.91
"38","2018-05-18",1.91
"39","2018-05-21",1.91
"40","2018-05-22",1.91
"41","2018-05-23",2.238
"42","2018-05-24",2.2
"43","2018-05-25",2.235
"44","2018-05-29",2.235
"45","2018-05-30",2.25
"46","2018-05-31",2.3
"47","2018-06-01",2.3
"48","2018-06-04",2.53
"49","2018-06-05",2.55
"50","2018-06-06",2.8
"51","2018-06-07",2.98
"52","2018-06-08",2.2
"53","2018-06-11",2.5
"54","2018-06-12",2.5
"55","2018-06-13",2.88
"56","2018-06-14",2.9
"57","2018-06-15",2.95
"58","2018-06-18",2.86
"59","2018-06-19",2.86
"60","2018-06-20",2.9
"61","2018-06-21",2.75
"62","2018-06-22",2.75
"63","2018-06-25",2.75
"64","2018-06-26",2.75
"65","2018-06-27",2.9
"66","2018-06-28",2.75
"67","2018-06-29",2.75
"68","2018-07-02",2.65
"69","2018-07-03",2.71
"70","2018-07-05",2.9
"71","2018-07-06",2.9
"72","2018-07-09",2.88
"73","2018-07-10",2.88
"74","2018-07-11",2.82
"75","2018-07-12",2.63
"76","2018-07-13",2.63
"77","2018-07-16",2.65
"78","2018-07-17",2.6
"79","2018-07-18",2.8
"80","2018-07-19",2.8
"81","2018-07-20",2.8
"82","2018-07-23",2.82
"83","2018-07-24",2.9
"84","2018-07-25",2.9
"85","2018-07-26",2.9
"86","2018-07-27",2.9
"87","2018-07-30",2.86
"88","2018-07-31",2.65
"89","2018-08-01",2.65
"90","2018-08-02",2.65
"91","2018-08-03",2.82
"92","2018-08-06",2.5
"93","2018-08-07",2.55
"94","2018-08-08",2.7
"95","2018-08-09",2.71
"96","2018-08-10",2.79
"97","2018-08-13",2.7
"98","2018-08-14",2.7
"99","2018-08-15",2.7
"100","2018-08-16",2.7
"101","2018-08-17",2.75
"102","2018-08-20",2.65
"103","2018-08-21",2.8
"104","2018-08-22",2.85
"105","2018-08-23",2.55
"106","2018-08-24",2.55
"107","2018-08-27",2.55
"108","2018-08-28",2.55
"109","2018-08-29",2.55
"110","2018-08-30",2.55
"111","2018-08-31",2.8
"112","2018-09-04",2.695
"113","2018-09-05",2.7
"114","2018-09-06",2.8
"115","2018-09-07",2.79
"116","2018-09-10",2.6
"117","2018-09-11",2.771
"118","2018-09-12",2.75
"119","2018-09-13",2.6
"120","2018-09-14",2.8
"121","2018-09-17",2.8
"122","2018-09-18",2.725
"123","2018-09-19",2.88
"124","2018-09-20",2.8
"125","2018-09-21",2.89
"126","2018-09-24",2.7
"127","2018-09-25",2.7
"128","2018-09-26",2.8
"129","2018-09-27",2.8
"130","2018-09-28",2.8
"131","2018-10-01",2.8
"132","2018-10-02",2.7
"133","2018-10-03",2.8
"134","2018-10-04",2.8
"135","2018-10-05",2.77
"136","2018-10-08",2.56
"137","2018-10-09",2.76
"138","2018-10-10",2.75
"139","2018-10-11",2.8
"140","2018-10-12",2.7
"141","2018-10-15",2.7
"142","2018-10-16",2.7
"143","2018-10-17",2.8
"144","2018-10-18",2.8
"145","2018-10-19",2.8
"146","2018-10-22",2.7
"147","2018-10-23",2.7
"148","2018-10-24",2.7
"149","2018-10-25",2.75
"150","2018-10-26",2.75
"151","2018-10-29",2.74
"152","2018-10-30",2.8
"153","2018-10-31",2.75
"154","2018-11-01",2.75
"155","2018-11-02",2.7
"156","2018-11-05",2.61
"157","2018-11-06",2.75
"158","2018-11-07",2.845
"159","2018-11-08",2.79
"160","2018-11-09",2.78
"161","2018-11-12",2.79
"162","2018-11-13",2.767
"163","2018-11-14",2.78
"164","2018-11-15",2.78
"165","2018-11-16",2.79
"166","2018-11-19",2.8
"167","2018-11-20",2.8
"168","2018-11-21",2.9
"169","2018-11-23",2.553
"170","2018-11-26",2.1
"171","2018-11-27",2.1
"172","2018-11-28",2.4
"173","2018-11-29",2.513
"174","2018-11-30",2.73
"175","2018-12-03",2.68
"176","2018-12-04",2.508
"177","2018-12-06",2.499
"178","2018-12-07",2.6
"179","2018-12-10",2.75
"180","2018-12-11",2.827
"181","2018-12-12",2.828
"182","2018-12-13",2.827
"183","2018-12-14",2.85
"184","2018-12-17",2.87
"185","2018-12-18",3
"186","2018-12-19",2.995
"187","2018-12-20",2.87
"188","2018-12-21",2.8
"189","2018-12-24",2.8
"190","2018-12-26",2.7
"191","2018-12-27",2.61
"192","2018-12-28",2.61
"193","2018-12-31",2.75
"194","2019-01-02",2.6
"195","2019-01-03",2.837
"196","2019-01-04",2.98
