"","date","HARP"
"1","2019-02-08",13.5
"2","2019-02-11",14.2
"3","2019-02-12",14.19
"4","2019-02-13",14.07
"5","2019-02-14",14.3
"6","2019-02-15",14.8
"7","2019-02-19",15.08
"8","2019-02-20",14.63
"9","2019-02-21",14.44
"10","2019-02-22",16.709999
"11","2019-02-25",14.36
"12","2019-02-26",14.55
"13","2019-02-27",15.12
"14","2019-02-28",15.17
"15","2019-03-01",16.200001
"16","2019-03-04",17.01
"17","2019-03-05",15.67
"18","2019-03-06",15.55
"19","2019-03-07",12.76
"20","2019-03-08",13.16
"21","2019-03-11",11.66
"22","2019-03-12",11.76
"23","2019-03-13",11.52
"24","2019-03-14",11.62
"25","2019-03-15",12.06
"26","2019-03-18",12.28
"27","2019-03-19",11.92
"28","2019-03-20",11.71
"29","2019-03-21",10.67
"30","2019-03-22",10.22
"31","2019-03-25",10.03
"32","2019-03-26",9.87
"33","2019-03-27",9.91
"34","2019-03-28",9.8
"35","2019-03-29",9.47
"36","2019-04-01",11.17
"37","2019-04-02",11.15
"38","2019-04-03",11.12
"39","2019-04-04",11.11
"40","2019-04-05",11.49
"41","2019-04-08",12.65
"42","2019-04-09",12.42
"43","2019-04-10",12.59
"44","2019-04-11",12.45
"45","2019-04-12",12.84
"46","2019-04-15",12.73
"47","2019-04-16",12.75
"48","2019-04-17",12.61
"49","2019-04-18",13.03
"50","2019-04-22",11.35
"51","2019-04-23",11.77
"52","2019-04-24",11.2
"53","2019-04-25",11.22
"54","2019-04-26",11.3
"55","2019-04-29",11.09
"56","2019-04-30",11.74
"57","2019-05-01",11.6
"58","2019-05-02",11
"59","2019-05-03",10.59
"60","2019-05-06",10.31
"61","2019-05-07",10.33
"62","2019-05-08",10.41
"63","2019-05-09",10.1
"64","2019-05-10",10.36
"65","2019-05-13",10
"66","2019-05-14",10.24
"67","2019-05-15",10.21
"68","2019-05-16",10.65
"69","2019-05-17",11.46
"70","2019-05-20",11.12
"71","2019-05-21",11.4
"72","2019-05-22",11.6
"73","2019-05-23",11
"74","2019-05-24",11.71
"75","2019-05-28",11.92
"76","2019-05-29",11.53
"77","2019-05-30",12.18
"78","2019-05-31",12.03
"79","2019-06-03",11.84
"80","2019-06-04",11.49
"81","2019-06-05",11.36
"82","2019-06-06",11
"83","2019-06-07",11.1
"84","2019-06-10",12.14
"85","2019-06-11",11.62
"86","2019-06-12",11.6
"87","2019-06-13",11.82
"88","2019-06-14",11.89
"89","2019-06-17",11.98
"90","2019-06-18",12.11
"91","2019-06-19",12.05
"92","2019-06-20",12.82
"93","2019-06-21",12.88
"94","2019-06-24",12.7
"95","2019-06-25",12.45
"96","2019-06-26",12.52
"97","2019-06-27",12.18
"98","2019-06-28",13
"99","2019-07-01",13.37
"100","2019-07-02",12.65
"101","2019-07-03",12.91
"102","2019-07-05",13.7
"103","2019-07-08",14.29
"104","2019-07-09",14.86
"105","2019-07-10",15.09
"106","2019-07-11",15.05
"107","2019-07-12",14.97
"108","2019-07-15",15
"109","2019-07-16",15
"110","2019-07-17",14.19
"111","2019-07-18",14.68
"112","2019-07-19",14.3
"113","2019-07-22",14.98
"114","2019-07-23",15
"115","2019-07-24",14.85
"116","2019-07-25",14.77
"117","2019-07-26",14.99
"118","2019-07-29",14.98
"119","2019-07-30",14.92
"120","2019-07-31",14.89
"121","2019-08-01",14.54
"122","2019-08-02",13.42
"123","2019-08-05",13.02
"124","2019-08-06",13.24
"125","2019-08-07",13.06
"126","2019-08-08",13.01
"127","2019-08-09",12.53
"128","2019-08-12",10.93
"129","2019-08-13",11.49
"130","2019-08-14",11.38
"131","2019-08-15",11.66
"132","2019-08-16",11.53
"133","2019-08-19",11.61
"134","2019-08-20",11.4
"135","2019-08-21",13.67
"136","2019-08-22",13.2
"137","2019-08-23",13.24
"138","2019-08-26",13.99
"139","2019-08-27",14.19
"140","2019-08-28",14.28
"141","2019-08-29",14.47
"142","2019-08-30",14.48
"143","2019-09-03",14.42
"144","2019-09-04",14.5
"145","2019-09-05",14.35
"146","2019-09-06",14.77
"147","2019-09-09",14.84
"148","2019-09-10",14.61
"149","2019-09-11",15.52
"150","2019-09-12",17.469999
"151","2019-09-13",16.280001
"152","2019-09-16",15.97
"153","2019-09-17",15.43
"154","2019-09-18",14.15
"155","2019-09-19",14
"156","2019-09-20",13.84
"157","2019-09-23",14.75
"158","2019-09-24",14.5
"159","2019-09-25",14.5
"160","2019-09-26",14.21
"161","2019-09-27",14.06
"162","2019-09-30",13.66
"163","2019-10-01",13.21
"164","2019-10-02",14.23
"165","2019-10-03",14.24
"166","2019-10-04",14
"167","2019-10-07",14.28
"168","2019-10-08",13.61
"169","2019-10-09",13.88
"170","2019-10-10",13.78
"171","2019-10-11",13.83
"172","2019-10-14",13
"173","2019-10-15",13.17
"174","2019-10-16",13.24
"175","2019-10-17",13.51
"176","2019-10-18",13
"177","2019-10-21",12.98
"178","2019-10-22",12.94
"179","2019-10-23",13.11
"180","2019-10-24",13.28
"181","2019-10-25",13.79
"182","2019-10-28",13.87
"183","2019-10-29",13.17
"184","2019-10-30",13.52
"185","2019-10-31",13.3
"186","2019-11-01",13.79
"187","2019-11-04",13.76
"188","2019-11-05",13.74
"189","2019-11-06",13.36
"190","2019-11-07",13.07
"191","2019-11-08",12.98
"192","2019-11-11",13.25
"193","2019-11-12",13.15
"194","2019-11-13",13.51
"195","2019-11-14",13.2
"196","2019-11-15",13.77
"197","2019-11-18",13.78
"198","2019-11-19",14.61
"199","2019-11-20",14.46
"200","2019-11-21",15.35
"201","2019-11-22",14.85
"202","2019-11-25",15.76
"203","2019-11-26",16.879999
"204","2019-11-27",18.75
"205","2019-11-29",18.700001
"206","2019-12-02",17.02
"207","2019-12-03",17.780001
"208","2019-12-04",17.959999
"209","2019-12-05",17.92
"210","2019-12-06",18.93
"211","2019-12-09",17.82
"212","2019-12-10",16.65
"213","2019-12-11",17.49
"214","2019-12-12",17.639999
"215","2019-12-13",17
"216","2019-12-16",16.99
"217","2019-12-17",16.76
"218","2019-12-18",17.85
"219","2019-12-19",18.059999
"220","2019-12-20",17.5
"221","2019-12-23",19.15
"222","2019-12-24",20.58
"223","2019-12-26",18.6
"224","2019-12-27",16.950001
"225","2019-12-30",15.71
"226","2019-12-31",14.79
"227","2020-01-02",14.69
"228","2020-01-03",14.45
"229","2020-01-06",14.14
"230","2020-01-07",14.11
"231","2020-01-08",14.11
"232","2020-01-09",14.24
"233","2020-01-10",14.41
"234","2020-01-13",14.34
"235","2020-01-14",14.83
"236","2020-01-15",14.76
"237","2020-01-16",14.74
"238","2020-01-17",14.5
"239","2020-01-21",14.14
"240","2020-01-22",13.87
"241","2020-01-23",14.98
"242","2020-01-24",14.62
"243","2020-01-27",14.71
"244","2020-01-28",14.61
"245","2020-01-29",13.89
"246","2020-01-30",13.46
"247","2020-01-31",13.29
"248","2020-02-03",14
"249","2020-02-04",14.65
"250","2020-02-05",16.15
"251","2020-02-06",14.26
"252","2020-02-07",14.9
"253","2020-02-10",15.16
"254","2020-02-11",15.98
"255","2020-02-12",16.290001
"256","2020-02-13",16.200001
"257","2020-02-14",15.01
"258","2020-02-18",15.1
"259","2020-02-19",15.01
"260","2020-02-20",15.1
"261","2020-02-21",15.32
"262","2020-02-24",14.68
"263","2020-02-25",14.48
"264","2020-02-26",14.73
"265","2020-02-27",14.19
"266","2020-02-28",15.34
"267","2020-03-02",16.290001
"268","2020-03-03",15.34
"269","2020-03-04",16.32
"270","2020-03-05",15.54
"271","2020-03-06",14.92
"272","2020-03-09",14.34
"273","2020-03-10",14.16
"274","2020-03-11",13.07
"275","2020-03-12",11.29
"276","2020-03-13",12.25
"277","2020-03-16",10.74
"278","2020-03-17",12.43
"279","2020-03-18",12.08
"280","2020-03-19",11.87
"281","2020-03-20",11.74
"282","2020-03-23",11.15
"283","2020-03-24",12
