"","date","KEYS"
"1","2014-10-20",28.25
"2","2014-10-21",28.309999
"3","2014-10-22",28.75
"4","2014-10-23",29.25
"5","2014-10-24",29.75
"6","2014-10-27",30.1
"7","2014-10-28",30.65
"8","2014-10-29",30
"9","2014-10-30",30.25
"10","2014-10-31",31.5
"11","2014-11-03",30.610001
"12","2014-11-04",30.16
"13","2014-11-05",30.18
"14","2014-11-06",30.049999
"15","2014-11-07",29.76
"16","2014-11-10",29.780001
"17","2014-11-11",30.040001
"18","2014-11-12",30.83
"19","2014-11-13",30.41
"20","2014-11-14",30.700001
"21","2014-11-17",31.049999
"22","2014-11-18",31
"23","2014-11-19",30.969999
"24","2014-11-20",31.41
"25","2014-11-21",32.299999
"26","2014-11-24",33
"27","2014-11-25",32.849998
"28","2014-11-26",34.200001
"29","2014-11-28",35.200001
"30","2014-12-01",34.900002
"31","2014-12-02",34.779999
"32","2014-12-03",34.310001
"33","2014-12-04",34.139999
"34","2014-12-05",34.099998
"35","2014-12-08",34.189999
"36","2014-12-09",33.75
"37","2014-12-10",33.470001
"38","2014-12-11",33.490002
"39","2014-12-12",32.860001
"40","2014-12-15",32.880001
"41","2014-12-16",32.889999
"42","2014-12-17",33.830002
"43","2014-12-18",34.110001
"44","2014-12-19",33.98
"45","2014-12-22",33.939999
"46","2014-12-23",33.630001
"47","2014-12-24",33.799999
"48","2014-12-26",33.73
"49","2014-12-29",33.91
"50","2014-12-30",33.880001
"51","2014-12-31",33.77
"52","2015-01-02",33.419998
"53","2015-01-05",33.540001
"54","2015-01-06",33.610001
"55","2015-01-07",33.880001
"56","2015-01-08",34.119999
"57","2015-01-09",33.959999
"58","2015-01-12",34.459999
"59","2015-01-13",34.689999
"60","2015-01-14",34.93
"61","2015-01-15",34.470001
"62","2015-01-16",34.959999
"63","2015-01-20",34.919998
"64","2015-01-21",35.740002
"65","2015-01-22",35.779999
"66","2015-01-23",34.869999
"67","2015-01-26",34.330002
"68","2015-01-27",33.73
"69","2015-01-28",33.34
"70","2015-01-29",33.68
"71","2015-01-30",33.389999
"72","2015-02-02",34.330002
"73","2015-02-03",34.049999
"74","2015-02-04",34.209999
"75","2015-02-05",34.610001
"76","2015-02-06",35.080002
"77","2015-02-09",34.970001
"78","2015-02-10",35.759998
"79","2015-02-11",35.57
"80","2015-02-12",36.220001
"81","2015-02-13",36.490002
"82","2015-02-17",36.52
"83","2015-02-18",36.5
"84","2015-02-19",37.310001
"85","2015-02-20",37.299999
"86","2015-02-23",36.689999
"87","2015-02-24",37.59
"88","2015-02-25",37.299999
"89","2015-02-26",37.439999
"90","2015-02-27",37.540001
"91","2015-03-02",37.880001
"92","2015-03-03",37.529999
"93","2015-03-04",37.68
"94","2015-03-05",37.34
"95","2015-03-06",37.130001
"96","2015-03-09",37.389999
"97","2015-03-10",36.77
"98","2015-03-11",37.240002
"99","2015-03-12",37.330002
"100","2015-03-13",37.25
"101","2015-03-16",37.939999
"102","2015-03-17",38.189999
"103","2015-03-18",38.720001
"104","2015-03-19",38.720001
"105","2015-03-20",38.740002
"106","2015-03-23",38.889999
"107","2015-03-24",38.68
"108","2015-03-25",37.259998
"109","2015-03-26",36.720001
"110","2015-03-27",36.27
"111","2015-03-30",36.119999
"112","2015-03-31",37.150002
"113","2015-04-01",36.610001
"114","2015-04-02",36.790001
"115","2015-04-06",36.73
"116","2015-04-07",36.380001
"117","2015-04-08",36.490002
"118","2015-04-09",37.18
"119","2015-04-10",37.049999
"120","2015-04-13",36.59
"121","2015-04-14",36.150002
"122","2015-04-15",36.189999
"123","2015-04-16",36.07
"124","2015-04-17",35.360001
"125","2015-04-20",36.130001
"126","2015-04-21",36.209999
"127","2015-04-22",36.009998
"128","2015-04-23",35.439999
"129","2015-04-24",34.990002
"130","2015-04-27",34.34
"131","2015-04-28",33.939999
"132","2015-04-29",33.779999
"133","2015-04-30",33.459999
"134","2015-05-01",33.610001
"135","2015-05-04",34.48
"136","2015-05-05",34
"137","2015-05-06",33.650002
"138","2015-05-07",33.91
"139","2015-05-08",34.580002
"140","2015-05-11",35.02
"141","2015-05-12",34.759998
"142","2015-05-13",35.25
"143","2015-05-14",35.189999
"144","2015-05-15",35.330002
"145","2015-05-18",36.220001
"146","2015-05-19",34.990002
"147","2015-05-20",32.380001
"148","2015-05-21",33.029999
"149","2015-05-22",33.080002
"150","2015-05-26",32.610001
"151","2015-05-27",32.970001
"152","2015-05-28",32.900002
"153","2015-05-29",32.860001
"154","2015-06-01",32.84
"155","2015-06-02",32.970001
"156","2015-06-03",33.220001
"157","2015-06-04",32.880001
"158","2015-06-05",32.889999
"159","2015-06-08",32.77
"160","2015-06-09",32.860001
"161","2015-06-10",33.110001
