"","date","CDW"
"1","2013-06-27",18.370001
"2","2013-06-28",18.620001
"3","2013-07-01",18.34
"4","2013-07-02",19.219999
"5","2013-07-03",19.08
"6","2013-07-05",19.219999
"7","2013-07-08",19.23
"8","2013-07-09",19.5
"9","2013-07-10",19.1
"10","2013-07-11",19.58
"11","2013-07-12",19.51
"12","2013-07-15",19.559999
"13","2013-07-16",20.1
"14","2013-07-17",20.370001
"15","2013-07-18",20.83
"16","2013-07-19",20.84
"17","2013-07-22",20.34
"18","2013-07-23",20.219999
"19","2013-07-24",20.57
"20","2013-07-25",21.98
"21","2013-07-26",21.59
"22","2013-07-29",21.700001
"23","2013-07-30",21.6
"24","2013-07-31",21.5
"25","2013-08-01",21.66
"26","2013-08-02",22.43
"27","2013-08-05",22.790001
"28","2013-08-06",22.809999
"29","2013-08-07",22.950001
"30","2013-08-08",23.07
"31","2013-08-09",23.049999
"32","2013-08-12",23.16
"33","2013-08-13",23.4
"34","2013-08-14",23.360001
"35","2013-08-15",23
"36","2013-08-16",23.049999
"37","2013-08-19",23.09
"38","2013-08-20",23.110001
"39","2013-08-21",23.030001
"40","2013-08-22",23.01
"41","2013-08-23",23.27
"42","2013-08-26",22.98
"43","2013-08-27",22.219999
"44","2013-08-28",21.98
"45","2013-08-29",22.08
"46","2013-08-30",21.93
"47","2013-09-03",22.530001
"48","2013-09-04",23.01
"49","2013-09-05",23.32
"50","2013-09-06",23.24
"51","2013-09-09",22.959999
"52","2013-09-10",23.030001
"53","2013-09-11",23.42
"54","2013-09-12",23.09
"55","2013-09-13",23.5
"56","2013-09-16",23.870001
"57","2013-09-17",23.23
"58","2013-09-18",23.790001
"59","2013-09-19",23.459999
"60","2013-09-20",22.889999
"61","2013-09-23",23.860001
"62","2013-09-24",24.299999
"63","2013-09-25",24.129999
"64","2013-09-26",23.99
"65","2013-09-27",23.98
"66","2013-09-30",22.83
"67","2013-10-01",23.200001
"68","2013-10-02",22.780001
"69","2013-10-03",23.32
"70","2013-10-04",23.35
"71","2013-10-07",23.049999
"72","2013-10-08",23.120001
"73","2013-10-09",22.68
"74","2013-10-10",23.049999
"75","2013-10-11",22.99
"76","2013-10-14",22.780001
"77","2013-10-15",22.65
"78","2013-10-16",22.67
"79","2013-10-17",22.780001
"80","2013-10-18",22.99
"81","2013-10-21",22.559999
"82","2013-10-22",22.799999
"83","2013-10-23",22.719999
"84","2013-10-24",22.01
"85","2013-10-25",22.15
"86","2013-10-28",22.049999
"87","2013-10-29",21.950001
"88","2013-10-30",22.1
"89","2013-10-31",21.99
"90","2013-11-01",22.049999
"91","2013-11-04",22.940001
"92","2013-11-05",23
"93","2013-11-06",22.99
"94","2013-11-07",22.98
"95","2013-11-08",22.950001
"96","2013-11-11",21.719999
"97","2013-11-12",21.09
"98","2013-11-13",20.790001
"99","2013-11-14",20.66
"100","2013-11-15",21.58
"101","2013-11-18",21.32
"102","2013-11-19",21.26
"103","2013-11-20",21.73
"104","2013-11-21",21.99
"105","2013-11-22",22.17
"106","2013-11-25",22.299999
"107","2013-11-26",22.209999
"108","2013-11-27",22.200001
"109","2013-11-29",22.299999
"110","2013-12-02",22.459999
"111","2013-12-03",22.459999
"112","2013-12-04",22.9
"113","2013-12-05",22.51
"114","2013-12-06",22.59
"115","2013-12-09",22.620001
"116","2013-12-10",22.49
"117","2013-12-11",22.35
"118","2013-12-12",22.549999
"119","2013-12-13",22.25
"120","2013-12-16",22.450001
"121","2013-12-17",22.15
"122","2013-12-18",22.389999
"123","2013-12-19",22.059999
"124","2013-12-20",22.370001
"125","2013-12-23",22.290001
"126","2013-12-24",22.620001
"127","2013-12-26",22.9
"128","2013-12-27",23
"129","2013-12-30",23.219999
"130","2013-12-31",23.360001
"131","2014-01-02",23.379999
"132","2014-01-03",23.370001
