"","date","ASLN"
"1","2018-05-04",5.61
"2","2018-05-07",5.48
"3","2018-05-08",6.27
"4","2018-05-09",6.25
"5","2018-05-10",6.25
"6","2018-05-11",6.5
"7","2018-05-14",6.39
"8","2018-05-15",6.25
"9","2018-05-16",6.2
"10","2018-05-17",6.21
"11","2018-05-18",6.188
"12","2018-05-21",6.17
"13","2018-05-22",6.03
"14","2018-05-23",6.19
"15","2018-05-24",6.06
"16","2018-05-25",6.02
"17","2018-05-29",6.85
"18","2018-05-30",9.21
"19","2018-05-31",8.26
"20","2018-06-01",8.51
"21","2018-06-04",9.78
"22","2018-06-05",9.9
"23","2018-06-06",9.86
"24","2018-06-07",10.24
"25","2018-06-08",9.644
"26","2018-06-11",8.83
"27","2018-06-12",9.17
"28","2018-06-13",9.2
"29","2018-06-14",9.01
"30","2018-06-15",8.75
"31","2018-06-18",8.5
"32","2018-06-19",8.54
"33","2018-06-20",8.9
"34","2018-06-21",8.45
"35","2018-06-22",8.73
"36","2018-06-25",8.69
"37","2018-06-26",8.325
"38","2018-06-27",7.92
"39","2018-06-28",7.78
"40","2018-06-29",8.9
"41","2018-07-02",8.41
"42","2018-07-03",8.1
"43","2018-07-05",8.3
"44","2018-07-06",8.3
"45","2018-07-09",7.98
"46","2018-07-10",7.861
"47","2018-07-11",7.9
"48","2018-07-12",7.79
"49","2018-07-13",7.65
"50","2018-07-16",7.3
"51","2018-07-17",7.46
"52","2018-07-18",8.067
"53","2018-07-19",7.87
"54","2018-07-20",7.83
"55","2018-07-23",7.92
"56","2018-07-24",7.9
"57","2018-07-25",8.1
"58","2018-07-26",8.06
"59","2018-07-27",7.9
"60","2018-07-30",7.9
"61","2018-07-31",7.9
"62","2018-08-01",7.95
"63","2018-08-02",8.1
"64","2018-08-03",7.69
"65","2018-08-06",7.4
"66","2018-08-07",8
"67","2018-08-08",7.8
"68","2018-08-09",7.8
"69","2018-08-10",7.5
"70","2018-08-13",7.7
"71","2018-08-14",8
"72","2018-08-15",8
"73","2018-08-16",8.02
"74","2018-08-17",7.9
"75","2018-08-20",8
"76","2018-08-21",8.5
"77","2018-08-22",8.2
"78","2018-08-23",8.07
"79","2018-08-24",8
"80","2018-08-27",8
"81","2018-08-28",7.98
"82","2018-08-29",7.83
"83","2018-08-30",7.9
"84","2018-08-31",8.1
"85","2018-09-04",8
"86","2018-09-05",8
"87","2018-09-06",8.1
"88","2018-09-07",7.9
"89","2018-09-10",8.14
"90","2018-09-11",7.66
"91","2018-09-12",8.09
"92","2018-09-13",7.8
"93","2018-09-14",7.66
"94","2018-09-17",7.55
"95","2018-09-18",7.77
"96","2018-09-19",7.82
"97","2018-09-20",7.66
"98","2018-09-21",7.8
"99","2018-09-24",7.6
"100","2018-09-25",7.61
"101","2018-09-26",7.65
"102","2018-09-27",7.707
"103","2018-09-28",7.98
"104","2018-10-01",8
"105","2018-10-02",7.9
"106","2018-10-03",7.56
"107","2018-10-04",7.4
"108","2018-10-05",7.32
"109","2018-10-08",7.32
"110","2018-10-09",7.16
"111","2018-10-10",7.055
"112","2018-10-11",7.37
"113","2018-10-12",7.3
"114","2018-10-15",7.3
"115","2018-10-16",7.3
"116","2018-10-17",7.476
"117","2018-10-18",7.4
"118","2018-10-19",7.3
"119","2018-10-22",7.3
"120","2018-10-23",7
"121","2018-10-24",6.2
"122","2018-10-25",6.045
"123","2018-10-26",5.95
"124","2018-10-29",5.5
"125","2018-10-30",5.51
"126","2018-10-31",5.26
"127","2018-11-01",5.26
"128","2018-11-02",5.79
"129","2018-11-05",6
"130","2018-11-06",6.18
"131","2018-11-07",5.511
"132","2018-11-08",5.7
"133","2018-11-09",6.2
"134","2018-11-12",5.6
"135","2018-11-13",5.32
"136","2018-11-14",5.35
"137","2018-11-15",5.1
"138","2018-11-16",5.15
"139","2018-11-19",5.1
"140","2018-11-20",5.02
"141","2018-11-21",5.3
"142","2018-11-23",5.11
"143","2018-11-26",5.4
"144","2018-11-27",5.4
"145","2018-11-28",5.4
"146","2018-11-29",5.1
"147","2018-11-30",5.09
"148","2018-12-03",5.4
"149","2018-12-04",5
"150","2018-12-06",4.76
"151","2018-12-07",4.5
"152","2018-12-10",4.43
"153","2018-12-11",4.81
"154","2018-12-12",4.79
"155","2018-12-13",4.77
"156","2018-12-14",4.35
"157","2018-12-17",4.6
"158","2018-12-18",4.47
"159","2018-12-19",3.87
"160","2018-12-20",3.715
"161","2018-12-21",3.5
"162","2018-12-24",2.86
"163","2018-12-26",3.11
"164","2018-12-27",3
"165","2018-12-28",3.11
"166","2018-12-31",3.6
"167","2019-01-02",4.15
"168","2019-01-03",4.2
"169","2019-01-04",4.15
"170","2019-01-07",4.2
"171","2019-01-08",4.8
"172","2019-01-09",4.4
"173","2019-01-10",4.2
"174","2019-01-11",3.55
"175","2019-01-14",3.41
"176","2019-01-15",3.5
"177","2019-01-16",3.56
"178","2019-01-17",3.54
"179","2019-01-18",3.5
"180","2019-01-22",3.16
"181","2019-01-23",3.2
"182","2019-01-24",3.99
"183","2019-01-25",3.65
"184","2019-01-28",3.56
"185","2019-01-29",3.58
"186","2019-01-30",3.55
"187","2019-01-31",3.41
"188","2019-02-01",3.65
"189","2019-02-04",3.65
"190","2019-02-05",3.35
"191","2019-02-06",3.4
"192","2019-02-07",3.45
"193","2019-02-08",3.467
"194","2019-02-11",3.31
"195","2019-02-12",3.427
"196","2019-02-13",3.15
"197","2019-02-14",3.2
"198","2019-02-15",3.19
"199","2019-02-19",3.14
"200","2019-02-20",3.18
"201","2019-02-21",3.1
"202","2019-02-22",3.12
"203","2019-02-25",3.16
"204","2019-02-26",3.18
"205","2019-02-27",3.52
"206","2019-02-28",3.49
"207","2019-03-01",3.4
"208","2019-03-04",3.56
"209","2019-03-05",3.79
"210","2019-03-06",3.73
"211","2019-03-07",3.65
"212","2019-03-08",3.59
"213","2019-03-11",3.74
"214","2019-03-12",4.38
"215","2019-03-13",4.36
