"","date","MNCL"
"1","2019-02-28",9.73
"2","2019-03-01",9.83
"3","2019-03-04",9.83
"4","2019-03-05",9.83
"5","2019-03-06",9.83
"6","2019-03-07",9.8
"7","2019-03-08",9.8
"8","2019-03-11",9.8
"9","2019-03-12",9.8
"10","2019-03-13",9.8
"11","2019-03-14",9.77
"12","2019-03-15",9.77
"13","2019-03-18",9.77
"14","2019-03-19",9.77
"15","2019-03-20",9.77
"16","2019-03-21",9.77
"17","2019-03-22",9.77
"18","2019-03-25",9.77
"19","2019-03-26",9.78
"20","2019-03-27",9.75
"21","2019-03-28",9.76
"22","2019-03-29",9.8
"23","2019-04-01",9.79
"24","2019-04-02",9.79
"25","2019-04-03",9.8
"26","2019-04-04",9.8
"27","2019-04-05",9.79
"28","2019-04-08",9.79
"29","2019-04-09",9.79
"30","2019-04-10",9.77
"31","2019-04-11",9.77
"32","2019-04-12",9.77
"33","2019-04-15",9.77
"34","2019-04-16",9.78
"35","2019-04-17",9.78
"36","2019-04-18",9.79
"37","2019-04-22",9.82
"38","2019-04-23",9.82
"39","2019-04-24",9.82
"40","2019-04-25",9.83
"41","2019-04-26",9.77
"42","2019-04-29",9.77
"43","2019-04-30",9.77
"44","2019-05-01",9.77
"45","2019-05-02",9.77
"46","2019-05-03",9.8
"47","2019-05-06",9.86
"48","2019-05-07",9.85
"49","2019-05-08",9.85
"50","2019-05-09",9.85
"51","2019-05-10",9.85
"52","2019-05-13",9.851
"53","2019-05-14",9.85
"54","2019-05-15",9.87
"55","2019-05-16",9.86
"56","2019-05-17",9.84
"57","2019-05-20",9.84
"58","2019-05-21",9.86
"59","2019-05-22",9.84
"60","2019-05-23",9.84
"61","2019-05-24",9.84
"62","2019-05-28",9.84
"63","2019-05-29",9.84
"64","2019-05-30",9.85
"65","2019-05-31",9.85
"66","2019-06-03",9.85
"67","2019-06-04",9.86
"68","2019-06-05",9.876
"69","2019-06-06",9.876
"70","2019-06-07",9.876
"71","2019-06-10",9.876
"72","2019-06-11",9.88
"73","2019-06-12",9.88
"74","2019-06-13",9.9
"75","2019-06-14",9.9
"76","2019-06-17",9.9
"77","2019-06-18",9.9
"78","2019-06-19",9.92
"79","2019-06-20",9.92
"80","2019-06-21",9.92
"81","2019-06-24",9.895
"82","2019-06-25",9.9
"83","2019-06-26",9.94
"84","2019-06-27",9.9
"85","2019-06-28",9.9
"86","2019-07-01",9.9
"87","2019-07-02",9.9
"88","2019-07-03",9.9
"89","2019-07-05",9.93
"90","2019-07-08",9.93
"91","2019-07-09",9.93
"92","2019-07-10",9.93
"93","2019-07-11",9.93
"94","2019-07-12",9.93
"95","2019-07-15",9.93
"96","2019-07-16",9.95
"97","2019-07-17",9.96
"98","2019-07-18",9.96
"99","2019-07-19",9.94
"100","2019-07-22",9.94
"101","2019-07-23",9.94
"102","2019-07-24",10.09
"103","2019-07-25",10.07
"104","2019-07-26",10.07
"105","2019-07-29",9.99
"106","2019-07-30",10
"107","2019-07-31",9.961
"108","2019-08-01",9.97
"109","2019-08-02",9.97
"110","2019-08-05",9.95
"111","2019-08-06",10.15
"112","2019-08-07",10.1
"113","2019-08-08",10.1
"114","2019-08-09",10.03
"115","2019-08-12",10.03
"116","2019-08-13",10
"117","2019-08-14",10
"118","2019-08-15",9.99
"119","2019-08-16",10.02
"120","2019-08-19",10.01
"121","2019-08-20",10.01
"122","2019-08-21",10.01
"123","2019-08-22",9.91
"124","2019-08-23",9.96
"125","2019-08-26",9.96
"126","2019-08-27",9.96
"127","2019-08-28",9.96
"128","2019-08-29",9.96
"129","2019-08-30",9.96
"130","2019-09-03",9.96
"131","2019-09-04",9.96
"132","2019-09-05",9.96
"133","2019-09-06",9.96
"134","2019-09-09",9.96
"135","2019-09-10",9.96
"136","2019-09-11",9.96
"137","2019-09-12",9.96
"138","2019-09-13",9.96
"139","2019-09-16",9.98
"140","2019-09-17",9.98
"141","2019-09-18",10
"142","2019-09-19",10
"143","2019-09-20",10
"144","2019-09-23",10
"145","2019-09-24",10
"146","2019-09-25",10
"147","2019-09-26",10
"148","2019-09-27",10
"149","2019-09-30",10
"150","2019-10-01",10
"151","2019-10-02",10
"152","2019-10-03",10
"153","2019-10-04",10
"154","2019-10-07",10.015
"155","2019-10-08",10.025
"156","2019-10-09",10.025
"157","2019-10-10",10.025
"158","2019-10-11",10.025
"159","2019-10-14",10.025
"160","2019-10-15",10.025
"161","2019-10-16",10.01
"162","2019-10-17",10.01
"163","2019-10-18",10.05
"164","2019-10-21",10
"165","2019-10-22",9.99
"166","2019-10-23",9.99
"167","2019-10-24",10.02
"168","2019-10-25",10.01
"169","2019-10-28",10.02
"170","2019-10-29",10.02
"171","2019-10-30",10.08
"172","2019-10-31",10.07
"173","2019-11-01",10.07
"174","2019-11-04",10.07
"175","2019-11-05",10.04
"176","2019-11-06",10.04
"177","2019-11-07",10.03
"178","2019-11-08",10.063
"179","2019-11-11",10.063
"180","2019-11-12",10.063
"181","2019-11-13",10.05
"182","2019-11-14",10.05
"183","2019-11-15",10.03
"184","2019-11-18",10.02
"185","2019-11-19",10.02
"186","2019-11-20",10.02
"187","2019-11-21",10.03
"188","2019-11-22",10.04
