"","date","INN"
"1","2011-02-09",9.69
"2","2011-02-10",9.85
"3","2011-02-11",9.8
"4","2011-02-14",9.83
"5","2011-02-15",9.8
"6","2011-02-16",9.78
"7","2011-02-17",9.7
"8","2011-02-18",9.67
"9","2011-02-22",9.62
"10","2011-02-23",9.56
"11","2011-02-24",9.58
"12","2011-02-25",9.8
"13","2011-02-28",9.75
"14","2011-03-01",9.85
"15","2011-03-02",9.85
"16","2011-03-03",9.8
"17","2011-03-04",9.87
"18","2011-03-07",9.86
"19","2011-03-08",9.9
"20","2011-03-09",9.9
"21","2011-03-10",9.72
"22","2011-03-11",9.77
"23","2011-03-14",9.73
"24","2011-03-15",9.82
"25","2011-03-16",9.85
"26","2011-03-17",9.86
"27","2011-03-18",9.86
"28","2011-03-21",9.96
"29","2011-03-22",10.08
"30","2011-03-23",9.98
"31","2011-03-24",9.95
"32","2011-03-25",9.99
"33","2011-03-28",9.87
"34","2011-03-29",9.86
"35","2011-03-30",9.87
"36","2011-03-31",9.94
"37","2011-04-01",10
"38","2011-04-04",10.01
"39","2011-04-05",10.1
"40","2011-04-06",10.4
"41","2011-04-07",10.36
"42","2011-04-08",10.32
"43","2011-04-11",10.22
"44","2011-04-12",10.25
"45","2011-04-13",9.99
"46","2011-04-14",10.23
"47","2011-04-15",10.3
"48","2011-04-18",10.27
"49","2011-04-19",10.25
"50","2011-04-20",10.23
"51","2011-04-21",10.25
"52","2011-04-25",10.38
"53","2011-04-26",10.62
"54","2011-04-27",10.62
"55","2011-04-28",10.94
"56","2011-04-29",11.33
"57","2011-05-02",11.2
"58","2011-05-03",11
"59","2011-05-04",11.01
"60","2011-05-05",11.01
"61","2011-05-06",11.21
"62","2011-05-09",10.91
"63","2011-05-10",11.21
"64","2011-05-11",11.06
"65","2011-05-12",11.28
"66","2011-05-13",10.65
"67","2011-05-16",10.56
"68","2011-05-17",10.61
"69","2011-05-18",10.97
"70","2011-05-19",11.03
"71","2011-05-20",11
"72","2011-05-23",10.81
"73","2011-05-24",10.87
"74","2011-05-25",11.01
"75","2011-05-26",11.33
"76","2011-05-27",11.32
"77","2011-05-31",11.26
"78","2011-06-01",10.86
"79","2011-06-02",10.9
"80","2011-06-03",10.68
"81","2011-06-06",10.61
"82","2011-06-07",10.68
"83","2011-06-08",11
"84","2011-06-09",11.09
"85","2011-06-10",10.92
"86","2011-06-13",11.21
"87","2011-06-14",11.36
"88","2011-06-15",11.22
"89","2011-06-16",11.12
"90","2011-06-17",11.3
"91","2011-06-20",11.2
"92","2011-06-21",11.12
"93","2011-06-22",11.18
"94","2011-06-23",11.03
"95","2011-06-24",11.3
"96","2011-06-27",11.05
"97","2011-06-28",11.18
"98","2011-06-29",11.52
"99","2011-06-30",11.35
"100","2011-07-01",11.24
"101","2011-07-05",11.3
"102","2011-07-06",11.28
"103","2011-07-07",11.22
"104","2011-07-08",11.2
"105","2011-07-11",10.97
"106","2011-07-12",10.69
"107","2011-07-13",10.52
"108","2011-07-14",10.27
"109","2011-07-15",10.66
"110","2011-07-18",10.55
"111","2011-07-19",10.68
"112","2011-07-20",11.23
"113","2011-07-21",11.25
"114","2011-07-22",11.4
"115","2011-07-25",11.28
"116","2011-07-26",11.35
"117","2011-07-27",11.38
"118","2011-07-28",11.33
"119","2011-07-29",11.28
"120","2011-08-01",11.33
"121","2011-08-02",10.96
"122","2011-08-03",10.76
"123","2011-08-04",10.24
"124","2011-08-05",10.65
"125","2011-08-08",9.31
"126","2011-08-09",9.1
"127","2011-08-10",8.41
"128","2011-08-11",8.38
"129","2011-08-12",8.45
"130","2011-08-15",8.76
"131","2011-08-16",8.52
"132","2011-08-17",8.32
"133","2011-08-18",7.57
"134","2011-08-19",7.07
"135","2011-08-22",6.93
"136","2011-08-23",6.7
"137","2011-08-24",7.29
"138","2011-08-25",7.14
"139","2011-08-26",7.15
"140","2011-08-29",7.63
"141","2011-08-30",7.8
"142","2011-08-31",8.28
"143","2011-09-01",8.45
"144","2011-09-02",7.78
"145","2011-09-06",7.62
"146","2011-09-07",8.53
"147","2011-09-08",8.06
"148","2011-09-09",8.11
"149","2011-09-12",8.48
"150","2011-09-13",8.57
"151","2011-09-14",8.9
"152","2011-09-15",8.7
"153","2011-09-16",8.97
"154","2011-09-19",8.98
"155","2011-09-20",8.73
"156","2011-09-21",7.86
"157","2011-09-22",7.91
"158","2011-09-23",7.63
"159","2011-09-26",7.85
"160","2011-09-27",7.75
"161","2011-09-28",7.36
"162","2011-09-29",7.31
"163","2011-09-30",7.06
"164","2011-10-03",6.76
"165","2011-10-04",6.8
"166","2011-10-05",6.82
"167","2011-10-06",6.84
"168","2011-10-07",6.86
"169","2011-10-10",7.08
"170","2011-10-11",7.28
"171","2011-10-12",7.71
"172","2011-10-13",8.12
"173","2011-10-14",8.05
"174","2011-10-17",7.92
"175","2011-10-18",8.12
"176","2011-10-19",7.73
"177","2011-10-20",7.58
"178","2011-10-21",8.14
"179","2011-10-24",8.44
"180","2011-10-25",7.9
"181","2011-10-26",8.12
"182","2011-10-27",8.6
"183","2011-10-28",8.28
"184","2011-10-31",8.07
"185","2011-11-01",7.66
"186","2011-11-02",7.76
"187","2011-11-03",8.15
"188","2011-11-04",8.14
"189","2011-11-07",8.1
"190","2011-11-08",8.34
"191","2011-11-09",7.75
"192","2011-11-10",7.91
"193","2011-11-11",8.1
"194","2011-11-14",7.91
"195","2011-11-15",8.04
"196","2011-11-16",8.38
"197","2011-11-17",8.25
"198","2011-11-18",8.45
"199","2011-11-21",7.98
"200","2011-11-22",7.91
"201","2011-11-23",7.83
"202","2011-11-25",7.87
"203","2011-11-28",8.06
"204","2011-11-29",8.09
"205","2011-11-30",8.42
"206","2011-12-01",8.92
"207","2011-12-02",9.46
"208","2011-12-05",9.56
"209","2011-12-06",9.69
"210","2011-12-07",9.25
"211","2011-12-08",8.74
"212","2011-12-09",9.25
"213","2011-12-12",9.09
"214","2011-12-13",8.99
"215","2011-12-14",9.18
"216","2011-12-15",9.25
"217","2011-12-16",9.4
"218","2011-12-19",9.45
"219","2011-12-20",9.59
"220","2011-12-21",9.45
"221","2011-12-22",9.39
"222","2011-12-23",9.44
"223","2011-12-27",9.5
"224","2011-12-28",9.3
"225","2011-12-29",9.43
"226","2011-12-30",9.44
"227","2012-01-03",9.69
"228","2012-01-04",9.51
"229","2012-01-05",9.37
"230","2012-01-06",9.24
"231","2012-01-09",9.26
"232","2012-01-10",9.14
