"","date","ACBI"
"1","2015-11-02",15
"2","2015-11-03",15.66
"3","2015-11-04",14.305
"4","2015-11-05",14.05
"5","2015-11-06",14.15
"6","2015-11-09",14.25
"7","2015-11-10",14.25
"8","2015-11-11",14.3
"9","2015-11-12",14.26
"10","2015-11-13",14.79
"11","2015-11-16",14.53
"12","2015-11-17",14.75
"13","2015-11-18",14.57
"14","2015-11-19",14.5
"15","2015-11-20",14.27
"16","2015-11-23",14.36
"17","2015-11-24",14.45
"18","2015-11-25",14.32
"19","2015-11-27",14.35
"20","2015-11-30",14.43
"21","2015-12-01",14.53
"22","2015-12-02",14.52
"23","2015-12-03",14.37
"24","2015-12-04",14.4
"25","2015-12-07",14.69
"26","2015-12-08",14.67
"27","2015-12-09",14.68
"28","2015-12-10",14.64
"29","2015-12-11",14.53
"30","2015-12-14",14.21
"31","2015-12-15",14.48
"32","2015-12-16",14.75
"33","2015-12-17",14.64
"34","2015-12-18",14.65
"35","2015-12-21",14.7
"36","2015-12-22",14.69
"37","2015-12-23",14.89
"38","2015-12-24",14.78
"39","2015-12-28",14.52
"40","2015-12-29",14.93
"41","2015-12-30",14.84
"42","2015-12-31",14.98
"43","2016-01-04",14.85
"44","2016-01-05",14.47
"45","2016-01-06",14.49
"46","2016-01-07",14.41
"47","2016-01-08",14.16
"48","2016-01-11",13.98
"49","2016-01-12",14.01
"50","2016-01-13",13.64
"51","2016-01-14",13.79
"52","2016-01-15",13.76
"53","2016-01-19",13.52
"54","2016-01-20",13.46
"55","2016-01-21",13.54
"56","2016-01-22",13.5
"57","2016-01-25",13.37
"58","2016-01-26",13.4
"59","2016-01-27",13.4
"60","2016-01-28",13.36
"61","2016-01-29",13.35
"62","2016-02-01",13.34
"63","2016-02-02",13.22
"64","2016-02-03",13.2
"65","2016-02-04",13.25
"66","2016-02-05",13.12
"67","2016-02-08",12.74
"68","2016-02-09",12.55
"69","2016-02-10",12.42
"70","2016-02-11",11.87
"71","2016-02-12",12.23
"72","2016-02-16",12.15
"73","2016-02-17",11.88
"74","2016-02-18",11.88
"75","2016-02-19",11.89
"76","2016-02-22",11.97
"77","2016-02-23",12.35
"78","2016-02-24",12.47
"79","2016-02-25",12.48
"80","2016-02-26",12.55
"81","2016-02-29",13.01
"82","2016-03-01",13.39
"83","2016-03-02",13.16
"84","2016-03-03",12.65
"85","2016-03-04",13.29
"86","2016-03-07",13.24
"87","2016-03-08",13.21
"88","2016-03-09",13.23
"89","2016-03-10",13.32
"90","2016-03-11",13.32
"91","2016-03-14",13.4
"92","2016-03-15",13.3
"93","2016-03-16",13.5
"94","2016-03-17",13.37
"95","2016-03-18",13.69
"96","2016-03-21",13.96
"97","2016-03-22",13.76
"98","2016-03-23",13.9
"99","2016-03-24",13.94
"100","2016-03-28",13.93
"101","2016-03-29",13.95
"102","2016-03-30",13.92
"103","2016-03-31",13.94
"104","2016-04-01",13.94
"105","2016-04-04",13.89
"106","2016-04-05",13.65
"107","2016-04-06",13.91
"108","2016-04-07",13.82
"109","2016-04-08",13.85
"110","2016-04-11",13.91
"111","2016-04-12",13.9
"112","2016-04-13",13.88
"113","2016-04-14",13.91
"114","2016-04-15",13.99
"115","2016-04-18",14.01
"116","2016-04-19",14.16
