"","date","ETM"
"1","2007-01-03",28.370001
"2","2007-01-04",28.25
"3","2007-01-05",27.6
"4","2007-01-08",27.9
"5","2007-01-09",27.549999
"6","2007-01-10",27.26
"7","2007-01-11",27.639999
"8","2007-01-12",27.84
"9","2007-01-16",28.030001
"10","2007-01-17",28
"11","2007-01-18",28
"12","2007-01-19",28.110001
"13","2007-01-22",28.049999
"14","2007-01-23",28.24
"15","2007-01-24",28.200001
"16","2007-01-25",27.5
"17","2007-01-26",27.790001
"18","2007-01-29",27.940001
"19","2007-01-30",28.120001
"20","2007-01-31",28.190001
"21","2007-02-01",28.15
"22","2007-02-02",28.629999
"23","2007-02-05",28.66
"24","2007-02-06",28.75
"25","2007-02-07",29.15
"26","2007-02-08",30.059999
"27","2007-02-09",29.870001
"28","2007-02-12",29.549999
"29","2007-02-13",30.200001
"30","2007-02-14",30.4
"31","2007-02-15",30.610001
"32","2007-02-16",30.610001
"33","2007-02-20",30.58
"34","2007-02-21",30.48
"35","2007-02-22",30.42
"36","2007-02-23",30.120001
"37","2007-02-26",30.629999
"38","2007-02-27",29.17
"39","2007-02-28",28.559999
"40","2007-03-01",28.969999
"41","2007-03-02",28.610001
"42","2007-03-05",27.809999
"43","2007-03-06",27.790001
"44","2007-03-07",28
"45","2007-03-08",28
"46","2007-03-09",28.09
"47","2007-03-12",28.01
"48","2007-03-13",27.549999
"49","2007-03-14",27.440001
"50","2007-03-15",27.51
"51","2007-03-16",27.16
"52","2007-03-19",27.299999
"53","2007-03-20",27.74
"54","2007-03-21",28.450001
"55","2007-03-22",28.34
"56","2007-03-23",28.200001
"57","2007-03-26",28.219999
"58","2007-03-27",27.879999
"59","2007-03-28",27.91
"60","2007-03-29",28.09
"61","2007-03-30",28.18
"62","2007-04-02",28.110001
"63","2007-04-03",28.16
"64","2007-04-04",27.780001
"65","2007-04-05",28.17
"66","2007-04-09",27.93
"67","2007-04-10",28.09
"68","2007-04-11",28.059999
"69","2007-04-12",28.379999
"70","2007-04-13",28.32
"71","2007-04-16",28.75
"72","2007-04-17",28.91
"73","2007-04-18",28.940001
"74","2007-04-19",28.91
"75","2007-04-20",29.280001
"76","2007-04-23",28.85
"77","2007-04-24",28.59
"78","2007-04-25",28.85
"79","2007-04-26",28.629999
"80","2007-04-27",28.379999
"81","2007-04-30",27.74
"82","2007-05-01",28.01
"83","2007-05-02",28.200001
"84","2007-05-03",28.25
"85","2007-05-04",28.200001
"86","2007-05-07",27.5
"87","2007-05-08",27.26
"88","2007-05-09",27.129999
"89","2007-05-10",26.110001
"90","2007-05-11",26.76
"91","2007-05-14",26.42
"92","2007-05-15",26.280001
"93","2007-05-16",26.67
"94","2007-05-17",26.860001
"95","2007-05-18",26.959999
"96","2007-05-21",27.969999
"97","2007-05-22",27.610001
"98","2007-05-23",27.629999
"99","2007-05-24",27.01
"100","2007-05-25",26.700001
"101","2007-05-29",26.93
"102","2007-05-30",26.85
"103","2007-05-31",26.6
"104","2007-06-01",26.74
"105","2007-06-04",26.85
"106","2007-06-05",26.49
