"","date","ESSC"
"1","2020-03-20",9.35
"2","2020-03-23",9.35
"3","2020-03-24",9.35
"4","2020-03-25",9.5
"5","2020-03-26",9.5
"6","2020-03-27",9.7
"7","2020-03-30",9.7
"8","2020-03-31",9.65
"9","2020-04-01",9.4
"10","2020-04-02",9.66
"11","2020-04-03",9.66
"12","2020-04-06",9.6
"13","2020-04-07",9.6
"14","2020-04-08",9.63
"15","2020-04-09",9.62
"16","2020-04-13",9.62
"17","2020-04-14",9.75
"18","2020-04-15",9.75
"19","2020-04-16",9.75
"20","2020-04-17",9.7
"21","2020-04-20",9.7
"22","2020-04-21",9.7
"23","2020-04-22",9.7
"24","2020-04-23",9.77
"25","2020-04-24",9.77
"26","2020-04-27",9.75
"27","2020-04-28",9.75
"28","2020-04-29",9.77
"29","2020-04-30",9.73
"30","2020-05-01",9.73
"31","2020-05-04",9.73
"32","2020-05-05",9.73
"33","2020-05-06",9.7
"34","2020-05-07",9.7
"35","2020-05-08",9.7
"36","2020-05-11",9.7
"37","2020-05-12",9.775
"38","2020-05-13",9.775
"39","2020-05-14",9.72
"40","2020-05-15",9.75
"41","2020-05-18",9.75
"42","2020-05-19",9.72
"43","2020-05-20",9.72
"44","2020-05-21",9.77
"45","2020-05-22",9.75
"46","2020-05-26",9.75
"47","2020-05-27",9.78
"48","2020-05-28",9.78
"49","2020-05-29",9.78
"50","2020-06-01",9.78
"51","2020-06-02",9.78
"52","2020-06-03",9.78
"53","2020-06-04",9.75
"54","2020-06-05",9.75
"55","2020-06-08",9.77
"56","2020-06-09",9.78
"57","2020-06-10",9.78
"58","2020-06-11",9.76
"59","2020-06-12",9.8
"60","2020-06-15",9.76
"61","2020-06-16",9.76
"62","2020-06-17",9.76
"63","2020-06-18",9.81
"64","2020-06-19",9.84
"65","2020-06-22",9.836
"66","2020-06-23",9.87
"67","2020-06-24",9.87
"68","2020-06-25",9.87
"69","2020-06-26",9.84
"70","2020-06-29",9.87
"71","2020-06-30",9.86
"72","2020-07-01",9.9
"73","2020-07-02",9.9
"74","2020-07-06",9.86
"75","2020-07-07",9.83
"76","2020-07-08",9.84
"77","2020-07-09",9.85
"78","2020-07-10",9.89
"79","2020-07-13",9.91
"80","2020-07-14",9.94
"81","2020-07-15",9.924
"82","2020-07-16",9.92
"83","2020-07-17",9.93
"84","2020-07-20",9.91
"85","2020-07-21",9.93
"86","2020-07-22",9.95
"87","2020-07-23",9.98
"88","2020-07-24",9.96
"89","2020-07-27",9.97
"90","2020-07-28",9.96
"91","2020-07-29",9.97
"92","2020-07-30",9.91
"93","2020-07-31",9.91
"94","2020-08-03",9.95
"95","2020-08-04",9.85
"96","2020-08-05",9.86
"97","2020-08-06",9.86
"98","2020-08-07",9.9
"99","2020-08-10",9.9
"100","2020-08-11",9.857
"101","2020-08-12",9.86
"102","2020-08-13",9.85
"103","2020-08-14",9.88
"104","2020-08-17",9.88
"105","2020-08-18",9.88
"106","2020-08-19",9.85
"107","2020-08-20",9.85
"108","2020-08-21",9.85
"109","2020-08-24",9.85
"110","2020-08-25",9.85
"111","2020-08-26",9.93
"112","2020-08-27",9.93
"113","2020-08-28",9.8
"114","2020-08-31",9.9
"115","2020-09-01",9.89
"116","2020-09-02",9.86
"117","2020-09-03",9.83
"118","2020-09-04",9.86
"119","2020-09-08",9.888
"120","2020-09-09",9.888
"121","2020-09-10",9.84
"122","2020-09-11",9.84
"123","2020-09-14",9.84
"124","2020-09-15",9.85
"125","2020-09-16",9.84
"126","2020-09-17",9.84
"127","2020-09-18",9.8
"128","2020-09-21",9.88
"129","2020-09-22",9.87
"130","2020-09-23",9.84
"131","2020-09-24",9.84
"132","2020-09-25",9.82
"133","2020-09-28",9.86
"134","2020-09-29",9.82
"135","2020-09-30",9.85
"136","2020-10-01",9.8
"137","2020-10-02",9.8
"138","2020-10-05",9.79
"139","2020-10-06",9.82
"140","2020-10-07",9.8
"141","2020-10-08",9.76
"142","2020-10-09",9.79
"143","2020-10-12",9.8
"144","2020-10-13",9.78
"145","2020-10-14",9.79
"146","2020-10-15",9.79
"147","2020-10-16",9.8
"148","2020-10-19",9.8
"149","2020-10-20",9.8
"150","2020-10-21",9.79
"151","2020-10-22",9.79
"152","2020-10-23",9.78
"153","2020-10-26",9.76
"154","2020-10-27",9.77
"155","2020-10-28",9.76
"156","2020-10-29",9.76
"157","2020-10-30",9.785
"158","2020-11-02",9.77
"159","2020-11-03",9.805
"160","2020-11-04",9.78
"161","2020-11-05",9.81
"162","2020-11-06",9.8
"163","2020-11-09",9.82
"164","2020-11-10",9.84
"165","2020-11-11",9.91
"166","2020-11-12",9.86
"167","2020-11-13",9.83
"168","2020-11-16",9.84
"169","2020-11-17",9.87
"170","2020-11-18",9.9
"171","2020-11-19",9.89
"172","2020-11-20",9.87
"173","2020-11-23",9.91
"174","2020-11-24",9.9
"175","2020-11-25",9.92
"176","2020-11-27",9.95
