"","date","HMST"
"1","2012-02-10",12
"2","2012-02-13",12.6925
"3","2012-02-14",12.4875
"4","2012-02-15",12.525
"5","2012-02-16",12.565
"6","2012-02-17",12.685
"7","2012-02-21",12.8125
"8","2012-02-22",12.575
"9","2012-02-23",12.7625
"10","2012-02-24",12.975
"11","2012-02-27",12.975
"12","2012-02-28",13.1125
"13","2012-02-29",13.25
"14","2012-03-01",13.375
"15","2012-03-02",13.525
"16","2012-03-05",13.3825
"17","2012-03-06",13.125
"18","2012-03-07",13.0625
"19","2012-03-08",13.0575
"20","2012-03-09",13.33
"21","2012-03-12",13.83
"22","2012-03-13",13.75
"23","2012-03-14",13.93
"24","2012-03-15",14.5
"25","2012-03-16",13.855
"26","2012-03-19",13.97
"27","2012-03-20",14.08
"28","2012-03-21",13.925
"29","2012-03-22",13.505
"30","2012-03-23",13.52
"31","2012-03-26",13.905
"32","2012-03-27",13.62
"33","2012-03-28",13.8
"34","2012-03-29",13.485
"35","2012-03-30",13.9
"36","2012-04-02",13.985
"37","2012-04-03",13.9
"38","2012-04-04",13.97
"39","2012-04-05",13.815
"40","2012-04-09",13.975
"41","2012-04-10",13.62
"42","2012-04-11",13.97
"43","2012-04-12",14.05
"44","2012-04-13",14.19
"45","2012-04-16",15.12
"46","2012-04-17",16.24
"47","2012-04-18",17.025
"48","2012-04-19",17.055
"49","2012-04-20",16.99
"50","2012-04-23",16.129999
"51","2012-04-24",16.469999
"52","2012-04-25",16.545
"53","2012-04-26",16.465
"54","2012-04-27",16.75
"55","2012-04-30",17.459999
"56","2012-05-01",17.385
"57","2012-05-02",17.450001
"58","2012-05-03",17.15
"59","2012-05-04",16.924999
"60","2012-05-07",17.25
"61","2012-05-08",17.1
"62","2012-05-09",17.355
"63","2012-05-10",17.42
"64","2012-05-11",17.4
"65","2012-05-14",17.309999
"66","2012-05-15",16.98
"67","2012-05-16",16.565001
"68","2012-05-17",16.625
"69","2012-05-18",16.725
"70","2012-05-21",16.594999
"71","2012-05-22",16.605
"72","2012-05-23",16.735001
"73","2012-05-24",17.25
"74","2012-05-25",17.26
"75","2012-05-29",17.254999
"76","2012-05-30",16.610001
"77","2012-05-31",16.5
"78","2012-06-01",16.215
"79","2012-06-04",16.299999
"80","2012-06-05",16.325001
"81","2012-06-06",16.5
"82","2012-06-07",16.27
"83","2012-06-08",16.5
"84","2012-06-11",16.395
"85","2012-06-12",16.5
"86","2012-06-13",16.355
"87","2012-06-14",16.110001
"88","2012-06-15",16.059999
"89","2012-06-18",15.86
"90","2012-06-19",16.379999
"91","2012-06-20",16.115
"92","2012-06-21",16.049999
"93","2012-06-22",16.514999
"94","2012-06-25",16.184999
"95","2012-06-26",15.865
"96","2012-06-27",15.74
"97","2012-06-28",15.68
"98","2012-06-29",15.995
"99","2012-07-02",16.07
"100","2012-07-03",16.1
"101","2012-07-05",15.885
"102","2012-07-06",15.68
"103","2012-07-09",15.785
"104","2012-07-10",16.235001
"105","2012-07-11",16.955
"106","2012-07-12",17.48
"107","2012-07-13",18.76
"108","2012-07-16",18.82
"109","2012-07-17",18.565001
"110","2012-07-18",18.75
"111","2012-07-19",18.48
"112","2012-07-20",17.85
"113","2012-07-23",17.815001
"114","2012-07-24",17.695
"115","2012-07-25",17.855
"116","2012-07-26",17.780001
"117","2012-07-27",18
"118","2012-07-30",18.135
"119","2012-07-31",18.33
"120","2012-08-01",17
"121","2012-08-02",16.790001
"122","2012-08-03",17.48
"123","2012-08-06",18.049999
"124","2012-08-07",18.469999
"125","2012-08-08",18.495001
"126","2012-08-09",18.219999
"127","2012-08-10",17.635
"128","2012-08-13",17.17
"129","2012-08-14",17.92
"130","2012-08-15",18.23
"131","2012-08-16",18.035
"132","2012-08-17",18.41
"133","2012-08-20",18.025
"134","2012-08-21",18.215
"135","2012-08-22",17.93
"136","2012-08-23",17.504999
"137","2012-08-24",17.68
"138","2012-08-27",17.860001
"139","2012-08-28",17.525
"140","2012-08-29",17.455
"141","2012-08-30",17.315001
"142","2012-08-31",17.719999
"143","2012-09-04",17.73
"144","2012-09-05",17.985001
"145","2012-09-06",18.07
"146","2012-09-07",17.799999
"147","2012-09-10",17.549999
"148","2012-09-11",17.325001
"149","2012-09-12",17.375
"150","2012-09-13",17.48
"151","2012-09-14",17.67
"152","2012-09-17",17.9
"153","2012-09-18",18.615
"154","2012-09-19",18.43
"155","2012-09-20",18.6
"156","2012-09-21",18.92
"157","2012-09-24",18.719999
"158","2012-09-25",18.514999
"159","2012-09-26",18.629999
"160","2012-09-27",19.065001
