"","date","IMMP"
"1","2012-04-19",23.333334
"2","2012-04-20",24
"3","2012-04-23",21.333334
"4","2012-04-24",21.333334
"5","2012-04-25",22.566668
"6","2012-04-26",22.566668
"7","2012-04-27",23.333334
"8","2012-04-30",23.333334
"9","2012-05-01",23.333334
"10","2012-05-02",22.6
"11","2012-05-03",22.6
"12","2012-05-04",22.6
"13","2012-05-07",20
"14","2012-05-08",20
"15","2012-05-09",20
"16","2012-05-10",20
"17","2012-05-11",20
"18","2012-05-14",20
"19","2012-05-15",17.5
"20","2012-05-16",17.5
"21","2012-05-17",17.5
"22","2012-05-18",16.133333
"23","2012-05-21",15
"24","2012-05-22",15
"25","2012-05-23",15.666667
"26","2012-05-24",15.666667
"27","2012-05-25",13.7
"28","2012-05-29",12.5
"29","2012-05-30",12.5
"30","2012-05-31",15.433333
"31","2012-06-01",19.200001
"32","2012-06-04",16.166666
"33","2012-06-05",16.133333
"34","2012-06-06",14.666667
"35","2012-06-07",13.333333
"36","2012-06-08",14.866667
"37","2012-06-11",14.666667
"38","2012-06-12",12.8
"39","2012-06-13",14.333333
"40","2012-06-14",12.033334
"41","2012-06-15",12.7
"42","2012-06-18",12.033334
"43","2012-06-19",12.033334
"44","2012-06-20",11.666667
"45","2012-06-21",13.9
"46","2012-06-22",13.9
"47","2012-06-25",13.9
"48","2012-06-26",10.833333
"49","2012-06-27",10.7
"50","2012-06-28",10.666667
"51","2012-06-29",15.3
"52","2012-07-02",11.766666
"53","2012-07-03",12.5
"54","2012-07-05",11.7
"55","2012-07-06",13
"56","2012-07-09",13
"57","2012-07-10",13.266666
"58","2012-07-11",13
"59","2012-07-12",11.666667
"60","2012-07-13",10.766666
"61","2012-07-16",10.5
"62","2012-07-17",10.666667
"63","2012-07-18",10.666667
"64","2012-07-19",10.666667
"65","2012-07-20",10.666667
"66","2012-07-23",12
"67","2012-07-24",13.233334
"68","2012-07-25",13.333333
"69","2012-07-26",13.333333
"70","2012-07-27",13.333333
"71","2012-07-30",11.366667
"72","2012-07-31",12.066667
"73","2012-08-01",12.066667
"74","2012-08-02",11.9
"75","2012-08-03",11.666667
"76","2012-08-06",11.666667
"77","2012-08-07",11.666667
"78","2012-08-08",11.666667
"79","2012-08-09",11.666667
