"","date","GPMT"
"1","2017-06-26",19.040001
"2","2017-06-27",18.93
"3","2017-06-28",18.950001
"4","2017-06-29",18.82
"5","2017-06-30",18.92
"6","2017-07-03",18.93
"7","2017-07-05",19.1
"8","2017-07-06",18.940001
"9","2017-07-07",18.950001
"10","2017-07-10",19
"11","2017-07-11",19.01
"12","2017-07-12",19.07
"13","2017-07-13",19.129999
"14","2017-07-14",19.200001
"15","2017-07-17",19.07
"16","2017-07-18",19
"17","2017-07-19",19.049999
"18","2017-07-20",19.049999
"19","2017-07-21",19
"20","2017-07-24",19.040001
"21","2017-07-25",18.959999
"22","2017-07-26",18.870001
"23","2017-07-27",18.780001
"24","2017-07-28",18.799999
"25","2017-07-31",18.85
"26","2017-08-01",18.9
"27","2017-08-02",19.23
"28","2017-08-03",19.18
"29","2017-08-04",19.299999
"30","2017-08-07",19.25
"31","2017-08-08",19.17
"32","2017-08-09",18.959999
"33","2017-08-10",19.139999
"34","2017-08-11",19.280001
"35","2017-08-14",19.1
"36","2017-08-15",19.059999
"37","2017-08-16",19.209999
"38","2017-08-17",19.18
"39","2017-08-18",19.07
"40","2017-08-21",19.1
"41","2017-08-22",19.1
"42","2017-08-23",19.049999
"43","2017-08-24",19.139999
"44","2017-08-25",19.190001
"45","2017-08-28",19.18
"46","2017-08-29",19.030001
"47","2017-08-30",19.15
"48","2017-08-31",19.139999
"49","2017-09-01",19.190001
"50","2017-09-05",19.24
"51","2017-09-06",19.18
"52","2017-09-07",19.129999
"53","2017-09-08",19.040001
"54","2017-09-11",19.15
"55","2017-09-12",19.23
"56","2017-09-13",19.24
"57","2017-09-14",19.1
"58","2017-09-15",18.879999
"59","2017-09-18",18.950001
"60","2017-09-19",18.700001
"61","2017-09-20",18.799999
"62","2017-09-21",19.030001
"63","2017-09-22",19.02
"64","2017-09-25",18.950001
"65","2017-09-26",18.969999
"66","2017-09-27",18.93
"67","2017-09-28",18.74
"68","2017-09-29",18.73
"69","2017-10-02",18.93
"70","2017-10-03",19.07
"71","2017-10-04",19.07
"72","2017-10-05",19.08
"73","2017-10-06",18.940001
"74","2017-10-09",18.9
"75","2017-10-10",18.940001
"76","2017-10-11",18.969999
"77","2017-10-12",18.950001
"78","2017-10-13",18.9
"79","2017-10-16",18.959999
"80","2017-10-17",18.969999
"81","2017-10-18",18.690001
"82","2017-10-19",18.4
"83","2017-10-20",18.4
"84","2017-10-23",18.299999
"85","2017-10-24",18.379999
"86","2017-10-25",18.280001
"87","2017-10-26",18.129999
"88","2017-10-27",18.540001
"89","2017-10-30",18.540001
"90","2017-10-31",18.549999
"91","2017-11-01",18.780001
"92","2017-11-02",17.76
"93","2017-11-03",17.83
"94","2017-11-06",17.959999
"95","2017-11-07",17.57
"96","2017-11-08",17.450001
"97","2017-11-09",17.799999
"98","2017-11-10",17.780001
"99","2017-11-13",17.559999
"100","2017-11-14",17.780001
"101","2017-11-15",17.889999
"102","2017-11-16",17.85
"103","2017-11-17",18.1
"104","2017-11-20",17.74
"105","2017-11-21",17.77
"106","2017-11-22",18.040001
"107","2017-11-24",17.950001
"108","2017-11-27",17.860001
"109","2017-11-28",17.91
"110","2017-11-29",18
"111","2017-11-30",17.950001
"112","2017-12-01",17.959999
"113","2017-12-04",18.1
"114","2017-12-05",17.83
"115","2017-12-06",17.639999
"116","2017-12-07",17.639999
"117","2017-12-08",17.870001
"118","2017-12-11",17.76
"119","2017-12-12",17.790001
"120","2017-12-13",17.83
"121","2017-12-14",17.83
"122","2017-12-15",18
"123","2017-12-18",18.17
"124","2017-12-19",18
"125","2017-12-20",18.110001
"126","2017-12-21",18.209999
"127","2017-12-22",18.129999
"128","2017-12-26",18.139999
"129","2017-12-27",18.280001
"130","2017-12-28",17.77
"131","2017-12-29",17.74
"132","2018-01-02",17.799999
"133","2018-01-03",17.799999
"134","2018-01-04",17.76
"135","2018-01-05",17.74
"136","2018-01-08",17.83
"137","2018-01-09",17.6
"138","2018-01-10",17.49
"139","2018-01-11",17.549999
"140","2018-01-12",17.52
"141","2018-01-16",17.450001
"142","2018-01-17",17.43
"143","2018-01-18",17.469999
"144","2018-01-19",17.5
"145","2018-01-22",17.440001
"146","2018-01-23",17.440001
"147","2018-01-24",17.389999
"148","2018-01-25",17.440001
"149","2018-01-26",17.27
"150","2018-01-29",17.33
"151","2018-01-30",17.200001
"152","2018-01-31",17.24
"153","2018-02-01",17.120001
"154","2018-02-02",16.889999
"155","2018-02-05",16.690001
"156","2018-02-06",16.92
"157","2018-02-07",16.799999
"158","2018-02-08",16.379999
"159","2018-02-09",16.43
"160","2018-02-12",16.74
"161","2018-02-13",16.889999
"162","2018-02-14",16.91
"163","2018-02-15",17.25
"164","2018-02-16",17.33
"165","2018-02-20",16.950001
"166","2018-02-21",16.77
"167","2018-02-22",17.17
"168","2018-02-23",17.370001
"169","2018-02-26",17.469999
"170","2018-02-27",17.17
"171","2018-02-28",16.85
"172","2018-03-01",16.76
"173","2018-03-02",16.82
"174","2018-03-05",17.030001
"175","2018-03-06",17.110001
"176","2018-03-07",17.040001
"177","2018-03-08",16.959999
"178","2018-03-09",17.299999
"179","2018-03-12",17.440001
"180","2018-03-13",17.16
"181","2018-03-14",17.23
"182","2018-03-15",17.129999
"183","2018-03-16",17.09
"184","2018-03-19",17.26
"185","2018-03-20",17.33
"186","2018-03-21",17.459999
"187","2018-03-22",17.299999
"188","2018-03-23",17.17
"189","2018-03-26",17.16
"190","2018-03-27",17.190001
"191","2018-03-28",16.719999
"192","2018-03-29",16.540001
"193","2018-04-02",16.629999
