"","date","M"
"1","2007-01-03",37.509998
"2","2007-01-04",37.310001
"3","2007-01-05",36.889999
"4","2007-01-08",37.599998
"5","2007-01-09",38.849998
"6","2007-01-10",38.82
"7","2007-01-11",39.330002
"8","2007-01-12",39.240002
"9","2007-01-16",39.130001
"10","2007-01-17",38.91
"11","2007-01-18",39.43
"12","2007-01-19",40.220001
"13","2007-01-22",39.900002
"14","2007-01-23",39.599998
"15","2007-01-24",40.720001
"16","2007-01-25",39.82
"17","2007-01-26",40.27
"18","2007-01-29",40.349998
"19","2007-01-30",40.349998
"20","2007-01-31",41.490002
"21","2007-02-01",41.869999
"22","2007-02-02",41.880001
"23","2007-02-05",41.310001
"24","2007-02-06",41.619999
"25","2007-02-07",41.32
"26","2007-02-08",42.860001
"27","2007-02-09",43.040001
"28","2007-02-12",43.360001
"29","2007-02-13",43.950001
"30","2007-02-14",44.330002
"31","2007-02-15",44.529999
"32","2007-02-16",44.099998
"33","2007-02-20",44.419998
"34","2007-02-21",43.98
"35","2007-02-22",44.25
"36","2007-02-23",44.290001
"37","2007-02-26",44.200001
"38","2007-02-27",43.349998
"39","2007-02-28",44.669998
"40","2007-03-01",44.290001
"41","2007-03-02",44.25
"42","2007-03-05",44.169998
"43","2007-03-06",43.889999
"44","2007-03-07",43.799999
"45","2007-03-08",44.939999
"46","2007-03-09",44.490002
"47","2007-03-12",45.07
"48","2007-03-13",44.099998
"49","2007-03-14",43.970001
"50","2007-03-15",44.290001
"51","2007-03-16",44.360001
"52","2007-03-19",44.990002
"53","2007-03-20",45.540001
"54","2007-03-21",46.220001
"55","2007-03-22",46.150002
"56","2007-03-23",46.509998
"57","2007-03-26",46.490002
"58","2007-03-27",46.23
"59","2007-03-28",45.330002
"60","2007-03-29",45.360001
"61","2007-03-30",45.049999
"62","2007-04-02",45.060001
"63","2007-04-03",45.549999
"64","2007-04-04",45.5
"65","2007-04-05",46
"66","2007-04-09",46.310001
"67","2007-04-10",45.73
"68","2007-04-11",44.860001
"69","2007-04-12",45.400002
"70","2007-04-13",45.099998
"71","2007-04-16",45.400002
"72","2007-04-17",45.220001
"73","2007-04-18",44.799999
"74","2007-04-19",44.810001
"75","2007-04-20",45.060001
