"","date","NOMD"
"1","2015-01-02",10.5
"2","2015-01-05",10.5
"3","2015-01-06",10.5
"4","2015-01-07",10.5
"5","2015-01-08",10.5
"6","2015-01-09",10.5
"7","2015-01-12",10.5
"8","2015-01-13",10.5
"9","2015-01-14",10.25
"10","2015-01-15",10.25
"11","2015-01-16",10.25
"12","2015-01-20",10.25
"13","2015-01-21",10
"14","2015-01-22",10
"15","2015-01-23",10.03
"16","2015-01-26",10.03
"17","2015-01-27",10.03
"18","2015-01-28",10.03
"19","2015-01-29",10.03
"20","2015-01-30",10
"21","2015-02-02",10
"22","2015-02-03",10
"23","2015-02-04",10
"24","2015-02-05",10
"25","2015-02-06",10
"26","2015-02-09",10
"27","2015-02-10",10
"28","2015-02-11",9.75
"29","2015-02-12",9.75
"30","2015-02-13",9.75
"31","2015-02-17",9.75
"32","2015-02-18",9.75
"33","2015-02-19",9.75
"34","2015-02-20",9.75
"35","2015-02-23",10.2
"36","2015-02-24",10.2
"37","2015-02-25",10.2
"38","2015-02-26",10.2
"39","2015-02-27",10.4
"40","2015-03-02",10.4
"41","2015-03-03",10.4
"42","2015-03-04",10.4
"43","2015-03-05",10.4
"44","2015-03-06",10.4
"45","2015-03-09",10.4
"46","2015-03-10",10.4
"47","2015-03-11",10.4
"48","2015-03-12",10.4
"49","2015-03-13",10.4
"50","2015-03-16",10.4
"51","2015-03-17",10.28
"52","2015-03-18",10.28
"53","2015-03-19",10.28
"54","2015-03-20",10.28
"55","2015-03-23",10.28
"56","2015-03-24",10.28
"57","2015-03-25",10.28
"58","2015-03-26",10.28
"59","2015-03-27",10.28
"60","2015-03-30",10.28
"61","2015-03-31",10.28
"62","2015-04-01",10.28
"63","2015-04-02",10.28
"64","2015-04-06",10.28
"65","2015-04-07",10.28
"66","2015-04-08",10.28
"67","2015-04-09",10.28
"68","2015-04-10",10.28
"69","2015-04-13",10.28
"70","2015-04-14",10.28
"71","2015-04-15",10.28
"72","2015-04-16",10.28
"73","2015-04-17",12.05
"74","2015-04-20",14.5
"75","2015-04-21",16.5
"76","2015-04-22",18
"77","2015-04-23",18.75
"78","2015-04-24",17.9
"79","2015-04-27",18
"80","2015-04-28",18
"81","2015-04-29",18
"82","2015-04-30",18
"83","2015-05-01",18
"84","2015-05-04",18
"85","2015-05-05",18
