"","date","MIND"
"1","2007-01-03",12.09
"2","2007-01-04",11.98
"3","2007-01-05",11.53
"4","2007-01-08",11.62
"5","2007-01-09",11.4
"6","2007-01-10",11.63
"7","2007-01-11",11.63
"8","2007-01-12",11.69
"9","2007-01-16",11.7
"10","2007-01-17",11.84
"11","2007-01-18",11.75
"12","2007-01-19",12.03
"13","2007-01-22",12.17
"14","2007-01-23",12.67
"15","2007-01-24",12.85
"16","2007-01-25",12.75
"17","2007-01-26",12.86
"18","2007-01-29",12.9
"19","2007-01-30",13.42
"20","2007-01-31",13.49
"21","2007-02-01",13.53
"22","2007-02-02",13.41
"23","2007-02-05",13.59
"24","2007-02-06",14.15
"25","2007-02-07",14.88
"26","2007-02-08",14.93
"27","2007-02-09",14.07
"28","2007-02-12",13.59
"29","2007-02-13",13.52
"30","2007-02-14",13.53
"31","2007-02-15",13.49
"32","2007-02-16",13.44
"33","2007-02-20",13.83
"34","2007-02-21",14.26
"35","2007-02-22",14.33
"36","2007-02-23",14.51
"37","2007-02-26",14.63
"38","2007-02-27",13.74
"39","2007-02-28",13.68
"40","2007-03-01",13.52
"41","2007-03-02",13.52
"42","2007-03-05",13.03
"43","2007-03-06",13.44
"44","2007-03-07",13.55
"45","2007-03-08",13.51
"46","2007-03-09",13.51
"47","2007-03-12",13.25
"48","2007-03-13",13.04
"49","2007-03-14",13.13
"50","2007-03-15",13.01
"51","2007-03-16",13.19
"52","2007-03-19",13.31
"53","2007-03-20",13.67
"54","2007-03-21",13.72
"55","2007-03-22",14.11
"56","2007-03-23",14.07
"57","2007-03-26",14.27
"58","2007-03-27",13.99
"59","2007-03-28",14.28
"60","2007-03-29",14.5
"61","2007-03-30",14.65
"62","2007-04-02",15.47
"63","2007-04-03",15.79
"64","2007-04-04",15.89
"65","2007-04-05",15.95
"66","2007-04-09",16.030001
"67","2007-04-10",15.94
"68","2007-04-11",14.23
"69","2007-04-12",14.56
"70","2007-04-13",14.39
"71","2007-04-16",14.28
"72","2007-04-17",14.33
"73","2007-04-18",14.12
"74","2007-04-19",14.24
"75","2007-04-20",14.28
"76","2007-04-23",14.03
"77","2007-04-24",14.15
"78","2007-04-25",14.3
"79","2007-04-26",14.32
"80","2007-04-27",14.32
"81","2007-04-30",14.19
"82","2007-05-01",14.16
"83","2007-05-02",14.28
"84","2007-05-03",15.05
"85","2007-05-04",15.52
"86","2007-05-07",15.49
"87","2007-05-08",15.37
"88","2007-05-09",15.19
"89","2007-05-10",15.29
"90","2007-05-11",15.64
"91","2007-05-14",15.18
"92","2007-05-15",15.54
"93","2007-05-16",15.43
"94","2007-05-17",15.57
"95","2007-05-18",15.58
"96","2007-05-21",15.93
"97","2007-05-22",16.049999
"98","2007-05-23",16.16
"99","2007-05-24",15.49
"100","2007-05-25",15.5
"101","2007-05-29",16.129999
"102","2007-05-30",16.5
"103","2007-05-31",16.67
"104","2007-06-01",17.27
"105","2007-06-04",18.07
"106","2007-06-05",16.93
"107","2007-06-06",17.360001
"108","2007-06-07",17.219999
"109","2007-06-08",17.219999
"110","2007-06-11",17.049999
"111","2007-06-12",17.1
"112","2007-06-13",18.77
"113","2007-06-14",19.139999
"114","2007-06-15",19.34
"115","2007-06-18",19.98
"116","2007-06-19",20
"117","2007-06-20",19.07
"118","2007-06-21",19.559999
"119","2007-06-22",18.950001
"120","2007-06-25",18.4
"121","2007-06-26",18.52
"122","2007-06-27",18.52
"123","2007-06-28",18.6
"124","2007-06-29",19.049999
"125","2007-07-02",19.52
"126","2007-07-03",19.690001
"127","2007-07-05",19.91
"128","2007-07-06",20.16
"129","2007-07-09",19.940001
"130","2007-07-10",20
"131","2007-07-11",19.940001
"132","2007-07-12",20
"133","2007-07-13",19.469999
"134","2007-07-16",19.08
"135","2007-07-17",19.52
"136","2007-07-18",19.799999
"137","2007-07-19",19.57
"138","2007-07-20",19.219999
"139","2007-07-23",19.200001
"140","2007-07-24",18.65
"141","2007-07-25",18.24
"142","2007-07-26",17.6
"143","2007-07-27",17.32
"144","2007-07-30",17.49
"145","2007-07-31",18.27
"146","2007-08-01",18.280001
"147","2007-08-02",18.65
"148","2007-08-03",18.16
"149","2007-08-06",17.629999
"150","2007-08-07",17.58
"151","2007-08-08",18.5
"152","2007-08-09",18.92
"153","2007-08-10",17.4
"154","2007-08-13",17.75
"155","2007-08-14",17.049999
"156","2007-08-15",16.700001
"157","2007-08-16",15.78
"158","2007-08-17",16.02
"159","2007-08-20",16.74
"160","2007-08-21",17.059999
"161","2007-08-22",17.4
"162","2007-08-23",17.620001
"163","2007-08-24",18.68
"164","2007-08-27",18.65
"165","2007-08-28",18.4
"166","2007-08-29",18.77
"167","2007-08-30",18.99
"168","2007-08-31",19.309999
"169","2007-09-04",19.860001
"170","2007-09-05",20.040001
"171","2007-09-06",18.42
"172","2007-09-07",17.700001
"173","2007-09-10",17.27
"174","2007-09-11",17.09
"175","2007-09-12",17.360001
"176","2007-09-13",17.41
"177","2007-09-14",17.41
"178","2007-09-17",17.35
"179","2007-09-18",18.01
"180","2007-09-19",18.610001
"181","2007-09-20",18.42
"182","2007-09-21",18.9
"183","2007-09-24",18.530001
"184","2007-09-25",18.120001
"185","2007-09-26",18.91
"186","2007-09-27",19
"187","2007-09-28",19.280001
"188","2007-10-01",19.190001
"189","2007-10-02",19.959999
"190","2007-10-03",19.91
"191","2007-10-04",19.969999
"192","2007-10-05",20.02
"193","2007-10-08",19.959999
"194","2007-10-09",19.99
"195","2007-10-10",20.15
"196","2007-10-11",20
"197","2007-10-12",20.049999
"198","2007-10-15",19.870001
"199","2007-10-16",20.1
"200","2007-10-17",20.27
"201","2007-10-18",21.1
"202","2007-10-19",20.5
"203","2007-10-22",20.66
"204","2007-10-23",21.91
"205","2007-10-24",21.219999
"206","2007-10-25",21.18
"207","2007-10-26",21.58
"208","2007-10-29",21.73
"209","2007-10-30",20.889999
"210","2007-10-31",21.74
"211","2007-11-01",21.65
"212","2007-11-02",21.9
"213","2007-11-05",21.290001
"214","2007-11-06",21.66
"215","2007-11-07",21.18
"216","2007-11-08",20.700001
"217","2007-11-09",20.34
"218","2007-11-12",19.370001
"219","2007-11-13",20.07
"220","2007-11-14",20.75
"221","2007-11-15",19.969999
"222","2007-11-16",19.940001
