"","date","ISIG"
"1","2007-01-03",3.08
"2","2007-01-04",3.1
"3","2007-01-05",3.02
"4","2007-01-08",2.97
"5","2007-01-09",2.96
"6","2007-01-10",3
"7","2007-01-11",3.12
"8","2007-01-12",3.03
"9","2007-01-16",3.11
"10","2007-01-17",2.98
"11","2007-01-18",2.99
"12","2007-01-19",3.03
"13","2007-01-22",3.06
"14","2007-01-23",3.16
"15","2007-01-24",3.41
"16","2007-01-25",3.32
"17","2007-01-26",3.42
"18","2007-01-29",3.4
"19","2007-01-30",3.4
"20","2007-01-31",3.3
"21","2007-02-01",3.21
"22","2007-02-02",3.29
"23","2007-02-05",3.33
"24","2007-02-06",3.29
"25","2007-02-07",3.24
"26","2007-02-08",3.29
"27","2007-02-09",3.32
"28","2007-02-12",3.4
"29","2007-02-13",3.35
"30","2007-02-14",3.43
"31","2007-02-15",3.42
"32","2007-02-16",3.37
"33","2007-02-20",3.55
"34","2007-02-21",3.58
"35","2007-02-22",3.6
"36","2007-02-23",3.53
"37","2007-02-26",3.49
"38","2007-02-27",3.23
"39","2007-02-28",3.35
"40","2007-03-01",3.18
"41","2007-03-02",3.19
"42","2007-03-05",3.09
"43","2007-03-06",2.98
"44","2007-03-07",3.04
"45","2007-03-08",3.04
"46","2007-03-09",3.07
"47","2007-03-12",3.09
"48","2007-03-13",3.12
"49","2007-03-14",3.15
"50","2007-03-15",3.15
"51","2007-03-16",3.11
"52","2007-03-19",3.15
"53","2007-03-20",3.13
"54","2007-03-21",3.17
"55","2007-03-22",3.2
"56","2007-03-23",3.26
"57","2007-03-26",3.45
"58","2007-03-27",3.45
"59","2007-03-28",3.4
"60","2007-03-29",3.4
"61","2007-03-30",3.39
"62","2007-04-02",3.4
"63","2007-04-03",3.37
"64","2007-04-04",3.53
"65","2007-04-05",3.48
"66","2007-04-09",3.38
"67","2007-04-10",3.52
"68","2007-04-11",3.45
"69","2007-04-12",3.55
"70","2007-04-13",3.6
"71","2007-04-16",3.56
"72","2007-04-17",3.49
"73","2007-04-18",3.47
"74","2007-04-19",3.49
"75","2007-04-20",3.5
"76","2007-04-23",3.59
"77","2007-04-24",3.65
"78","2007-04-25",3.67
"79","2007-04-26",3.74
"80","2007-04-27",3.69
"81","2007-04-30",3.66
"82","2007-05-01",3.63
"83","2007-05-02",3.6
"84","2007-05-03",3.56
"85","2007-05-04",3.58
"86","2007-05-07",3.68
"87","2007-05-08",3.61
"88","2007-05-09",3.66
"89","2007-05-10",3.65
"90","2007-05-11",3.73
"91","2007-05-14",3.7
"92","2007-05-15",3.74
"93","2007-05-16",3.78
"94","2007-05-17",3.8
"95","2007-05-18",3.75
"96","2007-05-21",3.77
"97","2007-05-22",3.73
"98","2007-05-23",3.75
"99","2007-05-24",3.75
"100","2007-05-25",3.72
"101","2007-05-29",3.71
"102","2007-05-30",3.74
"103","2007-05-31",3.89
"104","2007-06-01",4
"105","2007-06-04",3.95
"106","2007-06-05",3.87
"107","2007-06-06",3.83
"108","2007-06-07",3.76
"109","2007-06-08",3.83
"110","2007-06-11",3.87
"111","2007-06-12",3.94
"112","2007-06-13",4.11
"113","2007-06-14",4
"114","2007-06-15",3.98
"115","2007-06-18",4.1
"116","2007-06-19",4.24
"117","2007-06-20",4.17
"118","2007-06-21",4.2
"119","2007-06-22",4.09
"120","2007-06-25",4.18
"121","2007-06-26",4.21
"122","2007-06-27",4.22
"123","2007-06-28",4.23
"124","2007-06-29",4.17
"125","2007-07-02",4.27
"126","2007-07-03",4.5
"127","2007-07-05",4.48
"128","2007-07-06",4.54
"129","2007-07-09",4.5
"130","2007-07-10",4.51
"131","2007-07-11",4.62
"132","2007-07-12",4.65
"133","2007-07-13",4.68
"134","2007-07-16",4.88
"135","2007-07-17",4.86
"136","2007-07-18",4.9
"137","2007-07-19",4.8
"138","2007-07-20",4.91
"139","2007-07-23",4.91
"140","2007-07-24",4.84
"141","2007-07-25",4.88
"142","2007-07-26",4.81
"143","2007-07-27",4.83
"144","2007-07-30",4.77
"145","2007-07-31",4.77
"146","2007-08-01",4.85
"147","2007-08-02",4.93
"148","2007-08-03",4.84
"149","2007-08-06",4.82
"150","2007-08-07",5.04
"151","2007-08-08",5
"152","2007-08-09",4.97
"153","2007-08-10",4.95
"154","2007-08-13",5
"155","2007-08-14",4.92
"156","2007-08-15",5
"157","2007-08-16",4.87
"158","2007-08-17",4.81
"159","2007-08-20",4.89
"160","2007-08-21",4.81
"161","2007-08-22",4.78
"162","2007-08-23",4.81
"163","2007-08-24",4.94
"164","2007-08-27",4.78
"165","2007-08-28",4.79
"166","2007-08-29",4.8
"167","2007-08-30",4.78
"168","2007-08-31",4.89
"169","2007-09-04",4.95
"170","2007-09-05",4.9
"171","2007-09-06",4.86
"172","2007-09-07",4.86
"173","2007-09-10",4.78
"174","2007-09-11",4.79
"175","2007-09-12",4.79
"176","2007-09-13",4.79
"177","2007-09-14",4.79
"178","2007-09-17",4.72
"179","2007-09-18",4.6
"180","2007-09-19",4.5
"181","2007-09-20",4.5
"182","2007-09-21",4.55
"183","2007-09-24",4.64
"184","2007-09-25",4.65
"185","2007-09-26",4.7
"186","2007-09-27",4.74
"187","2007-09-28",4.77
"188","2007-10-01",4.71
"189","2007-10-02",4.64
"190","2007-10-03",4.63
"191","2007-10-04",4.6
"192","2007-10-05",4.74
"193","2007-10-08",4.64
