"","date","QLYS"
"1","2012-09-28",14.16
"2","2012-10-01",13.95
"3","2012-10-02",13.69
"4","2012-10-03",13.51
"5","2012-10-04",13.6
"6","2012-10-05",13.6
"7","2012-10-08",13.67
"8","2012-10-09",13.55
"9","2012-10-10",13.51
"10","2012-10-11",13.56
"11","2012-10-12",13.64
"12","2012-10-15",13.96
"13","2012-10-16",14.01
"14","2012-10-17",14.1
"15","2012-10-18",14.69
"16","2012-10-19",14.22
"17","2012-10-22",14.89
"18","2012-10-23",14.71
"19","2012-10-24",14.4
"20","2012-10-25",14.29
"21","2012-10-26",14.2
"22","2012-10-31",12.98
"23","2012-11-01",13.6
"24","2012-11-02",12.98
"25","2012-11-05",12.42
"26","2012-11-06",13.25
"27","2012-11-07",13.08
"28","2012-11-08",11.55
"29","2012-11-09",11.85
"30","2012-11-12",11.75
"31","2012-11-13",11.94
"32","2012-11-14",12.04
"33","2012-11-15",11.91
"34","2012-11-16",12.3
"35","2012-11-19",12.15
"36","2012-11-20",12.16
"37","2012-11-21",12.16
"38","2012-11-23",12.29
"39","2012-11-26",12.41
"40","2012-11-27",12.21
"41","2012-11-28",12.28
"42","2012-11-29",13.18
"43","2012-11-30",13.38
"44","2012-12-03",13.38
"45","2012-12-04",12.88
"46","2012-12-05",12.91
"47","2012-12-06",12.2
"48","2012-12-07",12.1
"49","2012-12-10",11.34
"50","2012-12-11",11.69
"51","2012-12-12",12.39
"52","2012-12-13",12.67
"53","2012-12-14",12.87
"54","2012-12-17",13.21
"55","2012-12-18",13.41
"56","2012-12-19",13.76
"57","2012-12-20",13.58
"58","2012-12-21",13.85
"59","2012-12-24",13.7
"60","2012-12-26",13.17
"61","2012-12-27",13.67
"62","2012-12-28",14.37
"63","2012-12-31",14.79
"64","2013-01-02",15.61
"65","2013-01-03",15.5
"66","2013-01-04",16.049999
"67","2013-01-07",16.24
"68","2013-01-08",15.79
"69","2013-01-09",15.93
"70","2013-01-10",16.17
"71","2013-01-11",15.7
"72","2013-01-14",15.58
"73","2013-01-15",15.29
"74","2013-01-16",14.84
"75","2013-01-17",15.33
"76","2013-01-18",15.65
"77","2013-01-22",15.54
"78","2013-01-23",15.11
"79","2013-01-24",14.78
"80","2013-01-25",14.64
"81","2013-01-28",14.05
"82","2013-01-29",13.48
"83","2013-01-30",13.79
"84","2013-01-31",13.1
"85","2013-02-01",13.2
"86","2013-02-04",12.64
"87","2013-02-05",12.12
"88","2013-02-06",12.81
"89","2013-02-07",12.68
"90","2013-02-08",12.65
"91","2013-02-11",12.72
"92","2013-02-12",12.13
"93","2013-02-13",12.12
"94","2013-02-14",12.68
"95","2013-02-15",13.09
"96","2013-02-19",13.2
"97","2013-02-20",12.35
"98","2013-02-21",12.31
"99","2013-02-22",12.33
"100","2013-02-25",11.59
"101","2013-02-26",11.83
"102","2013-02-27",12.19
"103","2013-02-28",11.86
"104","2013-03-01",12.25
"105","2013-03-04",12.4
"106","2013-03-05",12.21
"107","2013-03-06",12.16
"108","2013-03-07",12.9
"109","2013-03-08",12.55
"110","2013-03-11",12.55
"111","2013-03-12",12.54
"112","2013-03-13",12.23
"113","2013-03-14",12.1
"114","2013-03-15",11.71
"115","2013-03-18",11.45
"116","2013-03-19",11.11
"117","2013-03-20",11.63
"118","2013-03-21",12.39
"119","2013-03-22",12.48
"120","2013-03-25",12.53
"121","2013-03-26",12.18
"122","2013-03-27",12.13
"123","2013-03-28",12.34
"124","2013-04-01",12.16
"125","2013-04-02",11.98
"126","2013-04-03",12
"127","2013-04-04",12.1
"128","2013-04-05",11.77
"129","2013-04-08",11.68
"130","2013-04-09",11.4
"131","2013-04-10",11.83
"132","2013-04-11",11.97
"133","2013-04-12",11.9
"134","2013-04-15",11.44
"135","2013-04-16",11.49
"136","2013-04-17",10.94
"137","2013-04-18",11.34
"138","2013-04-19",11.86
