"","date","ADCT"
"1","2020-05-18",30
"2","2020-05-19",31.139999
"3","2020-05-20",32.380001
"4","2020-05-21",34.330002
"5","2020-05-22",35.299999
"6","2020-05-26",36.400002
"7","2020-05-27",36.139999
"8","2020-05-28",37.950001
"9","2020-05-29",36.950001
"10","2020-06-01",36.23
"11","2020-06-02",36.82
"12","2020-06-03",35.849998
"13","2020-06-04",34.990002
"14","2020-06-05",34.950001
"15","2020-06-08",35.25
"16","2020-06-09",36.650002
"17","2020-06-10",37.560001
"18","2020-06-11",38.59
"19","2020-06-12",40.32
"20","2020-06-15",39.669998
"21","2020-06-16",39.639999
"22","2020-06-17",39.099998
"23","2020-06-18",40.299999
"24","2020-06-19",41.5
"25","2020-06-22",42.09
"26","2020-06-23",43.23
"27","2020-06-24",42.959999
"28","2020-06-25",42.709999
"29","2020-06-26",43.150002
"30","2020-06-29",45.939999
"31","2020-06-30",46.810001
"32","2020-07-01",48.77
"33","2020-07-02",51.049999
"34","2020-07-06",48.93
"35","2020-07-07",47.509998
"36","2020-07-08",44.619999
"37","2020-07-09",44.32
"38","2020-07-10",43.400002
"39","2020-07-13",43.310001
"40","2020-07-14",42.369999
"41","2020-07-15",45.130001
"42","2020-07-16",47.490002
"43","2020-07-17",49
"44","2020-07-20",48.689999
"45","2020-07-21",48.369999
"46","2020-07-22",47
"47","2020-07-23",48.82
"48","2020-07-24",48.650002
"49","2020-07-27",48.689999
"50","2020-07-28",48.599998
"51","2020-07-29",48.330002
"52","2020-07-30",48.209999
"53","2020-07-31",46.5
"54","2020-08-03",46.830002
"55","2020-08-04",48.959999
"56","2020-08-05",51.029999
"57","2020-08-06",46.740002
"58","2020-08-07",48.130001
"59","2020-08-10",49.779999
"60","2020-08-11",43.25
"61","2020-08-12",43
"62","2020-08-13",42.299999
"63","2020-08-14",39.529999
"64","2020-08-17",38.619999
"65","2020-08-18",39
"66","2020-08-19",39.700001
"67","2020-08-20",40.240002
"68","2020-08-21",42.52
"69","2020-08-24",44.110001
"70","2020-08-25",45.73
"71","2020-08-26",44.07
"72","2020-08-27",43.959999
"73","2020-08-28",45.849998
"74","2020-08-31",44.169998
"75","2020-09-01",41.189999
"76","2020-09-02",39.84
"77","2020-09-03",40.040001
"78","2020-09-04",36.939999
"79","2020-09-08",36.09
"80","2020-09-09",38
"81","2020-09-10",38.080002
"82","2020-09-11",38.68
"83","2020-09-14",40.93
"84","2020-09-15",40.709999
"85","2020-09-16",42.490002
"86","2020-09-17",45.040001
"87","2020-09-18",45.5
"88","2020-09-21",45.25
"89","2020-09-22",35.91
"90","2020-09-23",34.16
"91","2020-09-24",33.5
"92","2020-09-25",33.580002
"93","2020-09-28",33
"94","2020-09-29",32.869999
"95","2020-09-30",32.990002
"96","2020-10-01",32.150002
"97","2020-10-02",32.25
"98","2020-10-05",33.34
"99","2020-10-06",33.509998
"100","2020-10-07",33.360001
"101","2020-10-08",35.639999
"102","2020-10-09",33.84
"103","2020-10-12",34.43
"104","2020-10-13",33.09
"105","2020-10-14",30.809999
"106","2020-10-15",27.26
"107","2020-10-16",27.73
"108","2020-10-19",28.65
"109","2020-10-20",28.040001
"110","2020-10-21",25.26
"111","2020-10-22",27.700001
"112","2020-10-23",27.51
"113","2020-10-26",26.719999
"114","2020-10-27",27.09
"115","2020-10-28",28.82
"116","2020-10-29",29
"117","2020-10-30",28.690001
"118","2020-11-02",29.01
"119","2020-11-03",29.26
"120","2020-11-04",30.870001
"121","2020-11-05",32.139999
"122","2020-11-06",32.5
"123","2020-11-09",33.25
"124","2020-11-10",32.669998
"125","2020-11-11",34.669998
"126","2020-11-12",33.959999
"127","2020-11-13",33.700001
"128","2020-11-16",34.16
"129","2020-11-17",34.189999
"130","2020-11-18",33.5
"131","2020-11-19",33.720001
"132","2020-11-20",35.849998
"133","2020-11-23",36.169998
"134","2020-11-24",35.740002
"135","2020-11-25",35.689999
"136","2020-11-27",34.5
