"","date","RAD"
"1","2007-01-03",110
"2","2007-01-04",109.800003
"3","2007-01-05",111.400002
"4","2007-01-08",115
"5","2007-01-09",114.199997
"6","2007-01-10",114.400002
"7","2007-01-11",118.400002
"8","2007-01-12",122
"9","2007-01-16",121.800003
"10","2007-01-17",121.599998
"11","2007-01-18",122.800003
"12","2007-01-19",116.599998
"13","2007-01-22",116.400002
"14","2007-01-23",119.199997
"15","2007-01-24",121
"16","2007-01-25",119.800003
"17","2007-01-26",118.400002
"18","2007-01-29",121
"19","2007-01-30",120.599998
"20","2007-01-31",123.199997
"21","2007-02-01",124.599998
"22","2007-02-02",125.599998
"23","2007-02-05",127.199997
"24","2007-02-06",126
"25","2007-02-07",126.599998
"26","2007-02-08",126.199997
"27","2007-02-09",123
"28","2007-02-12",122
"29","2007-02-13",122.400002
"30","2007-02-14",122.400002
"31","2007-02-15",123.400002
"32","2007-02-16",119.800003
"33","2007-02-20",121.599998
"34","2007-02-21",122.199997
"35","2007-02-22",120.199997
"36","2007-02-23",119
"37","2007-02-26",120
"38","2007-02-27",117.599998
"39","2007-02-28",119.400002
"40","2007-03-01",119.599998
"41","2007-03-02",116.199997
"42","2007-03-05",113.199997
"43","2007-03-06",116.800003
"44","2007-03-07",117.199997
"45","2007-03-08",115.400002
"46","2007-03-09",115.800003
"47","2007-03-12",116
"48","2007-03-13",114
"49","2007-03-14",113.400002
"50","2007-03-15",112
"51","2007-03-16",111.400002
"52","2007-03-19",110.599998
"53","2007-03-20",113.199997
"54","2007-03-21",115.599998
"55","2007-03-22",116
"56","2007-03-23",116.199997
"57","2007-03-26",114.800003
"58","2007-03-27",113.599998
"59","2007-03-28",116.199997
"60","2007-03-29",116.800003
"61","2007-03-30",115.400002
"62","2007-04-02",115.599998
"63","2007-04-03",118
"64","2007-04-04",118.599998
"65","2007-04-05",120
"66","2007-04-09",118.800003
"67","2007-04-10",123.800003
"68","2007-04-11",124.599998
"69","2007-04-12",126.800003
"70","2007-04-13",131.800003
"71","2007-04-16",131.199997
"72","2007-04-17",129.199997
"73","2007-04-18",128.199997
"74","2007-04-19",127.400002
"75","2007-04-20",128
"76","2007-04-23",127.800003
"77","2007-04-24",128.800003
"78","2007-04-25",129.199997
"79","2007-04-26",126.199997
"80","2007-04-27",123.199997
"81","2007-04-30",122.800003
"82","2007-05-01",123.199997
"83","2007-05-02",124.400002
"84","2007-05-03",125
"85","2007-05-04",125.199997
"86","2007-05-07",124.199997
"87","2007-05-08",125.800003
"88","2007-05-09",127.800003
