"","date","UBER"
"1","2019-05-10",41.57
"2","2019-05-13",37.099998
"3","2019-05-14",39.959999
"4","2019-05-15",41.290001
"5","2019-05-16",43
"6","2019-05-17",41.91
"7","2019-05-20",41.59
"8","2019-05-21",41.5
"9","2019-05-22",41.25
"10","2019-05-23",40.470001
"11","2019-05-24",41.509998
"12","2019-05-28",40.950001
"13","2019-05-29",39.939999
"14","2019-05-30",39.799999
"15","2019-05-31",40.41
"16","2019-06-03",41.25
"17","2019-06-04",42.75
"18","2019-06-05",45
"19","2019-06-06",44.919998
"20","2019-06-07",44.16
"21","2019-06-10",42.610001
"22","2019-06-11",42.450001
"23","2019-06-12",42.169998
"24","2019-06-13",44.310001
"25","2019-06-14",43.23
"26","2019-06-17",43.779999
"27","2019-06-18",43.860001
"28","2019-06-19",44.860001
"29","2019-06-20",43.860001
"30","2019-06-21",44
"31","2019-06-24",43.09
"32","2019-06-25",43.09
"33","2019-06-26",42.5
"34","2019-06-27",45.130001
"35","2019-06-28",46.380001
"36","2019-07-01",44.27
"37","2019-07-02",44
"38","2019-07-03",44.23
"39","2019-07-05",43.529999
"40","2019-07-08",42.950001
"41","2019-07-09",44.200001
"42","2019-07-10",43.700001
"43","2019-07-11",43.990002
"44","2019-07-12",43.990002
"45","2019-07-15",44.529999
"46","2019-07-16",44.130001
"47","2019-07-17",43.619999
"48","2019-07-18",43.709999
"49","2019-07-19",43.18
"50","2019-07-22",43.689999
"51","2019-07-23",43.360001
"52","2019-07-24",43.759998
"53","2019-07-25",43.400002
"54","2019-07-26",44.52
"55","2019-07-29",43.880001
"56","2019-07-30",42.59
"57","2019-07-31",42.139999
"58","2019-08-01",41.310001
"59","2019-08-02",40.400002
"60","2019-08-05",39.049999
"61","2019-08-06",39.150002
"62","2019-08-07",39.700001
"63","2019-08-08",42.970001
"64","2019-08-09",40.049999
"65","2019-08-12",37
"66","2019-08-13",36.450001
"67","2019-08-14",33.959999
"68","2019-08-15",33.220001
"69","2019-08-16",35.23
"70","2019-08-19",34.610001
"71","2019-08-20",35.290001
"72","2019-08-21",34.91
"73","2019-08-22",34
"74","2019-08-23",33.43
"75","2019-08-26",33.310001
"76","2019-08-27",33.110001
"77","2019-08-28",32.59
"78","2019-08-29",32.759998
"79","2019-08-30",32.57
"80","2019-09-03",30.700001
"81","2019-09-04",31.99
"82","2019-09-05",32.509998
"83","2019-09-06",31.860001
"84","2019-09-09",32.240002
"85","2019-09-10",33.509998
"86","2019-09-11",34
"87","2019-09-12",34.07
"88","2019-09-13",33.25
"89","2019-09-16",34.43
"90","2019-09-17",34.290001
"91","2019-09-18",34.259998
"92","2019-09-19",33.82
"93","2019-09-20",32.599998
"94","2019-09-23",33
"95","2019-09-24",31.299999
"96","2019-09-25",31.68
"97","2019-09-26",31.57
"98","2019-09-27",30.290001
"99","2019-09-30",30.469999
"100","2019-10-01",29.15
"101","2019-10-02",29
"102","2019-10-03",29.719999
"103","2019-10-04",29.67
"104","2019-10-07",30.370001
"105","2019-10-08",29.280001
"106","2019-10-09",29.07
"107","2019-10-10",28.870001
"108","2019-10-11",30.129999
"109","2019-10-14",31.120001
"110","2019-10-15",32
"111","2019-10-16",31.870001
"112","2019-10-17",32.619999
"113","2019-10-18",32.060001
"114","2019-10-21",31.41
"115","2019-10-22",32.529999
"116","2019-10-23",33.049999
"117","2019-10-24",33.279999
"118","2019-10-25",32.709999
