"","date","SIEN"
"1","2014-10-29",16.75
"2","2014-10-30",17.690001
"3","2014-10-31",17.799999
"4","2014-11-03",17.5
"5","2014-11-04",18.040001
"6","2014-11-05",17.969999
"7","2014-11-06",18.299999
"8","2014-11-07",18
"9","2014-11-10",18
"10","2014-11-11",17.709999
"11","2014-11-12",17.5
"12","2014-11-13",17.26
"13","2014-11-14",17
"14","2014-11-17",17.370001
"15","2014-11-18",17.309999
"16","2014-11-19",17.02
"17","2014-11-20",17.34
"18","2014-11-21",17.639999
"19","2014-11-24",17.33
"20","2014-11-25",17.620001
"21","2014-11-26",17.700001
"22","2014-11-28",17.370001
"23","2014-12-01",17.42
"24","2014-12-02",17.389999
"25","2014-12-03",17.700001
"26","2014-12-04",17.549999
"27","2014-12-05",17.370001
"28","2014-12-08",16.584999
"29","2014-12-09",16.51
"30","2014-12-10",16.129999
"31","2014-12-11",16.07
"32","2014-12-12",15.39
"33","2014-12-15",15.43
"34","2014-12-16",15.29
"35","2014-12-17",15.56
"36","2014-12-18",16.58
"37","2014-12-19",17.26
"38","2014-12-22",17.049999
"39","2014-12-23",16.43
"40","2014-12-24",16.190001
"41","2014-12-26",16.33
"42","2014-12-29",16.459999
"43","2014-12-30",16.77
"44","2014-12-31",16.790001
"45","2015-01-02",16.530001
"46","2015-01-05",15.74
"47","2015-01-06",14.94
"48","2015-01-07",15.67
"49","2015-01-08",16.25
"50","2015-01-09",16.01
"51","2015-01-12",15.59
"52","2015-01-13",15.96
"53","2015-01-14",15.78
"54","2015-01-15",16.209999
"55","2015-01-16",16.43
"56","2015-01-20",15.91
"57","2015-01-21",15.63
"58","2015-01-22",15.65
"59","2015-01-23",15.55
"60","2015-01-26",15.5
"61","2015-01-27",15.65
"62","2015-01-28",15.32
"63","2015-01-29",15.25
"64","2015-01-30",15.04
"65","2015-02-02",15.44
"66","2015-02-03",15.31
"67","2015-02-04",15.31
"68","2015-02-05",15.18
"69","2015-02-06",15.04
"70","2015-02-09",15.07
"71","2015-02-10",15.19
"72","2015-02-11",15.79
"73","2015-02-12",15.52
"74","2015-02-13",15.9
"75","2015-02-17",15.42
"76","2015-02-18",16.459999
"77","2015-02-19",17.27
"78","2015-02-20",17.559999
"79","2015-02-23",17.5
"80","2015-02-24",18.16
"81","2015-02-25",17.92
"82","2015-02-26",18.01
"83","2015-02-27",18.379999
"84","2015-03-02",18.540001
"85","2015-03-03",18.52
"86","2015-03-04",18.99
"87","2015-03-05",19.41
"88","2015-03-06",19.75
"89","2015-03-09",19.700001
"90","2015-03-10",19.42
"91","2015-03-11",18.84
"92","2015-03-12",18.780001
"93","2015-03-13",18.74
"94","2015-03-16",18.9
"95","2015-03-17",18.879999
"96","2015-03-18",19.040001
"97","2015-03-19",19.24
"98","2015-03-20",19.48
"99","2015-03-23",19.24
"100","2015-03-24",18.73
"101","2015-03-25",18.02
"102","2015-03-26",18.049999
"103","2015-03-27",18.469999
"104","2015-03-30",19.360001
"105","2015-03-31",19.190001
"106","2015-04-01",17.91
"107","2015-04-02",18.290001
"108","2015-04-06",18.24
"109","2015-04-07",17.700001
"110","2015-04-08",17.08
"111","2015-04-09",17.25
"112","2015-04-10",17.26
"113","2015-04-13",17.559999
"114","2015-04-14",17.200001
"115","2015-04-15",17.33
"116","2015-04-16",17.16
"117","2015-04-17",16.870001
"118","2015-04-20",16.969999
"119","2015-04-21",16.67
"120","2015-04-22",16.450001
"121","2015-04-23",16.469999
"122","2015-04-24",16.799999
"123","2015-04-27",17.59
"124","2015-04-28",17.700001
"125","2015-04-29",18.110001
"126","2015-04-30",17.48
"127","2015-05-01",17.379999
"128","2015-05-04",17.4
"129","2015-05-05",16.559999
"130","2015-05-06",16.67
"131","2015-05-07",17.09
"132","2015-05-08",17.35
"133","2015-05-11",17.59
"134","2015-05-12",17.610001
"135","2015-05-13",17.52
"136","2015-05-14",20.610001
"137","2015-05-15",19.84
"138","2015-05-18",21.18
"139","2015-05-19",20.790001
"140","2015-05-20",20.85
"141","2015-05-21",21.5
"142","2015-05-22",21.799999
"143","2015-05-26",21.879999
"144","2015-05-27",22.49
"145","2015-05-28",22.290001
"146","2015-05-29",22.530001
"147","2015-06-01",22.85
"148","2015-06-02",22.780001
"149","2015-06-03",22.870001
"150","2015-06-04",23.190001
"151","2015-06-05",23.200001
"152","2015-06-08",23.84
"153","2015-06-09",24.379999
"154","2015-06-10",24.43
"155","2015-06-11",24.34
"156","2015-06-12",23.73
"157","2015-06-15",23.75
"158","2015-06-16",23.99
"159","2015-06-17",24.23
"160","2015-06-18",24.389999
"161","2015-06-19",24.4
"162","2015-06-22",25.370001
"163","2015-06-23",25.75
"164","2015-06-24",25.48
"165","2015-06-25",25.25
"166","2015-06-26",25.18
"167","2015-06-29",24.32
"168","2015-06-30",25.23
"169","2015-07-01",24.68
"170","2015-07-02",24.360001
"171","2015-07-06",24.74
"172","2015-07-07",24.559999
"173","2015-07-08",24.139999
"174","2015-07-09",24.360001
"175","2015-07-10",25.379999
"176","2015-07-13",25.379999
"177","2015-07-14",25.540001
"178","2015-07-15",25.68
"179","2015-07-16",25.110001
"180","2015-07-17",25.75
"181","2015-07-20",25.440001
"182","2015-07-21",25.219999
"183","2015-07-22",25.360001
"184","2015-07-23",24.120001
"185","2015-07-24",23.77
"186","2015-07-27",23.66
"187","2015-07-28",23.66
"188","2015-07-29",24.190001
"189","2015-07-30",23.469999
"190","2015-07-31",23.25
"191","2015-08-03",23.639999
"192","2015-08-04",24.02
"193","2015-08-05",24.299999
"194","2015-08-06",24.32
"195","2015-08-07",23.530001
"196","2015-08-10",24.17
"197","2015-08-11",24.309999
"198","2015-08-12",24.389999
"199","2015-08-13",24.76
"200","2015-08-14",25.01
"201","2015-08-17",25
"202","2015-08-18",24.27
"203","2015-08-19",23.92
"204","2015-08-20",22
"205","2015-08-21",22.01
"206","2015-08-24",22.049999
"207","2015-08-25",22.15
"208","2015-08-26",23.059999
"209","2015-08-27",24.190001
"210","2015-08-28",23.870001
"211","2015-08-31",23.790001
"212","2015-09-01",22.780001
"213","2015-09-02",23.01
"214","2015-09-03",23.15
"215","2015-09-04",23.09
"216","2015-09-08",23.25
"217","2015-09-09",22.889999
"218","2015-09-10",23.49
"219","2015-09-11",23.379999
"220","2015-09-14",23.33
"221","2015-09-15",23.52
"222","2015-09-16",24.23
"223","2015-09-17",23.200001
"224","2015-09-18",20.190001
"225","2015-09-21",20.49
"226","2015-09-22",20.33
"227","2015-09-23",20.58
"228","2015-09-24",9.7
"229","2015-09-25",10.09
"230","2015-09-28",10.06
"231","2015-09-29",10.1
"232","2015-09-30",10.15
"233","2015-10-01",10.34
"234","2015-10-02",10.37
"235","2015-10-05",8.18
"236","2015-10-06",7.74
"237","2015-10-07",7.3
"238","2015-10-08",7.21
"239","2015-10-09",7.01
"240","2015-10-12",6.13
"241","2015-10-13",6.39
"242","2015-10-14",6.52
"243","2015-10-15",5.83
"244","2015-10-16",5.77
"245","2015-10-19",5.75
"246","2015-10-20",5.61
"247","2015-10-21",5.31
"248","2015-10-22",5.62
"249","2015-10-23",4.47
"250","2015-10-26",4.09
"251","2015-10-27",4.21
"252","2015-10-28",4.76
"253","2015-10-29",3.92
"254","2015-10-30",3.76
"255","2015-11-02",4.02
"256","2015-11-03",4.31
