"","date","ATHX"
"1","2007-06-12",5.25
"2","2007-06-13",5.25
"3","2007-06-14",5.25
"4","2007-06-15",5.25
"5","2007-06-18",5.25
"6","2007-06-19",7.75
"7","2007-06-20",8
"8","2007-06-21",8
"9","2007-06-22",8.25
"10","2007-06-25",8
"11","2007-06-26",8
"12","2007-06-27",7.75
"13","2007-06-28",7.25
"14","2007-06-29",7.75
"15","2007-07-02",7.65
"16","2007-07-03",7.7
"17","2007-07-05",7.5
"18","2007-07-06",7.5
"19","2007-07-09",7.55
"20","2007-07-10",7.5
"21","2007-07-11",7.5
"22","2007-07-12",8.5
"23","2007-07-13",8.5
"24","2007-07-16",8.5
"25","2007-07-17",8.4
"26","2007-07-18",8.4
"27","2007-07-19",8
"28","2007-07-20",8
"29","2007-07-23",7.6
"30","2007-07-24",7.6
"31","2007-07-25",7.6
"32","2007-07-26",7.6
"33","2007-07-27",7.75
"34","2007-07-30",7.25
"35","2007-07-31",7.25
"36","2007-08-01",7.25
"37","2007-08-02",7.25
"38","2007-08-03",7.25
"39","2007-08-06",7.5
"40","2007-08-07",7.55
"41","2007-08-08",7.3
"42","2007-08-09",7.3
"43","2007-08-10",7.3
"44","2007-08-13",7.6
"45","2007-08-14",7.6
"46","2007-08-15",7.6
"47","2007-08-16",7.45
"48","2007-08-17",7.45
"49","2007-08-20",7.45
"50","2007-08-21",7.6
"51","2007-08-22",7.6
"52","2007-08-23",7.6
"53","2007-08-24",7.6
"54","2007-08-27",7.6
"55","2007-08-28",7.8
"56","2007-08-29",7.8
"57","2007-08-30",7.8
"58","2007-08-31",7.8
"59","2007-09-04",7.8
"60","2007-09-05",7.8
"61","2007-09-06",7.8
"62","2007-09-07",7.8
"63","2007-09-10",7.8
"64","2007-09-11",8
"65","2007-09-12",8
"66","2007-09-13",8
"67","2007-09-14",8
"68","2007-09-17",8
"69","2007-09-18",8
"70","2007-09-19",8
"71","2007-09-20",8
"72","2007-09-21",7.7
"73","2007-09-24",7.7
"74","2007-09-25",7.7
"75","2007-09-26",7.7
"76","2007-09-27",7.7
"77","2007-09-28",7.7
"78","2007-10-01",7.7
"79","2007-10-02",7.7
"80","2007-10-03",7.7
"81","2007-10-04",7.7
"82","2007-10-05",7.7
"83","2007-10-08",7.7
"84","2007-10-09",7.7
"85","2007-10-10",7.7
"86","2007-10-11",8
"87","2007-10-12",8
"88","2007-10-15",8
"89","2007-10-16",8
"90","2007-10-17",8
