"","date","GGAL"
"1","2007-01-03",9.68
"2","2007-01-04",9.46
"3","2007-01-05",9.25
"4","2007-01-08",9.19
"5","2007-01-09",8.69
"6","2007-01-10",9.12
"7","2007-01-11",9.2
"8","2007-01-12",9.44
"9","2007-01-16",9.58
"10","2007-01-17",9.74
"11","2007-01-18",9.39
"12","2007-01-19",9.47
"13","2007-01-22",9.35
"14","2007-01-23",9.34
"15","2007-01-24",9.34
"16","2007-01-25",9.11
"17","2007-01-26",9.06
"18","2007-01-29",9.07
"19","2007-01-30",9.07
"20","2007-01-31",8.95
"21","2007-02-01",9.18
"22","2007-02-02",9.3
"23","2007-02-05",9.09
"24","2007-02-06",9.31
"25","2007-02-07",9.22
"26","2007-02-08",9.45
"27","2007-02-09",9.5
"28","2007-02-12",9.25
"29","2007-02-13",9.4
"30","2007-02-14",9.71
"31","2007-02-15",9.94
"32","2007-02-16",10.62
"33","2007-02-20",11.12
"34","2007-02-21",11
"35","2007-02-22",10.9
"36","2007-02-23",10.89
"37","2007-02-26",11.05
"38","2007-02-27",10.05
"39","2007-02-28",10
"40","2007-03-01",9.9
"41","2007-03-02",9.69
"42","2007-03-05",9.22
"43","2007-03-06",9.65
"44","2007-03-07",9.5
"45","2007-03-08",9.73
"46","2007-03-09",9.79
"47","2007-03-12",9.98
"48","2007-03-13",9.56
"49","2007-03-14",9.5
"50","2007-03-15",9.55
"51","2007-03-16",9.51
"52","2007-03-19",9.59
"53","2007-03-20",9.75
"54","2007-03-21",9.98
"55","2007-03-22",9.97
"56","2007-03-23",10.33
"57","2007-03-26",10.35
"58","2007-03-27",10.29
"59","2007-03-28",10.17
"60","2007-03-29",10.24
"61","2007-03-30",10.42
"62","2007-04-02",10.51
"63","2007-04-03",10.7
"64","2007-04-04",10.71
"65","2007-04-05",10.71
"66","2007-04-09",10.68
"67","2007-04-10",10.7
"68","2007-04-11",10.5
"69","2007-04-12",10.61
"70","2007-04-13",10.63
"71","2007-04-16",10.86
"72","2007-04-17",10.65
"73","2007-04-18",10.78
"74","2007-04-19",10.66
"75","2007-04-20",11
"76","2007-04-23",10.95
"77","2007-04-24",10.71
"78","2007-04-25",10.71
"79","2007-04-26",10.75
"80","2007-04-27",10.64
"81","2007-04-30",10.42
"82","2007-05-01",10.36
"83","2007-05-02",10.5
"84","2007-05-03",10.4
"85","2007-05-04",10.37
"86","2007-05-07",10.35
"87","2007-05-08",10.27
"88","2007-05-09",10.36
"89","2007-05-10",9.93
"90","2007-05-11",9.89
"91","2007-05-14",10
"92","2007-05-15",10.12
"93","2007-05-16",10.61
"94","2007-05-17",10.61
"95","2007-05-18",10.79
"96","2007-05-21",10.65
"97","2007-05-22",10.65
"98","2007-05-23",10.47
"99","2007-05-24",10.38
"100","2007-05-25",10.26
"101","2007-05-29",10.4
"102","2007-05-30",10.6
"103","2007-05-31",10.72
"104","2007-06-01",10.83
"105","2007-06-04",10.58
"106","2007-06-05",10.51
"107","2007-06-06",10.31
"108","2007-06-07",10.02
"109","2007-06-08",10
"110","2007-06-11",9.92
"111","2007-06-12",9.86
"112","2007-06-13",10.06
"113","2007-06-14",10.17
"114","2007-06-15",10.35
"115","2007-06-18",10.34
"116","2007-06-19",10.28
"117","2007-06-20",10.08
"118","2007-06-21",10.08
"119","2007-06-22",9.93
"120","2007-06-25",9.79
"121","2007-06-26",9.75
"122","2007-06-27",9.87
"123","2007-06-28",9.87
"124","2007-06-29",9.59
"125","2007-07-02",9.79
"126","2007-07-03",10
"127","2007-07-05",9.79
"128","2007-07-06",9.55
"129","2007-07-09",9.85
"130","2007-07-10",9.53
"131","2007-07-11",9.6
"132","2007-07-12",9.81
"133","2007-07-13",9.83
"134","2007-07-16",9.62
