"","date","EW"
"1","2007-01-03",3.995
"2","2007-01-04",4.001667
"3","2007-01-05",3.991667
"4","2007-01-08",3.9675
"5","2007-01-09",4.003334
"6","2007-01-10",4.003334
"7","2007-01-11",4.041667
"8","2007-01-12",4.106667
"9","2007-01-16",4.105834
"10","2007-01-17",4.109167
"11","2007-01-18",4.12
"12","2007-01-19",4.105
"13","2007-01-22",4.139167
"14","2007-01-23",4.143333
"15","2007-01-24",4.174167
"16","2007-01-25",4.180833
"17","2007-01-26",4.251667
"18","2007-01-29",4.271667
"19","2007-01-30",4.265833
"20","2007-01-31",4.263333
"21","2007-02-01",4.271667
"22","2007-02-02",4.319167
"23","2007-02-05",4.354167
"24","2007-02-06",4.164166
"25","2007-02-07",4.2175
"26","2007-02-08",4.243333
"27","2007-02-09",4.215833
"28","2007-02-12",4.2475
"29","2007-02-13",4.256667
"30","2007-02-14",4.300833
"31","2007-02-15",4.341667
"32","2007-02-16",4.3675
"33","2007-02-20",4.248333
"34","2007-02-21",4.2925
"35","2007-02-22",4.280833
"36","2007-02-23",4.308333
"37","2007-02-26",4.2675
"38","2007-02-27",4.1775
"39","2007-02-28",4.200833
"40","2007-03-01",4.1525
"41","2007-03-02",4.1925
"42","2007-03-05",4.176667
"43","2007-03-06",4.250834
"44","2007-03-07",4.276667
"45","2007-03-08",4.143333
"46","2007-03-09",4.140833
"47","2007-03-12",4.130833
"48","2007-03-13",4.055833
"49","2007-03-14",4.051667
"50","2007-03-15",4.0825
"51","2007-03-16",4.064167
"52","2007-03-19",4.0975
"53","2007-03-20",4.108333
"54","2007-03-21",4.13
"55","2007-03-22",4.150833
"56","2007-03-23",4.146667
"57","2007-03-26",4.134167
"58","2007-03-27",4.1625
"59","2007-03-28",4.190834
"60","2007-03-29",4.213333
"61","2007-03-30",4.225
"62","2007-04-02",4.25
"63","2007-04-03",4.278333
"64","2007-04-04",4.291667
"65","2007-04-05",4.286667
"66","2007-04-09",4.281667
"67","2007-04-10",4.2925
"68","2007-04-11",4.278333
"69","2007-04-12",4.3225
"70","2007-04-13",4.355834
"71","2007-04-16",4.396667
"72","2007-04-17",4.395833
"73","2007-04-18",4.369167
"74","2007-04-19",4.333333
"75","2007-04-20",4.329167
"76","2007-04-23",4.345833
"77","2007-04-24",4.085834
"78","2007-04-25",4.059166
"79","2007-04-26",4.078333
"80","2007-04-27",4.071667
"81","2007-04-30",4.083333
"82","2007-05-01",4.055
"83","2007-05-02",4.105834
"84","2007-05-03",4.091667
"85","2007-05-04",4.0675
"86","2007-05-07",4.1025
"87","2007-05-08",4.075833
"88","2007-05-09",4.07
"89","2007-05-10",4.07
"90","2007-05-11",4.090833
"91","2007-05-14",4.090833
"92","2007-05-15",4.086667
"93","2007-05-16",4.108333
"94","2007-05-17",4.099167
"95","2007-05-18",4.151667
"96","2007-05-21",4.171667
"97","2007-05-22",4.223333
"98","2007-05-23",4.259167
"99","2007-05-24",4.239167
"100","2007-05-25",4.198333
"101","2007-05-29",4.188334
"102","2007-05-30",4.180833
"103","2007-05-31",4.183333
"104","2007-06-01",4.198333
"105","2007-06-04",4.236667
"106","2007-06-05",4.210834
"107","2007-06-06",4.175833
"108","2007-06-07",4.135
"109","2007-06-08",4.14
"110","2007-06-11",4.144166
"111","2007-06-12",4.088333
"112","2007-06-13",4.12
"113","2007-06-14",4.108333
"114","2007-06-15",4.108333
"115","2007-06-18",4.114167
"116","2007-06-19",4.138333
"117","2007-06-20",4.1125
"118","2007-06-21",4.114167
"119","2007-06-22",4.095
"120","2007-06-25",4.060833
"121","2007-06-26",4.145833
"122","2007-06-27",4.1925
"123","2007-06-28",4.170833
"124","2007-06-29",4.111667
"125","2007-07-02",4.125
"126","2007-07-03",4.165833
"127","2007-07-05",4.164166
"128","2007-07-06",4.1875
"129","2007-07-09",4.174167
"130","2007-07-10",4.113333
"131","2007-07-11",4.145833
"132","2007-07-12",4.179167
"133","2007-07-13",4.158333
"134","2007-07-16",4.165833
"135","2007-07-17",4.165
"136","2007-07-18",4.17
"137","2007-07-19",4.2125
"138","2007-07-20",4.1675
"139","2007-07-23",4.156667
"140","2007-07-24",3.935833
"141","2007-07-25",3.893333
"142","2007-07-26",3.871667
"143","2007-07-27",3.87
"144","2007-07-30",3.85
"145","2007-07-31",3.83
