"","date","WABC"
"1","2007-01-03",51.040001
"2","2007-01-04",50.66
"3","2007-01-05",49.639999
"4","2007-01-08",49.310001
"5","2007-01-09",49
"6","2007-01-10",48.990002
"7","2007-01-11",49.490002
"8","2007-01-12",49.779999
"9","2007-01-16",49.439999
"10","2007-01-17",49.099998
"11","2007-01-18",48.709999
"12","2007-01-19",49.009998
"13","2007-01-22",48.630001
"14","2007-01-23",48.810001
"15","2007-01-24",49.07
"16","2007-01-25",48.389999
"17","2007-01-26",48.540001
"18","2007-01-29",49.529999
"19","2007-01-30",49.66
"20","2007-01-31",49.759998
"21","2007-02-01",50.130001
"22","2007-02-02",50.02
"23","2007-02-05",50.110001
"24","2007-02-06",50.560001
"25","2007-02-07",50.869999
"26","2007-02-08",50.419998
"27","2007-02-09",50.049999
"28","2007-02-12",50.330002
"29","2007-02-13",50.900002
"30","2007-02-14",50.91
"31","2007-02-15",50.720001
"32","2007-02-16",51.330002
"33","2007-02-20",51.360001
"34","2007-02-21",51.32
"35","2007-02-22",51.389999
"36","2007-02-23",51.279999
"37","2007-02-26",51.18
"38","2007-02-27",49.509998
"39","2007-02-28",49.099998
"40","2007-03-01",49.02
"41","2007-03-02",48.41
"42","2007-03-05",47.48
"43","2007-03-06",48.07
"44","2007-03-07",47.779999
"45","2007-03-08",47.93
"46","2007-03-09",47.98
"47","2007-03-12",48
"48","2007-03-13",47
"49","2007-03-14",47.34
"50","2007-03-15",47.990002
"51","2007-03-16",47.599998
"52","2007-03-19",47.869999
"53","2007-03-20",48.41
"54","2007-03-21",49.529999
"55","2007-03-22",49.369999
"56","2007-03-23",49.470001
"57","2007-03-26",49.450001
"58","2007-03-27",49.02
"59","2007-03-28",48.310001
"60","2007-03-29",48.619999
"61","2007-03-30",48.169998
"62","2007-04-02",47.759998
"63","2007-04-03",48.09
"64","2007-04-04",47.66
"65","2007-04-05",47.639999
"66","2007-04-09",47.330002
"67","2007-04-10",47.490002
"68","2007-04-11",46.950001
"69","2007-04-12",46.93
"70","2007-04-13",47.77
"71","2007-04-16",48.400002
"72","2007-04-17",47.959999
"73","2007-04-18",47.68
"74","2007-04-19",47.060001
