"","date","SSSS"
"1","2011-04-28",14.6
"2","2011-04-29",14.55
"3","2011-05-02",14.36
"4","2011-05-03",14.22
"5","2011-05-04",13.79
"6","2011-05-05",13.33
"7","2011-05-06",13.7
"8","2011-05-09",13.77
"9","2011-05-10",13.42
"10","2011-05-11",13.3
"11","2011-05-12",13.25
"12","2011-05-13",13.4
"13","2011-05-16",13.59
"14","2011-05-17",13.2
"15","2011-05-18",13.32
"16","2011-05-19",13.3
"17","2011-05-20",13.28
"18","2011-05-23",13.16
"19","2011-05-24",13.49
"20","2011-05-25",13.72
"21","2011-05-26",13.65
"22","2011-05-27",13.68
"23","2011-05-31",13.52
"24","2011-06-01",13.39
"25","2011-06-02",13.27
"26","2011-06-03",13.46
"27","2011-06-06",13.44
"28","2011-06-07",13.47
"29","2011-06-08",13.3
"30","2011-06-09",12.87
"31","2011-06-10",12.48
"32","2011-06-13",11.44
"33","2011-06-14",11.91
"34","2011-06-15",11.7
"35","2011-06-16",10.5
"36","2011-06-17",11.01
"37","2011-06-20",11.09
"38","2011-06-21",10.9
"39","2011-06-22",10.92
"40","2011-06-23",10.96
"41","2011-06-24",10.27
"42","2011-06-27",14.57
"43","2011-06-28",13.9
"44","2011-06-29",14.6
"45","2011-06-30",13.93
"46","2011-07-01",14.36
"47","2011-07-05",14.5
"48","2011-07-06",14.38
"49","2011-07-07",14.7
"50","2011-07-08",16.200001
"51","2011-07-11",18.02
"52","2011-07-12",17.860001
"53","2011-07-13",17.299999
"54","2011-07-14",17.98
"55","2011-07-15",18.9
"56","2011-07-18",19.51
"57","2011-07-19",17.4
"58","2011-07-20",17.85
"59","2011-07-21",17.65
"60","2011-07-22",17.200001
"61","2011-07-25",17.030001
"62","2011-07-26",16.99
"63","2011-07-27",16.67
"64","2011-07-28",15.76
"65","2011-07-29",16.18
"66","2011-08-01",16
"67","2011-08-02",15.83
"68","2011-08-03",15.88
"69","2011-08-04",14.78
"70","2011-08-05",13.79
"71","2011-08-08",12.61
"72","2011-08-09",15.45
"73","2011-08-10",15.1
"74","2011-08-11",15.41
"75","2011-08-12",15.25
"76","2011-08-15",15.12
"77","2011-08-16",15.41
"78","2011-08-17",15.18
"79","2011-08-18",14.4
"80","2011-08-19",14.69
"81","2011-08-22",14.07
"82","2011-08-23",13.97
"83","2011-08-24",14.08
"84","2011-08-25",16.040001
"85","2011-08-26",16.9
"86","2011-08-29",16.450001
"87","2011-08-30",16.33
"88","2011-08-31",15.82
"89","2011-09-01",15.37
"90","2011-09-02",15.5
"91","2011-09-06",15.73
"92","2011-09-07",16.129999
"93","2011-09-08",15.89
"94","2011-09-09",14.77
"95","2011-09-12",14.74
"96","2011-09-13",14.86
"97","2011-09-14",14.68
"98","2011-09-15",14.92
"99","2011-09-16",14.41
"100","2011-09-19",14.37
"101","2011-09-20",14.14
"102","2011-09-21",14.39
"103","2011-09-22",13.77
"104","2011-09-23",14.31
"105","2011-09-26",14.15
"106","2011-09-27",14.25
"107","2011-09-28",14.15
"108","2011-09-29",14.1
"109","2011-09-30",13.56
"110","2011-10-03",12.75
"111","2011-10-04",12.44
"112","2011-10-05",12.84
"113","2011-10-06",13.52
"114","2011-10-07",13.32
"115","2011-10-10",13.84
"116","2011-10-11",13.82
"117","2011-10-12",13.73
"118","2011-10-13",13.16
"119","2011-10-14",13.77
"120","2011-10-17",13.9
"121","2011-10-18",13.51
"122","2011-10-19",13.15
"123","2011-10-20",13.52
"124","2011-10-21",14.18
"125","2011-10-24",14.01
"126","2011-10-25",13.69
"127","2011-10-26",14.22
"128","2011-10-27",14.21
"129","2011-10-28",15.08
"130","2011-10-31",15.3
"131","2011-11-01",14.92
"132","2011-11-02",15.17
"133","2011-11-03",16.43
"134","2011-11-04",14.65
"135","2011-11-07",14.77
"136","2011-11-08",14.83
"137","2011-11-09",14
"138","2011-11-10",14.21
"139","2011-11-11",14.57
"140","2011-11-14",14.45
"141","2011-11-15",14.3
"142","2011-11-16",14.03
"143","2011-11-17",13.32
"144","2011-11-18",13.6
"145","2011-11-21",13.28
"146","2011-11-22",12.85
"147","2011-11-23",12.63
"148","2011-11-25",12.5
"149","2011-11-28",12.83
"150","2011-11-29",13.86
"151","2011-11-30",14.1
"152","2011-12-01",14.15
"153","2011-12-02",14.45
"154","2011-12-05",15.01
"155","2011-12-06",15.39
"156","2011-12-07",15.65
"157","2011-12-08",15.43
"158","2011-12-09",15.4
"159","2011-12-12",15.15
"160","2011-12-13",15.2
"161","2011-12-14",15.13
"162","2011-12-15",15.8
"163","2011-12-16",14
"164","2011-12-19",13.2
"165","2011-12-20",13.49
"166","2011-12-21",13.77
"167","2011-12-22",13.92
"168","2011-12-23",14.07
"169","2011-12-27",14.26
"170","2011-12-28",14.3
"171","2011-12-29",14
"172","2011-12-30",13.95
"173","2012-01-03",14
"174","2012-01-04",13.85
"175","2012-01-05",13.34
"176","2012-01-06",13.43
"177","2012-01-09",13.35
"178","2012-01-10",13.32
"179","2012-01-11",13.75
"180","2012-01-12",14.14
"181","2012-01-13",14.15
"182","2012-01-17",14.05
"183","2012-01-18",14.04
"184","2012-01-19",14.01
"185","2012-01-20",14.19
"186","2012-01-23",14.15
"187","2012-01-24",14.23
"188","2012-01-25",14.73
"189","2012-01-26",15.1
"190","2012-01-27",17.790001
"191","2012-01-30",16.799999
"192","2012-01-31",17.59
"193","2012-02-01",17.27
"194","2012-02-02",18.51
"195","2012-02-03",20.450001
"196","2012-02-06",18.629999
"197","2012-02-07",18.370001
"198","2012-02-08",18.75
"199","2012-02-09",19.5
"200","2012-02-10",15.3
"201","2012-02-13",16.040001
"202","2012-02-14",16.57
"203","2012-02-15",16.129999
"204","2012-02-16",16.25
"205","2012-02-17",16.48
"206","2012-02-21",16.48
"207","2012-02-22",15.94
"208","2012-02-23",15.96
"209","2012-02-24",16.049999
"210","2012-02-27",16.219999
"211","2012-02-28",16.540001
"212","2012-02-29",16.950001
"213","2012-03-01",17.17
"214","2012-03-02",17.709999
"215","2012-03-05",17.690001
"216","2012-03-06",17.209999
"217","2012-03-07",17.99
"218","2012-03-08",17.879999
"219","2012-03-09",18.1
"220","2012-03-12",17.879999
"221","2012-03-13",18.4
"222","2012-03-14",18.18
