"","date","OVID"
"1","2017-05-05",12.25
"2","2017-05-08",12.79
"3","2017-05-09",13.34
"4","2017-05-10",13.73
"5","2017-05-11",13.89
"6","2017-05-12",13.78
"7","2017-05-15",13.91
"8","2017-05-16",13.78
"9","2017-05-17",13.73
"10","2017-05-18",14.95
"11","2017-05-19",15
"12","2017-05-22",14.97
"13","2017-05-23",14.95
"14","2017-05-24",14.5
"15","2017-05-25",14.57
"16","2017-05-26",14.48
"17","2017-05-30",13.42
"18","2017-05-31",12.75
"19","2017-06-01",11.68
"20","2017-06-02",12.15
"21","2017-06-05",12.4
"22","2017-06-06",11.6
"23","2017-06-07",11.38
"24","2017-06-08",12.44
"25","2017-06-09",13.84
"26","2017-06-12",13.21
"27","2017-06-13",14.4
"28","2017-06-14",13.91
"29","2017-06-15",13.85
"30","2017-06-16",13.26
"31","2017-06-19",13.2
"32","2017-06-20",12.83
"33","2017-06-21",12.6
"34","2017-06-22",12.66
"35","2017-06-23",11.84
"36","2017-06-26",11.45
"37","2017-06-27",11.01
"38","2017-06-28",10.6
"39","2017-06-29",10.7
"40","2017-06-30",10.49
"41","2017-07-03",10.23
"42","2017-07-05",10.2
"43","2017-07-06",10.06
"44","2017-07-07",9.71
"45","2017-07-10",8.99
"46","2017-07-11",9.34
"47","2017-07-12",9.65
"48","2017-07-13",9.29
"49","2017-07-14",9.2
"50","2017-07-17",9.32
"51","2017-07-18",9.3
"52","2017-07-19",9.43
"53","2017-07-20",9.35
"54","2017-07-21",9.15
"55","2017-07-24",9.08
"56","2017-07-25",8.86
"57","2017-07-26",8.88
"58","2017-07-27",8.21
"59","2017-07-28",8.11
"60","2017-07-31",8.19
"61","2017-08-01",8.12
"62","2017-08-02",7.86
"63","2017-08-03",7.39
"64","2017-08-04",6.99
"65","2017-08-07",7.53
"66","2017-08-08",7.17
"67","2017-08-09",6.36
"68","2017-08-10",5.32
"69","2017-08-11",6.26
"70","2017-08-14",6.67
"71","2017-08-15",6.54
"72","2017-08-16",6.45
"73","2017-08-17",6.35
"74","2017-08-18",6.36
"75","2017-08-21",6.63
"76","2017-08-22",8.25
"77","2017-08-23",7.32
"78","2017-08-24",7.18
"79","2017-08-25",7.19
"80","2017-08-28",7.17
"81","2017-08-29",8.71
"82","2017-08-30",9.77
"83","2017-08-31",9.42
"84","2017-09-01",8.51
"85","2017-09-05",8.38
"86","2017-09-06",8.26
"87","2017-09-07",8.33
"88","2017-09-08",8.14
"89","2017-09-11",7.95
"90","2017-09-12",8.56
"91","2017-09-13",8.78
"92","2017-09-14",9.58
"93","2017-09-15",9.4
"94","2017-09-18",9.26
"95","2017-09-19",8.84
"96","2017-09-20",8.96
"97","2017-09-21",8.66
"98","2017-09-22",8.46
"99","2017-09-25",8.59
"100","2017-09-26",8.49
"101","2017-09-27",8.78
"102","2017-09-28",8.59
"103","2017-09-29",8.57
"104","2017-10-02",8.61
"105","2017-10-03",8.64
"106","2017-10-04",8.61
"107","2017-10-05",8.62
"108","2017-10-06",8.38
"109","2017-10-09",8.43
"110","2017-10-10",9.14
"111","2017-10-11",9.24
"112","2017-10-12",9.24
"113","2017-10-13",8.78
"114","2017-10-16",8.75
"115","2017-10-17",8.72
"116","2017-10-18",8.23
"117","2017-10-19",7.4
"118","2017-10-20",7.4
"119","2017-10-23",7
"120","2017-10-24",6.31
"121","2017-10-25",6.12
"122","2017-10-26",6.25
"123","2017-10-27",6.58
"124","2017-10-30",6.37
"125","2017-10-31",6.48
"126","2017-11-01",6.51
"127","2017-11-02",7.1
"128","2017-11-03",7.74
"129","2017-11-06",8.84
"130","2017-11-07",7.77
"131","2017-11-08",7.84
"132","2017-11-09",7.44
"133","2017-11-10",9.03
"134","2017-11-13",9.66
"135","2017-11-14",9.44
"136","2017-11-15",9.48
"137","2017-11-16",9.43
"138","2017-11-17",9.64
"139","2017-11-20",9.62
"140","2017-11-21",9.74
"141","2017-11-22",11.21
"142","2017-11-24",10.72
"143","2017-11-27",10.79
"144","2017-11-28",10.71
"145","2017-11-29",11.21
"146","2017-11-30",12.31
"147","2017-12-01",11.52
"148","2017-12-04",10.885
"149","2017-12-05",11.08
"150","2017-12-06",11.41
"151","2017-12-07",11.98
"152","2017-12-08",11.74
"153","2017-12-11",10.45
"154","2017-12-12",10.33
"155","2017-12-13",10.42
"156","2017-12-14",10.39
"157","2017-12-15",9.72
"158","2017-12-18",9.29
"159","2017-12-19",9.96
"160","2017-12-20",9.97
"161","2017-12-21",9.98
"162","2017-12-22",9.92
"163","2017-12-26",10.01
"164","2017-12-27",9.96
"165","2017-12-28",9.98
"166","2017-12-29",9.87
"167","2018-01-02",9.81
"168","2018-01-03",9.68
"169","2018-01-04",9.69
"170","2018-01-05",9.64
"171","2018-01-08",8.75
"172","2018-01-09",9.2
"173","2018-01-10",9.51
"174","2018-01-11",9.82
"175","2018-01-12",9.52
"176","2018-01-16",8.72
"177","2018-01-17",9.15
"178","2018-01-18",8.9
"179","2018-01-19",9.18
"180","2018-01-22",9.5
"181","2018-01-23",9.33
"182","2018-01-24",8.73
"183","2018-01-25",8.7
"184","2018-01-26",8.9
"185","2018-01-29",8.34
"186","2018-01-30",8.32
"187","2018-01-31",8.5
"188","2018-02-01",8.83
"189","2018-02-02",8.4
"190","2018-02-05",8
"191","2018-02-06",7.9
"192","2018-02-07",7.39
"193","2018-02-08",6.73
"194","2018-02-09",6.8
"195","2018-02-12",7.04
"196","2018-02-13",6.895
"197","2018-02-14",7.14
"198","2018-02-15",7.03
"199","2018-02-16",7.04
"200","2018-02-20",7.03
"201","2018-02-21",6.83
"202","2018-02-22",6.94
"203","2018-02-23",6.87
"204","2018-02-26",6.79
"205","2018-02-27",6.53
"206","2018-02-28",6.59
"207","2018-03-01",6.9
"208","2018-03-02",7.28
"209","2018-03-05",7.36
"210","2018-03-06",7.75
"211","2018-03-07",7.85
"212","2018-03-08",8
"213","2018-03-09",8.49
"214","2018-03-12",8.33
"215","2018-03-13",8.28
"216","2018-03-14",8.39
"217","2018-03-15",8.65
"218","2018-03-16",8.65
"219","2018-03-19",8.5
"220","2018-03-20",7.78
"221","2018-03-21",7.85
"222","2018-03-22",8.22
"223","2018-03-23",7.7
"224","2018-03-26",7.52
"225","2018-03-27",7.18
"226","2018-03-28",7.09
"227","2018-03-29",7.07
"228","2018-04-02",6.16
"229","2018-04-03",6.28
"230","2018-04-04",6.85
"231","2018-04-05",8.21
"232","2018-04-06",7.99
"233","2018-04-09",7.84
"234","2018-04-10",8.72
"235","2018-04-11",8.91
"236","2018-04-12",8.96
"237","2018-04-13",9.07
"238","2018-04-16",9.34
"239","2018-04-17",9.71
"240","2018-04-18",9.72
"241","2018-04-19",10.14
"242","2018-04-20",9.98
"243","2018-04-23",10.05
"244","2018-04-24",9.98
"245","2018-04-25",9.68
"246","2018-04-26",10.02
"247","2018-04-27",9.62
"248","2018-04-30",9.48
"249","2018-05-01",9.63
"250","2018-05-02",9.65
"251","2018-05-03",9.16
"252","2018-05-04",8.9
"253","2018-05-07",8.97
"254","2018-05-08",8.95
"255","2018-05-09",9.4
"256","2018-05-10",9
"257","2018-05-11",8.8
"258","2018-05-14",8.96
"259","2018-05-15",8.84
"260","2018-05-16",8.78
"261","2018-05-17",8.96
"262","2018-05-18",8.73
"263","2018-05-21",8.28
