"","date","CMCSA"
"1","2007-01-03",14.22
"2","2007-01-04",14.35
"3","2007-01-05",14.183333
"4","2007-01-08",14.156667
"5","2007-01-09",14.246667
"6","2007-01-10",14.303333
"7","2007-01-11",14.316667
"8","2007-01-12",14.696667
"9","2007-01-16",14.823334
"10","2007-01-17",14.92
"11","2007-01-18",15.033334
"12","2007-01-19",14.87
"13","2007-01-22",14.93
"14","2007-01-23",14.843333
"15","2007-01-24",15
"16","2007-01-25",14.496667
"17","2007-01-26",14.433333
"18","2007-01-29",14.61
"19","2007-01-30",14.566667
"20","2007-01-31",14.783334
"21","2007-02-01",14.306666
"22","2007-02-02",14.356667
"23","2007-02-05",14.21
"24","2007-02-06",14.15
"25","2007-02-07",14.183333
"26","2007-02-08",13.806666
"27","2007-02-09",13.606667
"28","2007-02-12",13.326667
"29","2007-02-13",13.666667
"30","2007-02-14",13.786667
"31","2007-02-15",13.78
"32","2007-02-16",13.876667
"33","2007-02-20",13.816667
"34","2007-02-21",13.896667
"35","2007-02-22",13.725
"36","2007-02-23",13.565
"37","2007-02-26",13.235
"38","2007-02-27",12.65
"39","2007-02-28",12.86
"40","2007-03-01",12.77
"41","2007-03-02",12.72
"42","2007-03-05",12.65
"43","2007-03-06",12.94
"44","2007-03-07",12.89
"45","2007-03-08",13.015
"46","2007-03-09",13.06
"47","2007-03-12",13.085
"48","2007-03-13",12.755
"49","2007-03-14",12.915
"50","2007-03-15",12.86
"51","2007-03-16",12.72
"52","2007-03-19",12.95
"53","2007-03-20",13.14
"54","2007-03-21",13.425
"55","2007-03-22",13.365
"56","2007-03-23",13.255
"57","2007-03-26",13.15
"58","2007-03-27",13.04
"59","2007-03-28",12.88
"60","2007-03-29",12.93
"61","2007-03-30",12.975
"62","2007-04-02",12.87
"63","2007-04-03",13.12
"64","2007-04-04",13.18
"65","2007-04-05",13.305
"66","2007-04-09",13.23
"67","2007-04-10",13.355
"68","2007-04-11",13.71
"69","2007-04-12",13.935
"70","2007-04-13",14.09
"71","2007-04-16",13.945
"72","2007-04-17",14
"73","2007-04-18",13.915
"74","2007-04-19",13.78
"75","2007-04-20",13.955
"76","2007-04-23",13.825
"77","2007-04-24",13.765
"78","2007-04-25",14.045
"79","2007-04-26",13.55
"80","2007-04-27",13.465
"81","2007-04-30",13.33
"82","2007-05-01",13.35
"83","2007-05-02",13.57
"84","2007-05-03",13.62
"85","2007-05-04",13.445
"86","2007-05-07",13.365
"87","2007-05-08",13.225
"88","2007-05-09",13.14
"89","2007-05-10",13
"90","2007-05-11",13.205
"91","2007-05-14",13.29
"92","2007-05-15",13.295
"93","2007-05-16",13.6
"94","2007-05-17",13.45
"95","2007-05-18",13.765
"96","2007-05-21",13.77
"97","2007-05-22",13.68
"98","2007-05-23",13.665
"99","2007-05-24",13.43
"100","2007-05-25",13.62
"101","2007-05-29",13.54
"102","2007-05-30",13.735
"103","2007-05-31",13.705
"104","2007-06-01",13.675
"105","2007-06-04",13.52
"106","2007-06-05",13.555
"107","2007-06-06",13.395
"108","2007-06-07",13.09
"109","2007-06-08",13.165
"110","2007-06-11",13.185
"111","2007-06-12",13.075
"112","2007-06-13",13.435
"113","2007-06-14",13.76
"114","2007-06-15",13.995
"115","2007-06-18",13.99
"116","2007-06-19",14.05
"117","2007-06-20",14.09
"118","2007-06-21",14.195
"119","2007-06-22",13.88
"120","2007-06-25",13.85
"121","2007-06-26",13.91
"122","2007-06-27",13.96
"123","2007-06-28",14.03
"124","2007-06-29",14.06
"125","2007-07-02",14.22
"126","2007-07-03",14.295
"127","2007-07-05",14.235
"128","2007-07-06",14.29
"129","2007-07-09",14.145
"130","2007-07-10",13.8
"131","2007-07-11",13.875
"132","2007-07-12",13.86
"133","2007-07-13",13.985
"134","2007-07-16",13.82
"135","2007-07-17",14.09
"136","2007-07-18",14.51
"137","2007-07-19",14.485
"138","2007-07-20",14.295
"139","2007-07-23",14.425
"140","2007-07-24",14.155
"141","2007-07-25",14.27
"142","2007-07-26",13.605
"143","2007-07-27",13.33
"144","2007-07-30",13.605
"145","2007-07-31",13.135
"146","2007-08-01",13.045
"147","2007-08-02",12.905
"148","2007-08-03",12.785
"149","2007-08-06",12.96
"150","2007-08-07",12.94
"151","2007-08-08",12.86
"152","2007-08-09",12.525
"153","2007-08-10",12.72
"154","2007-08-13",12.88
"155","2007-08-14",12.75
"156","2007-08-15",12.545
"157","2007-08-16",12.49
"158","2007-08-17",12.625
"159","2007-08-20",12.315
"160","2007-08-21",12.26
"161","2007-08-22",12.5
"162","2007-08-23",12.735
"163","2007-08-24",12.74
"164","2007-08-27",12.92
"165","2007-08-28",12.46
"166","2007-08-29",12.865
"167","2007-08-30",12.77
"168","2007-08-31",13.045
"169","2007-09-04",12.97
"170","2007-09-05",12.885
"171","2007-09-06",12.835
"172","2007-09-07",12.5
"173","2007-09-10",12.555
"174","2007-09-11",12.745
