"","date","BV"
"1","2018-06-28",21.4
"2","2018-06-29",21.950001
"3","2018-07-02",22.200001
"4","2018-07-03",22.65
"5","2018-07-05",22.25
"6","2018-07-06",21.85
"7","2018-07-09",22
"8","2018-07-10",22.030001
"9","2018-07-11",21.9
"10","2018-07-12",21.969999
"11","2018-07-13",21.799999
"12","2018-07-16",21.77
"13","2018-07-17",21.48
"14","2018-07-18",21.870001
"15","2018-07-19",21.790001
"16","2018-07-20",21.940001
"17","2018-07-23",22.139999
"18","2018-07-24",22.82
"19","2018-07-25",22.870001
"20","2018-07-26",22.82
"21","2018-07-27",22.629999
"22","2018-07-30",22.6
"23","2018-07-31",22.43
"24","2018-08-01",21.99
"25","2018-08-02",21.67
"26","2018-08-03",22.030001
"27","2018-08-06",22.15
"28","2018-08-07",22.02
"29","2018-08-08",22.200001
"30","2018-08-09",19.9
"31","2018-08-10",18.83
"32","2018-08-13",17.65
"33","2018-08-14",16.370001
"34","2018-08-15",17.18
"35","2018-08-16",17.57
"36","2018-08-17",17.450001
"37","2018-08-20",17.639999
"38","2018-08-21",17.889999
"39","2018-08-22",17.700001
"40","2018-08-23",17.84
"41","2018-08-24",17.92
"42","2018-08-27",18.059999
"43","2018-08-28",18.26
"44","2018-08-29",18.389999
"45","2018-08-30",18.190001
"46","2018-08-31",17.76
"47","2018-09-04",17.790001
"48","2018-09-05",18.110001
"49","2018-09-06",18.639999
"50","2018-09-07",18.5
"51","2018-09-10",18.15
"52","2018-09-11",18.57
"53","2018-09-12",18.34
"54","2018-09-13",18.360001
"55","2018-09-14",18.559999
"56","2018-09-17",18.49
"57","2018-09-18",18.379999
"58","2018-09-19",18.08
"59","2018-09-20",17.68
"60","2018-09-21",17.190001
"61","2018-09-24",16.52
"62","2018-09-25",15.97
"63","2018-09-26",16.26
"64","2018-09-27",15.68
"65","2018-09-28",16.049999
"66","2018-10-01",15.25
"67","2018-10-02",14.69
"68","2018-10-03",15.29
"69","2018-10-04",15.07
"70","2018-10-05",14.66
"71","2018-10-08",14.81
"72","2018-10-09",14.56
"73","2018-10-10",13.93
"74","2018-10-11",14.04
"75","2018-10-12",14.21
"76","2018-10-15",13.75
"77","2018-10-16",14.37
"78","2018-10-17",14.42
"79","2018-10-18",13.97
"80","2018-10-19",13.7
"81","2018-10-22",13.65
"82","2018-10-23",13.61
"83","2018-10-24",13.32
"84","2018-10-25",13.44
"85","2018-10-26",13.69
"86","2018-10-29",13.57
"87","2018-10-30",14.32
"88","2018-10-31",14.72
"89","2018-11-01",14.41
"90","2018-11-02",14.69
"91","2018-11-05",14.44
"92","2018-11-06",13.96
"93","2018-11-07",14.17
"94","2018-11-08",14.1
"95","2018-11-09",13.85
"96","2018-11-12",13.41
"97","2018-11-13",13.48
"98","2018-11-14",13.37
"99","2018-11-15",13.38
"100","2018-11-16",13.17
"101","2018-11-19",12.85
"102","2018-11-20",12.25
"103","2018-11-21",12.25
"104","2018-11-23",12.09
"105","2018-11-26",12.04
"106","2018-11-27",11.78
"107","2018-11-28",13.49
"108","2018-11-29",13.18
"109","2018-11-30",12.6
"110","2018-12-03",12.7
"111","2018-12-04",12
"112","2018-12-06",12.36
"113","2018-12-07",11.6
"114","2018-12-10",11.23
"115","2018-12-11",11.65
"116","2018-12-12",11.53
"117","2018-12-13",10.87
"118","2018-12-14",10.8
"119","2018-12-17",10.39
"120","2018-12-18",10.24
"121","2018-12-19",9.88
"122","2018-12-20",9.94
"123","2018-12-21",9.65
"124","2018-12-24",9.25
"125","2018-12-26",9.82
"126","2018-12-27",9.98
"127","2018-12-28",9.76
"128","2018-12-31",10.21
"129","2019-01-02",10.67
"130","2019-01-03",10.63
"131","2019-01-04",11.5
"132","2019-01-07",11.67
"133","2019-01-08",12.36
"134","2019-01-09",12.67
"135","2019-01-10",13.14
"136","2019-01-11",13.72
"137","2019-01-14",14.09
"138","2019-01-15",14.32
"139","2019-01-16",14.46
"140","2019-01-17",14.24
"141","2019-01-18",14.35
"142","2019-01-22",14.33
"143","2019-01-23",14.24
"144","2019-01-24",14.67
"145","2019-01-25",14.85
"146","2019-01-28",14.85
"147","2019-01-29",14.43
"148","2019-01-30",14.44
"149","2019-01-31",14.81
"150","2019-02-01",14.62
"151","2019-02-04",14.55
"152","2019-02-05",14.88
"153","2019-02-06",14.74
"154","2019-02-07",13.23
"155","2019-02-08",12.75
"156","2019-02-11",13
"157","2019-02-12",13.26
"158","2019-02-13",13.77
"159","2019-02-14",13.95
"160","2019-02-15",14.19
"161","2019-02-19",13.76
"162","2019-02-20",13.99
"163","2019-02-21",13.73
"164","2019-02-22",13.43
"165","2019-02-25",13.9
"166","2019-02-26",13.52
"167","2019-02-27",13.56
"168","2019-02-28",13.5
"169","2019-03-01",13.75
"170","2019-03-04",13.74
"171","2019-03-05",13.6
"172","2019-03-06",14
"173","2019-03-07",13.96
"174","2019-03-08",14.03
"175","2019-03-11",14.03
"176","2019-03-12",13.97
"177","2019-03-13",13.86
"178","2019-03-14",14
"179","2019-03-15",14.42
"180","2019-03-18",15.07
"181","2019-03-19",15.75
"182","2019-03-20",15.58
"183","2019-03-21",15.29
"184","2019-03-22",14.2
"185","2019-03-25",13.82
"186","2019-03-26",14.21
"187","2019-03-27",14.6
"188","2019-03-28",14.84
"189","2019-03-29",14.4
"190","2019-04-01",14.8
"191","2019-04-02",14.52
"192","2019-04-03",14.74
"193","2019-04-04",15.02
"194","2019-04-05",14.92
"195","2019-04-08",14.92
