"","date","NDSN"
"1","2007-01-03",25.24
"2","2007-01-04",25.33
"3","2007-01-05",24.905001
"4","2007-01-08",24.73
"5","2007-01-09",24.700001
"6","2007-01-10",24.844999
"7","2007-01-11",25.059999
"8","2007-01-12",25.405001
"9","2007-01-16",25.219999
"10","2007-01-17",25.5
"11","2007-01-18",24.955
"12","2007-01-19",25.735001
"13","2007-01-22",25.190001
"14","2007-01-23",25.75
"15","2007-01-24",26
"16","2007-01-25",25.07
"17","2007-01-26",25.504999
"18","2007-01-29",25.24
"19","2007-01-30",25.799999
"20","2007-01-31",25.860001
"21","2007-02-01",26.43
"22","2007-02-02",26.584999
"23","2007-02-05",26.190001
"24","2007-02-06",26.594999
"25","2007-02-07",26.799999
"26","2007-02-08",27.07
"27","2007-02-09",26.17
"28","2007-02-12",26.605
"29","2007-02-13",26.795
"30","2007-02-14",27.445
"31","2007-02-15",27.584999
"32","2007-02-16",27.865
"33","2007-02-20",28.15
"34","2007-02-21",28.57
"35","2007-02-22",27.915001
"36","2007-02-23",27.934999
"37","2007-02-26",27.785
"38","2007-02-27",26.135
"39","2007-02-28",24.389999
"40","2007-03-01",24.115
"41","2007-03-02",23.305
"42","2007-03-05",22.285
"43","2007-03-06",23.030001
"44","2007-03-07",23.5
"45","2007-03-08",23.415001
"46","2007-03-09",23.4
"47","2007-03-12",23.555
"48","2007-03-13",22.75
"49","2007-03-14",22.775
"50","2007-03-15",22.775
"51","2007-03-16",22.455
"52","2007-03-19",22.764999
"53","2007-03-20",22.764999
"54","2007-03-21",23.315001
"55","2007-03-22",23.325001
"56","2007-03-23",23.315001
"57","2007-03-26",23.27
"58","2007-03-27",23.105
"59","2007-03-28",23.120001
"60","2007-03-29",23.219999
"61","2007-03-30",23.23
"62","2007-04-02",23.370001
"63","2007-04-03",23.440001
"64","2007-04-04",23.025
"65","2007-04-05",22.969999
"66","2007-04-09",22.924999
"67","2007-04-10",22.775
"68","2007-04-11",22.504999
"69","2007-04-12",22.735001
"70","2007-04-13",22.75
"71","2007-04-16",23.42
"72","2007-04-17",23.27
"73","2007-04-18",23.299999
"74","2007-04-19",23.385
"75","2007-04-20",23.76
"76","2007-04-23",23.530001
"77","2007-04-24",23.459999
"78","2007-04-25",23.540001
"79","2007-04-26",23.684999
"80","2007-04-27",23.530001
"81","2007-04-30",22.915001
"82","2007-05-01",22.655001
"83","2007-05-02",23.07
"84","2007-05-03",23.035
"85","2007-05-04",23.16
"86","2007-05-07",23.219999
"87","2007-05-08",22.74
"88","2007-05-09",23.879999
"89","2007-05-10",23.610001
"90","2007-05-11",23.82
"91","2007-05-14",23.67
"92","2007-05-15",23.370001
"93","2007-05-16",23.465
"94","2007-05-17",23.18
"95","2007-05-18",23.18
"96","2007-05-21",23.684999
"97","2007-05-22",23.809999
"98","2007-05-23",23.815001
"99","2007-05-24",23.684999
"100","2007-05-25",26.764999
"101","2007-05-29",26.84
"102","2007-05-30",26.370001
"103","2007-05-31",25.995001
"104","2007-06-01",26.15
"105","2007-06-04",26.245001
"106","2007-06-05",25.745001
"107","2007-06-06",25.26
"108","2007-06-07",24.575001
"109","2007-06-08",24.934999
"110","2007-06-11",24.985001
"111","2007-06-12",24.725
