"","date","CRI"
"1","2007-01-03",25.35
"2","2007-01-04",25.950001
"3","2007-01-05",25.1
"4","2007-01-08",25.360001
"5","2007-01-09",25.530001
"6","2007-01-10",25.379999
"7","2007-01-11",25.690001
"8","2007-01-12",26.290001
"9","2007-01-16",26.559999
"10","2007-01-17",26.639999
"11","2007-01-18",26.75
"12","2007-01-19",26.84
"13","2007-01-22",26.02
"14","2007-01-23",26.25
"15","2007-01-24",26.030001
"16","2007-01-25",25.85
"17","2007-01-26",26.219999
"18","2007-01-29",26.18
"19","2007-01-30",25.35
"20","2007-01-31",25.4
"21","2007-02-01",25.35
"22","2007-02-02",24.98
"23","2007-02-05",24.65
"24","2007-02-06",24.75
"25","2007-02-07",24.950001
"26","2007-02-08",24.77
"27","2007-02-09",24.66
"28","2007-02-12",24.809999
"29","2007-02-13",25.27
"30","2007-02-14",21.049999
"31","2007-02-15",22.190001
"32","2007-02-16",22.42
"33","2007-02-20",22.98
"34","2007-02-21",23.84
"35","2007-02-22",23.799999
"36","2007-02-23",24.41
"37","2007-02-26",24.24
"38","2007-02-27",23.83
"39","2007-02-28",23.959999
"40","2007-03-01",23.639999
"41","2007-03-02",23.450001
"42","2007-03-05",23.08
"43","2007-03-06",23.719999
"44","2007-03-07",23.85
"45","2007-03-08",23.469999
"46","2007-03-09",23.58
"47","2007-03-12",23.77
"48","2007-03-13",23.07
"49","2007-03-14",23.799999
"50","2007-03-15",24.76
"51","2007-03-16",24.68
"52","2007-03-19",25.129999
"53","2007-03-20",25.91
"54","2007-03-21",26.26
"55","2007-03-22",26.02
"56","2007-03-23",26.25
"57","2007-03-26",26.209999
"58","2007-03-27",25.790001
"59","2007-03-28",25.440001
"60","2007-03-29",25.25
"61","2007-03-30",25.34
"62","2007-04-02",25.33
"63","2007-04-03",25.59
"64","2007-04-04",25.57
"65","2007-04-05",25.389999
"66","2007-04-09",25.139999
"67","2007-04-10",25.200001
"68","2007-04-11",25.24
"69","2007-04-12",25.41
"70","2007-04-13",25.58
"71","2007-04-16",25.6
"72","2007-04-17",25.18
"73","2007-04-18",25.700001
"74","2007-04-19",25.41
