"","date","NXTD"
"1","2013-08-23",31
"2","2013-08-26",31.5
"3","2013-08-27",31
"4","2013-08-28",31
"5","2013-08-29",32.5
"6","2013-08-30",32.5
"7","2013-09-03",29.5
"8","2013-09-04",30
"9","2013-09-05",27.5
"10","2013-09-06",30
"11","2013-09-09",30.9
"12","2013-09-10",31.4
"13","2013-09-11",30.5
"14","2013-09-12",31
"15","2013-09-13",29.9
"16","2013-09-16",31
"17","2013-09-17",30.9
"18","2013-09-18",31.200001
"19","2013-09-19",33.900002
"20","2013-09-20",37
"21","2013-09-23",35.5
"22","2013-09-24",36
"23","2013-09-25",35.5
"24","2013-09-26",37
"25","2013-09-27",36.900002
"26","2013-09-30",37.5
"27","2013-10-01",37.5
"28","2013-10-02",36.5
"29","2013-10-03",36.799999
"30","2013-10-04",38
"31","2013-10-07",38.200001
"32","2013-10-08",38.200001
"33","2013-10-09",38.200001
"34","2013-10-10",38.700001
"35","2013-10-11",40.5
"36","2013-10-14",42.5
"37","2013-10-15",44.599998
"38","2013-10-16",50.099998
"39","2013-10-17",59.900002
"40","2013-10-18",54.900002
"41","2013-10-21",59.400002
"42","2013-10-22",56.5
"43","2013-10-23",50.5
"44","2013-10-24",52.5
"45","2013-10-25",50
"46","2013-10-28",34.5
"47","2013-10-29",35
"48","2013-10-30",40
"49","2013-10-31",36
"50","2013-11-01",41.5
"51","2013-11-04",40.5
"52","2013-11-05",39.900002
"53","2013-11-06",40.400002
"54","2013-11-07",40
"55","2013-11-08",39.599998
"56","2013-11-11",34.5
"57","2013-11-12",33.5
"58","2013-11-13",35.900002
"59","2013-11-14",35.799999
"60","2013-11-15",38
"61","2013-11-18",37.900002
"62","2013-11-19",37.799999
"63","2013-11-20",39.299999
"64","2013-11-21",39.400002
"65","2013-11-22",39.200001
"66","2013-11-25",40
"67","2013-11-26",39.799999
"68","2013-11-27",39.900002
"69","2013-11-29",39
"70","2013-12-02",40.200001
"71","2013-12-03",40.400002
"72","2013-12-04",40.099998
"73","2013-12-05",39
"74","2013-12-06",38.5
"75","2013-12-09",40.5
"76","2013-12-10",43.799999
"77","2013-12-11",47
"78","2013-12-12",50
"79","2013-12-13",56
"80","2013-12-16",58.799999
"81","2013-12-17",56
"82","2013-12-18",51
"83","2013-12-19",40.5
"84","2013-12-20",43.099998
"85","2013-12-23",43.900002
"86","2013-12-24",44
"87","2013-12-26",42
"88","2013-12-27",41.5
"89","2013-12-30",41
"90","2013-12-31",40
"91","2014-01-02",42.799999
"92","2014-01-03",40.599998
"93","2014-01-06",40
"94","2014-01-07",40
"95","2014-01-08",45
"96","2014-01-09",46.5
"97","2014-01-10",45.900002
"98","2014-01-13",42.599998
"99","2014-01-14",45.5
"100","2014-01-15",48
"101","2014-01-16",51
"102","2014-01-17",50.700001
"103","2014-01-21",49.900002
"104","2014-01-22",49.900002
"105","2014-01-23",47.099998
"106","2014-01-24",46.5
"107","2014-01-27",43.5
"108","2014-01-28",41.900002
"109","2014-01-29",43
"110","2014-01-30",43.5
"111","2014-01-31",42.299999
"112","2014-02-03",41.799999
"113","2014-02-04",42.5
"114","2014-02-05",42.5
"115","2014-02-06",43.400002
"116","2014-02-07",44.299999
"117","2014-02-10",46.5
"118","2014-02-11",42
"119","2014-02-12",40
"120","2014-02-13",44.599998
"121","2014-02-14",44.5
"122","2014-02-18",41.200001
"123","2014-02-19",41
"124","2014-02-20",42.5
"125","2014-02-21",41.200001
"126","2014-02-24",41.200001
"127","2014-02-25",41.799999
"128","2014-02-26",41
"129","2014-02-27",46.400002
"130","2014-02-28",45.5
"131","2014-03-03",44
"132","2014-03-04",42.5
"133","2014-03-05",43.400002
"134","2014-03-06",43.5
"135","2014-03-07",44.5
"136","2014-03-10",44
"137","2014-03-11",46
"138","2014-03-12",44.5
"139","2014-03-13",44.400002
"140","2014-03-14",42.5
"141","2014-03-17",41.5
"142","2014-03-18",41
"143","2014-03-19",39
"144","2014-03-20",39
"145","2014-03-21",42
"146","2014-03-24",41
"147","2014-03-25",40.200001
"148","2014-03-26",38.5
"149","2014-03-27",37.700001
"150","2014-03-28",35
"151","2014-03-31",39.599998
"152","2014-04-01",40.200001
"153","2014-04-02",40
"154","2014-04-03",39
"155","2014-04-04",39
"156","2014-04-07",37.700001
"157","2014-04-08",36
"158","2014-04-09",38.5
"159","2014-04-10",40.5
"160","2014-04-11",37
"161","2014-04-14",38.5
"162","2014-04-15",40.900002
"163","2014-04-16",46
"164","2014-04-17",44.299999
"165","2014-04-21",42.5
"166","2014-04-22",43.400002
"167","2014-04-23",41.900002
"168","2014-04-24",42.5
"169","2014-04-25",41.900002
"170","2014-04-28",42.5
"171","2014-04-29",44
"172","2014-04-30",43.299999
"173","2014-05-01",42.200001
"174","2014-05-02",42.900002
"175","2014-05-05",42.5
"176","2014-05-06",41.799999
"177","2014-05-07",41.5
"178","2014-05-08",43
"179","2014-05-09",41
"180","2014-05-12",43
"181","2014-05-13",45
"182","2014-05-14",44.700001
"183","2014-05-15",42
"184","2014-05-16",42.200001
"185","2014-05-19",42
"186","2014-05-20",44.799999
"187","2014-05-21",44.200001
"188","2014-05-22",42.299999
"189","2014-05-23",43
"190","2014-05-27",44.5
"191","2014-05-28",45.599998
"192","2014-05-29",44.5
"193","2014-05-30",40.900002
"194","2014-06-02",41
"195","2014-06-03",40
"196","2014-06-04",41.799999
"197","2014-06-05",40.099998
"198","2014-06-06",38
"199","2014-06-09",34
"200","2014-06-10",31.6
"201","2014-06-11",31.5
"202","2014-06-12",34.799999
"203","2014-06-13",35
"204","2014-06-16",34.5
"205","2014-06-17",38.5
"206","2014-06-18",38.5
"207","2014-06-19",38.099998
"208","2014-06-20",38.900002
"209","2014-06-23",37
"210","2014-06-24",35.5
"211","2014-06-25",38
"212","2014-06-26",37.599998
"213","2014-06-27",38.599998
"214","2014-06-30",39.099998
"215","2014-07-01",40.400002
"216","2014-07-02",41
"217","2014-07-03",42.5
"218","2014-07-07",41.080002
"219","2014-07-08",41.099998
"220","2014-07-09",40.98
"221","2014-07-10",39.900002
"222","2014-07-11",40.5
"223","2014-07-14",40.5
"224","2014-07-15",39.099998
"225","2014-07-16",39.700001
"226","2014-07-17",38.700001
"227","2014-07-18",38.900002
"228","2014-07-21",39.099998
"229","2014-07-22",38.299999
"230","2014-07-23",38.5
"231","2014-07-24",38
"232","2014-07-25",38.400002
"233","2014-07-28",38.400002
"234","2014-07-29",37.400002
"235","2014-07-30",36.299999
"236","2014-07-31",37
"237","2014-08-01",36.5
"238","2014-08-04",36.400002
"239","2014-08-05",35
"240","2014-08-06",35.400002
"241","2014-08-07",33.599998
"242","2014-08-08",34.599998
"243","2014-08-11",35
"244","2014-08-12",34.900002
"245","2014-08-13",34.5
"246","2014-08-14",34.799999
"247","2014-08-15",34.799999
"248","2014-08-18",34.700001
"249","2014-08-19",33.5
"250","2014-08-20",33.799999
"251","2014-08-21",35
"252","2014-08-22",38.5
"253","2014-08-25",39.200001
"254","2014-08-26",39.900002
"255","2014-08-27",37.799999
"256","2014-08-28",37.799999
"257","2014-08-29",39.5
"258","2014-09-02",37.5
"259","2014-09-03",37.299999
"260","2014-09-04",38
"261","2014-09-05",37.299999
"262","2014-09-08",38
"263","2014-09-09",35.5
"264","2014-09-10",23.1
"265","2014-09-11",23
"266","2014-09-12",22.66
"267","2014-09-15",23.799999
"268","2014-09-16",22
"269","2014-09-17",20.799999
"270","2014-09-18",16.799999
"271","2014-09-19",13.8
"272","2014-09-22",21.200001
"273","2014-09-23",26.5
"274","2014-09-24",26
"275","2014-09-25",28.4
"276","2014-09-26",27.700001
"277","2014-09-29",23.9
"278","2014-09-30",25.6
"279","2014-10-01",25.6
"280","2014-10-02",28.700001
"281","2014-10-03",39.099998
"282","2014-10-06",34.099998
"283","2014-10-07",31.799999
"284","2014-10-08",30.1
"285","2014-10-09",34.099998
"286","2014-10-10",34.5
"287","2014-10-13",31.700001
"288","2014-10-14",28.5
"289","2014-10-15",26.5
"290","2014-10-16",28.6
"291","2014-10-17",26.799999
"292","2014-10-20",27.700001
"293","2014-10-21",25.08
"294","2014-10-22",25.700001
"295","2014-10-23",24.200001
"296","2014-10-24",22.4
"297","2014-10-27",21.299999
"298","2014-10-28",21
"299","2014-10-29",20.200001
"300","2014-10-30",25.1
"301","2014-10-31",25
"302","2014-11-03",24.1
"303","2014-11-04",22.700001
"304","2014-11-05",22.1
"305","2014-11-06",23.4
"306","2014-11-07",23.799999
"307","2014-11-10",23.450001
"308","2014-11-11",24.799999
"309","2014-11-12",24.6
"310","2014-11-13",23.1
"311","2014-11-14",23.1
"312","2014-11-17",22.4
"313","2014-11-18",22.200001
"314","2014-11-19",22.049999
"315","2014-11-20",21
"316","2014-11-21",21
"317","2014-11-24",21.5
"318","2014-11-25",21.5
"319","2014-11-26",21.799999
"320","2014-11-28",21
"321","2014-12-01",21.5
"322","2014-12-02",22.700001
"323","2014-12-03",23.6
"324","2014-12-04",22.700001
"325","2014-12-05",22.4
"326","2014-12-08",22.799999
"327","2014-12-09",22.299999
"328","2014-12-10",23.9
"329","2014-12-11",24.200001
"330","2014-12-12",23.1
"331","2014-12-15",23.9
"332","2014-12-16",23.4
"333","2014-12-17",23.1
"334","2014-12-18",23.6
"335","2014-12-19",23.1
"336","2014-12-22",23.200001
"337","2014-12-23",25.5
"338","2014-12-24",24.6
"339","2014-12-26",25.1
"340","2014-12-29",24.299999
"341","2014-12-30",23.1
"342","2014-12-31",22
"343","2015-01-02",23.799999
"344","2015-01-05",23.4
"345","2015-01-06",22.4
"346","2015-01-07",23.1
"347","2015-01-08",23.4
"348","2015-01-09",24.299999
"349","2015-01-12",25.6
"350","2015-01-13",28.700001
"351","2015-01-14",27.4
"352","2015-01-15",28.200001
"353","2015-01-16",26.799999
"354","2015-01-20",27.5
"355","2015-01-21",34.099998
"356","2015-01-22",33.299999
"357","2015-01-23",29.4
"358","2015-01-26",28.9
"359","2015-01-27",29
"360","2015-01-28",29.15
"361","2015-01-29",28.6
"362","2015-01-30",27.799999
"363","2015-02-02",25.9
"364","2015-02-03",25.5
"365","2015-02-04",24.700001
"366","2015-02-05",27.700001
"367","2015-02-06",26
"368","2015-02-09",24.5
"369","2015-02-10",25.299999
"370","2015-02-11",25.4
"371","2015-02-12",26.6
"372","2015-02-13",27
"373","2015-02-17",26.5
"374","2015-02-18",26.5
"375","2015-02-19",26.6
"376","2015-02-20",26.700001
"377","2015-02-23",26.299999
"378","2015-02-24",25.299999
"379","2015-02-25",24.9
"380","2015-02-26",26.1
"381","2015-02-27",25.4
"382","2015-03-02",24.6
"383","2015-03-03",23.83
"384","2015-03-04",23.6
"385","2015-03-05",24
"386","2015-03-06",23.799999
"387","2015-03-09",21.700001
"388","2015-03-10",22.1
"389","2015-03-11",24.700001
"390","2015-03-12",26.200001
"391","2015-03-13",25.9
"392","2015-03-16",25.6
"393","2015-03-17",26.799999
"394","2015-03-18",30.700001
"395","2015-03-19",31.6
"396","2015-03-20",38.700001
"397","2015-03-23",35.700001
"398","2015-03-24",35.900002
"399","2015-03-25",35.5
"400","2015-03-26",34.5
"401","2015-03-27",34.400002
"402","2015-03-30",32.799999
