"","date","SCL"
"200","2007-10-17",16.129999
"201","2007-10-18",15.69
"202","2007-10-19",15.67
"203","2007-10-22",15.675
"204","2007-10-23",16.4
"205","2007-10-24",16.07
"206","2007-10-25",16.445
"207","2007-10-26",17.18
"208","2007-10-29",16.969999
"209","2007-10-30",17.25
"210","2007-10-31",17.32
"211","2007-11-01",16.254999
"212","2007-11-02",16.455
"213","2007-11-05",16.18
"214","2007-11-06",17.325001
"215","2007-11-07",16.120001
"216","2007-11-08",16.705
"217","2007-11-09",16.200001
"218","2007-11-12",15.945
"219","2007-11-13",16.440001
"220","2007-11-14",15.62
"221","2007-11-15",15.71
"222","2007-11-16",15.345
"223","2007-11-19",14.735
"224","2007-11-20",15.105
"225","2007-11-21",15.495
"226","2007-11-23",16.07
"227","2007-11-26",15.825
"228","2007-11-27",15.71
"229","2007-11-28",15.865
"230","2007-11-29",15.535
"231","2007-11-30",15.27
"232","2007-12-03",14.925
"233","2007-12-04",14.935
"234","2007-12-05",14.99
"235","2007-12-06",16.285
"236","2007-12-07",16.02
"237","2007-12-10",15.88
"238","2007-12-11",15.51
"239","2007-12-12",16.125
"240","2007-12-13",16.299999
"241","2007-12-14",15.48
"242","2007-12-17",15.5
"243","2007-12-18",16.299999
"244","2007-12-19",16.275
"245","2007-12-20",16.795
"246","2007-12-21",17.315001
"247","2007-12-24",17.450001
"248","2007-12-26",17.440001
"249","2007-12-27",16.889999
"250","2007-12-28",16.844999
"251","2007-12-31",16.264999
"252","2008-01-02",15.675
"253","2008-01-03",15.295
"254","2008-01-04",14.985
"255","2008-01-07",15.05
"256","2008-01-08",14.865
"257","2008-01-09",15
"258","2008-01-10",14.925
"259","2008-01-11",14.875
"260","2008-01-14",14.86
"261","2008-01-15",14.315
"262","2008-01-16",14.82
"263","2008-01-17",14.375
"264","2008-01-18",14.435
"265","2008-01-22",14.445
"266","2008-01-23",15.095
"267","2008-01-24",14.5
"268","2008-01-25",14.48
"269","2008-01-28",15.185
"270","2008-01-29",14.71
"271","2008-01-30",14.385
"272","2008-01-31",14.95
"273","2008-02-01",15.055
"274","2008-02-04",15.205
"275","2008-02-05",14.64
"276","2008-02-06",14.42
"277","2008-02-07",14.465
"278","2008-02-08",14.555
"279","2008-02-11",15.835
"280","2008-02-12",16.045
"281","2008-02-13",16.594999
"282","2008-02-14",16.299999
"283","2008-02-15",16.674999
"284","2008-02-19",16.545
"285","2008-02-20",17.24
"286","2008-02-21",17.299999
"287","2008-02-22",17.165001
"288","2008-02-25",17.25
"289","2008-02-26",17.285
"290","2008-02-27",17.4
"291","2008-02-28",17.415001
"292","2008-02-29",17.049999
"293","2008-03-03",17.35
"294","2008-03-04",17.27
"295","2008-03-05",17.68
"296","2008-03-06",17.309999
"297","2008-03-07",17.225
"298","2008-03-10",17.08
"299","2008-03-11",18.215
"300","2008-03-12",17.950001
"301","2008-03-13",18.690001
"302","2008-03-14",18.16
"303","2008-03-17",18.485001
"304","2008-03-18",19.125
"305","2008-03-19",18.5
"306","2008-03-20",18.530001
"307","2008-03-24",19.040001
"308","2008-03-25",19.030001
"309","2008-03-26",19
"310","2008-03-27",18.865
"311","2008-03-28",19.110001
"312","2008-03-31",19.115
"313","2008-04-01",19.450001
"314","2008-04-02",19.334999
"315","2008-04-03",19.290001
"316","2008-04-04",19.35
"317","2008-04-07",19.41
"318","2008-04-08",20
"319","2008-04-09",19.91
"320","2008-04-10",20.174999
"321","2008-04-11",19.75
"322","2008-04-14",19.799999
"323","2008-04-15",20.075001
"324","2008-04-16",20.67
"325","2008-04-17",20.299999
"326","2008-04-18",20.389999
"327","2008-04-21",20.385
"328","2008-04-22",20.754999
"329","2008-04-23",20.275
"330","2008-04-24",20.75
"331","2008-04-25",19.299999
"332","2008-04-28",20.049999
"333","2008-04-29",19.705
"334","2008-04-30",19.67
"335","2008-05-01",19.834999
"336","2008-05-02",19.325001
"337","2008-05-05",19.450001
"338","2008-05-06",20.1
"339","2008-05-07",20
"340","2008-05-08",19.35
"341","2008-05-09",19.514999
"342","2008-05-12",20.375
"343","2008-05-13",20.395
"344","2008-05-14",20.33
"345","2008-05-15",20.98
"346","2008-05-16",20.745001
"347","2008-05-19",20.674999
"348","2008-05-20",20.879999
"349","2008-05-21",20.645
"350","2008-05-22",20.959999
"351","2008-05-23",20.115
"352","2008-05-27",20.445
"353","2008-05-28",19.995001
"354","2008-05-29",20.059999
"355","2008-05-30",20.445
"356","2008-06-02",20.049999
"357","2008-06-03",20.275
"358","2008-06-04",20.35
"359","2008-06-05",21.24
"360","2008-06-06",20.875
"361","2008-06-09",20.83
"362","2008-06-10",20.635
"363","2008-06-11",20.91
"364","2008-06-12",21.200001
"365","2008-06-13",21.475
"366","2008-06-16",21.495001
"367","2008-06-17",21.895
"368","2008-06-18",21.98
"369","2008-06-19",21.905001
"370","2008-06-20",22.07
"371","2008-06-23",21.92
"372","2008-06-24",21.5
"373","2008-06-25",21.629999
"374","2008-06-26",21.495001
"375","2008-06-27",22.280001
"376","2008-06-30",22.809999
"377","2008-07-01",22.67
"378","2008-07-02",21.870001
"379","2008-07-03",21.459999
"380","2008-07-07",21.135
"381","2008-07-08",21.995001
"382","2008-07-09",21.629999
"383","2008-07-10",21.834999
"384","2008-07-11",22.594999
"385","2008-07-14",22.139999
"386","2008-07-15",22.455
"387","2008-07-16",23.950001
"388","2008-07-17",24.52
"389","2008-07-18",23.57
"390","2008-07-21",24.115
"391","2008-07-22",24.629999
"392","2008-07-23",24.065001
"393","2008-07-24",24.105
"394","2008-07-25",24.665001
"395","2008-07-28",23.995001
"396","2008-07-29",28.66
"397","2008-07-30",29.299999
"398","2008-07-31",28.68
"399","2008-08-01",28.08
"400","2008-08-04",27.754999
"401","2008-08-05",29.245001
"402","2008-08-06",29.184999
"403","2008-08-07",28.365
"404","2008-08-08",29.035
"405","2008-08-11",29.190001
"406","2008-08-12",29.065001
"407","2008-08-13",28.995001
"408","2008-08-14",30.115
"409","2008-08-15",30.07
"410","2008-08-18",29.77
"411","2008-08-19",29.959999
"412","2008-08-20",29.885
"413","2008-08-21",29.325001
"414","2008-08-22",29.795
"415","2008-08-25",29.6
"416","2008-08-26",29.51
"417","2008-08-27",29.495001
"418","2008-08-28",29.825001
"419","2008-08-29",29.415001
"420","2008-09-02",29.844999
"421","2008-09-03",29.65
"422","2008-09-04",28.504999
"423","2008-09-05",28.57
"424","2008-09-08",29.360001
"425","2008-09-09",27.525
"426","2008-09-10",28.424999
"427","2008-09-11",29.275
"428","2008-09-12",29.805
"429","2008-09-15",28.955
"430","2008-09-16",29.674999
"431","2008-09-17",26.875
"432","2008-09-18",26.995001
"433","2008-09-19",28.985001
"434","2008-09-22",29.055
"435","2008-09-23",28.200001
"436","2008-09-24",26.635
"437","2008-09-25",26.825001
