"","date","NHI"
"1","2007-01-03",33.040001
"2","2007-01-04",33.259998
"3","2007-01-05",32.59
"4","2007-01-08",32.48
"5","2007-01-09",32.700001
"6","2007-01-10",32.5
"7","2007-01-11",32.349998
"8","2007-01-12",32.459999
"9","2007-01-16",32.150002
"10","2007-01-17",32.150002
"11","2007-01-18",32.189999
"12","2007-01-19",32.470001
"13","2007-01-22",32
"14","2007-01-23",32.040001
"15","2007-01-24",32.130001
"16","2007-01-25",32.02
"17","2007-01-26",32.290001
"18","2007-01-29",32.080002
"19","2007-01-30",32
"20","2007-01-31",32.099998
"21","2007-02-01",32.18
"22","2007-02-02",32.169998
"23","2007-02-05",32.150002
"24","2007-02-06",32.139999
"25","2007-02-07",32.240002
"26","2007-02-08",32.189999
"27","2007-02-09",32.700001
"28","2007-02-12",32.25
"29","2007-02-13",32.400002
"30","2007-02-14",32.110001
"31","2007-02-15",32.200001
"32","2007-02-16",32.130001
"33","2007-02-20",32.189999
"34","2007-02-21",32.169998
"35","2007-02-22",32.25
"36","2007-02-23",32.060001
"37","2007-02-26",31.940001
"38","2007-02-27",30.58
"39","2007-02-28",30.4
"40","2007-03-01",30.459999
"41","2007-03-02",29.450001
"42","2007-03-05",28.059999
"43","2007-03-06",29.059999
"44","2007-03-07",28.83
"45","2007-03-08",29.549999
"46","2007-03-09",30
"47","2007-03-12",29.93
"48","2007-03-13",28.91
"49","2007-03-14",29.030001
"50","2007-03-15",29.4
"51","2007-03-16",28.93
"52","2007-03-19",29.75
"53","2007-03-20",29.9
"54","2007-03-21",30.370001
"55","2007-03-22",30.35
"56","2007-03-23",30.27
"57","2007-03-26",30.370001
"58","2007-03-27",30.360001
"59","2007-03-28",30.530001
"60","2007-03-29",30.83
"61","2007-03-30",31.34
"62","2007-04-02",31.4
"63","2007-04-03",31.74
"64","2007-04-04",31.35
"65","2007-04-05",32.849998
"66","2007-04-09",32.360001
"67","2007-04-10",32.310001
"68","2007-04-11",32.369999
"69","2007-04-12",32.849998
"70","2007-04-13",33.080002
"71","2007-04-16",33.459999
"72","2007-04-17",33.950001
