"","date","PG"
"1","2007-01-03",64.540001
"2","2007-01-04",64.050003
"3","2007-01-05",63.5
"4","2007-01-08",63.639999
"5","2007-01-09",63.48
"6","2007-01-10",64.239998
"7","2007-01-11",64.639999
"8","2007-01-12",65
"9","2007-01-16",65
"10","2007-01-17",65.360001
"11","2007-01-18",65.540001
"12","2007-01-19",66.089996
"13","2007-01-22",65.720001
"14","2007-01-23",65.639999
"15","2007-01-24",65.510002
"16","2007-01-25",64.919998
"17","2007-01-26",64.860001
"18","2007-01-29",64.879997
"19","2007-01-30",64.589996
"20","2007-01-31",64.870003
"21","2007-02-01",65.339996
"22","2007-02-02",65.339996
"23","2007-02-05",65.150002
"24","2007-02-06",64.589996
"25","2007-02-07",64.480003
"26","2007-02-08",64.589996
"27","2007-02-09",64.43
"28","2007-02-12",64.160004
"29","2007-02-13",64.709999
"30","2007-02-14",64.879997
"31","2007-02-15",64.989998
"32","2007-02-16",65.07
"33","2007-02-20",64.879997
"34","2007-02-21",64.690002
"35","2007-02-22",64.709999
"36","2007-02-23",64.82
"37","2007-02-26",64.440002
"38","2007-02-27",61.25
"39","2007-02-28",63.490002
"40","2007-03-01",63.68
"41","2007-03-02",63.16
"42","2007-03-05",62.790001
"43","2007-03-06",62.939999
"44","2007-03-07",62.080002
"45","2007-03-08",62.310001
"46","2007-03-09",62.16
"47","2007-03-12",62.09
"48","2007-03-13",61.169998
"49","2007-03-14",61.360001
"50","2007-03-15",61.91
"51","2007-03-16",61.610001
"52","2007-03-19",61.98
"53","2007-03-20",62.279999
"54","2007-03-21",62.959999
"55","2007-03-22",63.849998
"56","2007-03-23",63.799999
"57","2007-03-26",63.900002
"58","2007-03-27",63.27
"59","2007-03-28",63.009998
"60","2007-03-29",63.259998
"61","2007-03-30",63.16
"62","2007-04-02",63.02
"63","2007-04-03",62.900002
"64","2007-04-04",63.049999
"65","2007-04-05",63
"66","2007-04-09",63.259998
"67","2007-04-10",63.209999
"68","2007-04-11",63.040001
"69","2007-04-12",63.52
"70","2007-04-13",63.380001
"71","2007-04-16",63.73
"72","2007-04-17",63.900002
"73","2007-04-18",63.759998
"74","2007-04-19",63.619999
