"","date","BMI"
"1","2007-01-03",13.59
"2","2007-01-04",13.425
"3","2007-01-05",13.175
"4","2007-01-08",12.99
"5","2007-01-09",14.2
"6","2007-01-10",14.16
"7","2007-01-11",14.1
"8","2007-01-12",14.3
"9","2007-01-16",14.33
"10","2007-01-17",13.935
"11","2007-01-18",13.72
"12","2007-01-19",13.75
"13","2007-01-22",13.89
"14","2007-01-23",14.29
"15","2007-01-24",14.65
"16","2007-01-25",13.765
"17","2007-01-26",14.43
"18","2007-01-29",14.2
"19","2007-01-30",14.3
"20","2007-01-31",14.475
"21","2007-02-01",14.725
"22","2007-02-02",15.375
"23","2007-02-05",15.095
"24","2007-02-06",14.1
"25","2007-02-07",14.92
"26","2007-02-08",14.95
"27","2007-02-09",15.075
"28","2007-02-12",14.925
"29","2007-02-13",14.8
"30","2007-02-14",14.89
"31","2007-02-15",14.855
"32","2007-02-16",15.145
"33","2007-02-20",15.565
"34","2007-02-21",15.75
"35","2007-02-22",15.5
"36","2007-02-23",15.83
"37","2007-02-26",15.475
"38","2007-02-27",14.68
"39","2007-02-28",14.755
"40","2007-03-01",14.41
"41","2007-03-02",13.7
"42","2007-03-05",13.005
"43","2007-03-06",13.885
"44","2007-03-07",13.8
"45","2007-03-08",14.045
"46","2007-03-09",13.975
"47","2007-03-12",13.97
"48","2007-03-13",13.075
"49","2007-03-14",13.52
"50","2007-03-15",13.56
"51","2007-03-16",13.05
"52","2007-03-19",13.01
"53","2007-03-20",13.09
"54","2007-03-21",13.77
"55","2007-03-22",14.115
"56","2007-03-23",13.785
"57","2007-03-26",13.735
"58","2007-03-27",13.825
"59","2007-03-28",13.43
"60","2007-03-29",13.125
"61","2007-03-30",13.275
"62","2007-04-02",13.445
"63","2007-04-03",13.685
"64","2007-04-04",13.45
"65","2007-04-05",13.6
"66","2007-04-09",13.25
"67","2007-04-10",13.15
"68","2007-04-11",12.975
"69","2007-04-12",13.335
"70","2007-04-13",13.75
"71","2007-04-16",13.95
"72","2007-04-17",13.925
"73","2007-04-18",12.475
"74","2007-04-19",12.59
"75","2007-04-20",12.555
"76","2007-04-23",12.325
"77","2007-04-24",12.055
"78","2007-04-25",11.935
"79","2007-04-26",11.84
"80","2007-04-27",11.925
"81","2007-04-30",12
"82","2007-05-01",12.13
"83","2007-05-02",12.555
"84","2007-05-03",12.425
"85","2007-05-04",12.47
"86","2007-05-07",12.4
"87","2007-05-08",12.365
"88","2007-05-09",12.54
"89","2007-05-10",12.225
"90","2007-05-11",12.4
"91","2007-05-14",11.995
"92","2007-05-15",11.765
"93","2007-05-16",11.87
"94","2007-05-17",11.96
"95","2007-05-18",12.085
"96","2007-05-21",12.74
"97","2007-05-22",12.805
"98","2007-05-23",13.16
"99","2007-05-24",12.97
"100","2007-05-25",13.225
"101","2007-05-29",13.33
"102","2007-05-30",12.56
"103","2007-05-31",12.845
"104","2007-06-01",13.525
"105","2007-06-04",13.25
"106","2007-06-05",13.49
"107","2007-06-06",13.535
"108","2007-06-07",13.56
"109","2007-06-08",13.81
"110","2007-06-11",13.975
"111","2007-06-12",13.675
"112","2007-06-13",13.755
"113","2007-06-14",13.93
"114","2007-06-15",13.97
"115","2007-06-18",13.825
"116","2007-06-19",13.975
"117","2007-06-20",14.225
"118","2007-06-21",13.48
"119","2007-06-22",13.185
"120","2007-06-25",12.815
"121","2007-06-26",13.9
"122","2007-06-27",14
"123","2007-06-28",13.795
"124","2007-06-29",14.13
"125","2007-07-02",14.235
"126","2007-07-03",14.25
"127","2007-07-05",14.175
"128","2007-07-06",14.05
"129","2007-07-09",14.225
"130","2007-07-10",14.28
"131","2007-07-11",14.275
"132","2007-07-12",15.51
"133","2007-07-13",15.125
"134","2007-07-16",14.995
"135","2007-07-17",15.38
"136","2007-07-18",15.54
"137","2007-07-19",17.764999
"138","2007-07-20",17.450001
"139","2007-07-23",17.530001
"140","2007-07-24",17.49
"141","2007-07-25",16.459999
"142","2007-07-26",16.030001
"143","2007-07-27",16.674999
"144","2007-07-30",16.91
"145","2007-07-31",16.825001
"146","2007-08-01",16.440001
"147","2007-08-02",16.385
"148","2007-08-03",15.425
"149","2007-08-06",15.625
"150","2007-08-07",15.575
"151","2007-08-08",16
"152","2007-08-09",15.06
"153","2007-08-10",15.2
"154","2007-08-13",16.85
"155","2007-08-14",16.200001
"156","2007-08-15",14.19
"157","2007-08-16",18.25
"158","2007-08-17",16.195
"159","2007-08-20",16.35
"160","2007-08-21",16
"161","2007-08-22",16.360001
"162","2007-08-23",16.014999
"163","2007-08-24",16.01
"164","2007-08-27",15.9
"165","2007-08-28",15.225
"166","2007-08-29",15.975
"167","2007-08-30",15.575
"168","2007-08-31",15.695
"169","2007-09-04",16.014999
"170","2007-09-05",15.42
"171","2007-09-06",16.209999
"172","2007-09-07",15.525
"173","2007-09-10",15.7
"174","2007-09-11",16.275
"175","2007-09-12",15.58
"176","2007-09-13",15.665
"177","2007-09-14",15.625
"178","2007-09-17",15.66
"179","2007-09-18",16.969999
"180","2007-09-19",17.5
"181","2007-09-20",17.415001
"182","2007-09-21",17.135
"183","2007-09-24",17.174999
"184","2007-09-25",16.66
"185","2007-09-26",17.26
"186","2007-09-27",16.040001
"187","2007-09-28",16.025
"188","2007-10-01",16.625
"189","2007-10-02",17.415001
"190","2007-10-03",16.754999
"191","2007-10-04",16.49
"192","2007-10-05",17.465
"193","2007-10-08",18.299999
"194","2007-10-09",17.965
"195","2007-10-10",18.290001
"196","2007-10-11",17.549999
"197","2007-10-12",18.075001
"198","2007-10-15",18
"199","2007-10-16",17.825001
"200","2007-10-17",18.299999
"201","2007-10-18",18.530001
