"","date","RS"
"1","2007-01-03",39.189999
"2","2007-01-04",39.209999
"3","2007-01-05",38.360001
"4","2007-01-08",38.75
"5","2007-01-09",38.689999
"6","2007-01-10",39.150002
"7","2007-01-11",38.900002
"8","2007-01-12",39.23
"9","2007-01-16",38.400002
"10","2007-01-17",38.450001
"11","2007-01-18",37.849998
"12","2007-01-19",38.830002
"13","2007-01-22",38.529999
"14","2007-01-23",40.09
"15","2007-01-24",40.619999
"16","2007-01-25",41.419998
"17","2007-01-26",41.48
"18","2007-01-29",40.869999
"19","2007-01-30",41.73
"20","2007-01-31",41.639999
"21","2007-02-01",43.009998
"22","2007-02-02",42.799999
"23","2007-02-05",42.709999
"24","2007-02-06",42.66
"25","2007-02-07",43.029999
"26","2007-02-08",42.950001
"27","2007-02-09",42.459999
"28","2007-02-12",42.060001
"29","2007-02-13",42.790001
"30","2007-02-14",43.099998
"31","2007-02-15",44.57
"32","2007-02-16",45.279999
"33","2007-02-20",46.07
"34","2007-02-21",46.610001
"35","2007-02-22",46.259998
"36","2007-02-23",46.27
"37","2007-02-26",46.549999
"38","2007-02-27",43.950001
"39","2007-02-28",45.66
"40","2007-03-01",44.860001
"41","2007-03-02",43.700001
"42","2007-03-05",42.290001
"43","2007-03-06",43.599998
"44","2007-03-07",43.860001
"45","2007-03-08",44.700001
"46","2007-03-09",45.09
"47","2007-03-12",44.84
"48","2007-03-13",43.209999
"49","2007-03-14",43.599998
"50","2007-03-15",43.959999
"51","2007-03-16",43.5
"52","2007-03-19",43.950001
"53","2007-03-20",46.200001
"54","2007-03-21",46.369999
"55","2007-03-22",46.48
"56","2007-03-23",46.419998
"57","2007-03-26",46.540001
"58","2007-03-27",46.049999
"59","2007-03-28",45.91
"60","2007-03-29",47.779999
"61","2007-03-30",48.400002
"62","2007-04-02",50.450001
"63","2007-04-03",50.27
"64","2007-04-04",50.740002
"65","2007-04-05",50.950001
"66","2007-04-09",51
"67","2007-04-10",51.099998
"68","2007-04-11",51.009998
"69","2007-04-12",51.970001
"70","2007-04-13",52.040001
"71","2007-04-16",52.810001
"72","2007-04-17",52.200001
"73","2007-04-18",51.84
"74","2007-04-19",56.900002
"75","2007-04-20",59.029999
"76","2007-04-23",61.52
"77","2007-04-24",60.279999
"78","2007-04-25",61.23
"79","2007-04-26",60.450001
"80","2007-04-27",59.880001
"81","2007-04-30",59.400002
"82","2007-05-01",59.41
"83","2007-05-02",60.209999
"84","2007-05-03",61.400002
"85","2007-05-04",60.700001
"86","2007-05-07",61.560001
"87","2007-05-08",62.630001
"88","2007-05-09",63.759998
"89","2007-05-10",62.110001
"90","2007-05-11",62.330002
"91","2007-05-14",61.82
"92","2007-05-15",61.330002
"93","2007-05-16",61.18
"94","2007-05-17",61.299999
"95","2007-05-18",61.419998
"96","2007-05-21",61.779999
"97","2007-05-22",60.380001
"98","2007-05-23",61.68
"99","2007-05-24",59.200001
"100","2007-05-25",59.970001
"101","2007-05-29",59.860001
"102","2007-05-30",60.43
"103","2007-05-31",61.369999
"104","2007-06-01",62.400002
"105","2007-06-04",62.040001
"106","2007-06-05",61.799999
"107","2007-06-06",60.970001
"108","2007-06-07",58.25
"109","2007-06-08",58.52
"110","2007-06-11",57.849998
"111","2007-06-12",56.119999
"112","2007-06-13",56.970001
"113","2007-06-14",58.779999
"114","2007-06-15",59.209999
"115","2007-06-18",58.849998
"116","2007-06-19",58.459999
"117","2007-06-20",57.970001
"118","2007-06-21",57.990002
"119","2007-06-22",57.07
"120","2007-06-25",57.02
"121","2007-06-26",55.919998
"122","2007-06-27",55.540001
"123","2007-06-28",55.990002
"124","2007-06-29",56.259998
"125","2007-07-02",57.52
"126","2007-07-03",57.07
"127","2007-07-05",57.82
"128","2007-07-06",58.509998
"129","2007-07-09",60.310001
"130","2007-07-10",59.470001
"131","2007-07-11",60.880001
"132","2007-07-12",63.18
"133","2007-07-13",62.740002
"134","2007-07-16",62.5
"135","2007-07-17",62.950001
"136","2007-07-18",61.02
"137","2007-07-19",57.209999
"138","2007-07-20",57.330002
"139","2007-07-23",57.169998
"140","2007-07-24",56.619999
"141","2007-07-25",55.82
"142","2007-07-26",52.639999
"143","2007-07-27",51.82
"144","2007-07-30",53.470001
"145","2007-07-31",52.540001
"146","2007-08-01",52.330002
"147","2007-08-02",52.299999
"148","2007-08-03",50.200001
"149","2007-08-06",49.700001
"150","2007-08-07",49.91
"151","2007-08-08",50.439999
"152","2007-08-09",48.889999
"153","2007-08-10",49.349998
"154","2007-08-13",49.130001
"155","2007-08-14",47.779999
"156","2007-08-15",46.68
"157","2007-08-16",43.330002
"158","2007-08-17",46.099998
"159","2007-08-20",46.369999
"160","2007-08-21",48.900002
"161","2007-08-22",50.939999
"162","2007-08-23",50.810001
"163","2007-08-24",52.540001
"164","2007-08-27",52.790001
"165","2007-08-28",50.540001
"166","2007-08-29",52
"167","2007-08-30",51.799999
"168","2007-08-31",52.970001
"169","2007-09-04",53.610001
"170","2007-09-05",53.029999
"171","2007-09-06",54
"172","2007-09-07",53
"173","2007-09-10",52
"174","2007-09-11",52.990002
"175","2007-09-12",52.400002
"176","2007-09-13",52.950001
"177","2007-09-14",53.509998
"178","2007-09-17",52.880001
"179","2007-09-18",55.279999
"180","2007-09-19",55.799999
"181","2007-09-20",55.830002
"182","2007-09-21",55.669998
"183","2007-09-24",54.709999
"184","2007-09-25",54.75
"185","2007-09-26",55.310001
"186","2007-09-27",57.200001
"187","2007-09-28",56.540001
"188","2007-10-01",57.330002
"189","2007-10-02",57.599998
"190","2007-10-03",56.799999
"191","2007-10-04",56.52
"192","2007-10-05",57.509998
"193","2007-10-08",57.970001
"194","2007-10-09",58.02
"195","2007-10-10",57.139999
"196","2007-10-11",55.82
"197","2007-10-12",54.720001
"198","2007-10-15",53.939999
"199","2007-10-16",52.849998
"200","2007-10-17",51.400002
"201","2007-10-18",54.400002
"202","2007-10-19",53
"203","2007-10-22",52.939999
"204","2007-10-23",53.639999
"205","2007-10-24",55.759998
"206","2007-10-25",56.349998
"207","2007-10-26",57.799999
"208","2007-10-29",59.040001
"209","2007-10-30",57.82
