"","date","EYE"
"1","2017-10-27",28.15
"2","2017-10-30",28.040001
"3","2017-10-31",28.799999
"4","2017-11-01",30.370001
"5","2017-11-02",29.99
"6","2017-11-03",29.700001
"7","2017-11-06",30.07
"8","2017-11-07",30.049999
"9","2017-11-08",30.209999
"10","2017-11-09",30.209999
"11","2017-11-10",30.139999
"12","2017-11-13",29.99
"13","2017-11-14",30.120001
"14","2017-11-15",29.959999
"15","2017-11-16",30.129999
"16","2017-11-17",29.98
"17","2017-11-20",30.190001
"18","2017-11-21",30.1
"19","2017-11-22",29.98
"20","2017-11-24",29.99
"21","2017-11-27",31.82
"22","2017-11-28",31.530001
"23","2017-11-29",31.799999
"24","2017-11-30",32.59
"25","2017-12-01",32.84
"26","2017-12-04",32.639999
"27","2017-12-05",32.849998
"28","2017-12-06",32.580002
"29","2017-12-07",32.900002
"30","2017-12-08",33.18
"31","2017-12-11",35
"32","2017-12-12",35.16
"33","2017-12-13",34.950001
"34","2017-12-14",35.580002
"35","2017-12-15",35.75
"36","2017-12-18",37.419998
"37","2017-12-19",37.310001
"38","2017-12-20",38.75
"39","2017-12-21",38.5
"40","2017-12-22",39.25
"41","2017-12-26",39.68
"42","2017-12-27",39.689999
"43","2017-12-28",40.470001
"44","2017-12-29",40.610001
"45","2018-01-02",40.27
"46","2018-01-03",39.91
"47","2018-01-04",39.59
"48","2018-01-05",38.900002
"49","2018-01-08",38.91
"50","2018-01-09",37.959999
"51","2018-01-10",38.07
"52","2018-01-11",39.82
"53","2018-01-12",40.919998
"54","2018-01-16",41.200001
"55","2018-01-17",41.040001
"56","2018-01-18",42.009998
"57","2018-01-19",43.130001
"58","2018-01-22",42.32
"59","2018-01-23",40.98
"60","2018-01-24",39.59
"61","2018-01-25",38.150002
"62","2018-01-26",38.860001
"63","2018-01-29",38.349998
"64","2018-01-30",37.27
"65","2018-01-31",39.119999
"66","2018-02-01",39.34
"67","2018-02-02",38
"68","2018-02-05",38.16
"69","2018-02-06",38.080002
"70","2018-02-07",37.799999
"71","2018-02-08",35.619999
"72","2018-02-09",35.790001
"73","2018-02-12",35.09
"74","2018-02-13",34.57
"75","2018-02-14",35.299999
"76","2018-02-15",35.040001
"77","2018-02-16",35.970001
"78","2018-02-20",35.880001
"79","2018-02-21",36.119999
"80","2018-02-22",35.66
"81","2018-02-23",35.509998
"82","2018-02-26",34.91
"83","2018-02-27",34.950001
"84","2018-02-28",34.560001
"85","2018-03-01",33.860001
"86","2018-03-02",35.73
"87","2018-03-05",36.43
"88","2018-03-06",35.450001
"89","2018-03-07",34.889999
"90","2018-03-08",34.189999
