"","date","AAPL"
"1","2007-01-03",2.992857
"2","2007-01-04",3.059286
"3","2007-01-05",3.0375
"4","2007-01-08",3.0525
"5","2007-01-09",3.306072
"6","2007-01-10",3.464286
"7","2007-01-11",3.421429
"8","2007-01-12",3.379286
"9","2007-01-16",3.467857
"10","2007-01-17",3.391071
"11","2007-01-18",3.181072
"12","2007-01-19",3.160714
"13","2007-01-22",3.099643
"14","2007-01-23",3.060714
"15","2007-01-24",3.096429
"16","2007-01-25",3.080357
"17","2007-01-26",3.049286
"18","2007-01-29",3.069286
"19","2007-01-30",3.055357
"20","2007-01-31",3.061786
"21","2007-02-01",3.026428
"22","2007-02-02",3.026786
"23","2007-02-05",2.997857
"24","2007-02-06",3.005357
"25","2007-02-07",3.076786
"26","2007-02-08",3.077857
"27","2007-02-09",2.973929
"28","2007-02-12",3.031429
"29","2007-02-13",3.025
"30","2007-02-14",3.046429
"31","2007-02-15",3.043214
"32","2007-02-16",3.029643
"33","2007-02-20",3.067857
"34","2007-02-21",3.185714
"35","2007-02-22",3.196786
"36","2007-02-23",3.181072
"37","2007-02-26",3.161072
"38","2007-02-27",2.9975
"39","2007-02-28",3.021786
"40","2007-03-01",3.109286
"41","2007-03-02",3.050357
"42","2007-03-05",3.082857
"43","2007-03-06",3.149643
"44","2007-03-07",3.132857
"45","2007-03-08",3.142857
"46","2007-03-09",3.141786
"47","2007-03-12",3.209643
"48","2007-03-13",3.157143
"49","2007-03-14",3.214286
"50","2007-03-15",3.198929
"51","2007-03-16",3.199643
"52","2007-03-19",3.254643
"53","2007-03-20",3.267143
"54","2007-03-21",3.3525
"55","2007-03-22",3.355714
"56","2007-03-23",3.34
"57","2007-03-26",3.423214
"58","2007-03-27",3.409286
"59","2007-03-28",3.33
"60","2007-03-29",3.348214
"61","2007-03-30",3.318214
"62","2007-04-02",3.344643
"63","2007-04-03",3.375
"64","2007-04-04",3.366786
"65","2007-04-05",3.381428
"66","2007-04-09",3.344643
"67","2007-04-10",3.366071
"68","2007-04-11",3.306786
"69","2007-04-12",3.2925
"70","2007-04-13",3.222857
"71","2007-04-16",3.265357
"72","2007-04-17",3.226786
"73","2007-04-18",3.228571
"74","2007-04-19",3.223929
"75","2007-04-20",3.248929
"76","2007-04-23",3.339643
"77","2007-04-24",3.33
"78","2007-04-25",3.405357
"79","2007-04-26",3.53
"80","2007-04-27",3.568571
"81","2007-04-30",3.564286
"82","2007-05-01",3.5525
"83","2007-05-02",3.585357
"84","2007-05-03",3.585714
"85","2007-05-04",3.600357
"86","2007-05-07",3.711429
"87","2007-05-08",3.752143
"88","2007-05-09",3.817143
"89","2007-05-10",3.833571
"90","2007-05-11",3.883571
"91","2007-05-14",3.905714
"92","2007-05-15",3.84
"93","2007-05-16",3.833571
"94","2007-05-17",3.908571
"95","2007-05-18",3.929286
"96","2007-05-21",3.999286
"97","2007-05-22",4.055
"98","2007-05-23",4.031785
"99","2007-05-24",3.953214
"100","2007-05-25",4.057857
"101","2007-05-29",4.083929
"102","2007-05-30",4.241786
"103","2007-05-31",4.328214
"104","2007-06-01",4.228571
"105","2007-06-04",4.333214
"106","2007-06-05",4.381072
"107","2007-06-06",4.415714
"108","2007-06-07",4.431071
"109","2007-06-08",4.446072
"110","2007-06-11",4.2925
"111","2007-06-12",4.299286
"112","2007-06-13",4.196429
"113","2007-06-14",4.241071
"114","2007-06-15",4.303571
"115","2007-06-18",4.4675
"116","2007-06-19",4.416429
"117","2007-06-20",4.341072
"118","2007-06-21",4.425
"119","2007-06-22",4.392857
"120","2007-06-25",4.369286
"121","2007-06-26",4.273214
"122","2007-06-27",4.353214
"123","2007-06-28",4.305714
"124","2007-06-29",4.358572
"125","2007-07-02",4.330714
"126","2007-07-03",4.541786
"127","2007-07-05",4.741071
"128","2007-07-06",4.725
"129","2007-07-09",4.654643
"130","2007-07-10",4.726786
"131","2007-07-11",4.728214
"132","2007-07-12",4.788214
"133","2007-07-13",4.918929
"134","2007-07-16",4.932143
"135","2007-07-17",4.961071
"136","2007-07-18",4.932857
"137","2007-07-19",5
"138","2007-07-20",5.133929
