"","date","MIST"
"1","2019-05-09",15.37
"2","2019-05-10",18
"3","2019-05-13",18.450001
"4","2019-05-14",18.549999
"5","2019-05-15",18.639999
"6","2019-05-16",19.01
"7","2019-05-17",18.709999
"8","2019-05-20",19.049999
"9","2019-05-21",19.4
"10","2019-05-22",20.5
"11","2019-05-23",19.639999
"12","2019-05-24",19.860001
"13","2019-05-28",21.41
"14","2019-05-29",21
"15","2019-05-30",21.16
"16","2019-05-31",20.700001
"17","2019-06-03",20.01
"18","2019-06-04",20.4
"19","2019-06-05",20.540001
"20","2019-06-06",19.84
"21","2019-06-07",19.98
"22","2019-06-10",18.77
"23","2019-06-11",18.75
"24","2019-06-12",19.290001
"25","2019-06-13",21.25
"26","2019-06-14",20.719999
"27","2019-06-17",22.190001
"28","2019-06-18",23.219999
"29","2019-06-19",24.24
"30","2019-06-20",24
"31","2019-06-21",22.52
"32","2019-06-24",22.17
"33","2019-06-25",22.25
"34","2019-06-26",22.459999
"35","2019-06-27",23.15
"36","2019-06-28",27.15
"37","2019-07-01",25.959999
"38","2019-07-02",23.129999
"39","2019-07-03",21
"40","2019-07-05",22.469999
"41","2019-07-08",19.889999
"42","2019-07-09",21.51
"43","2019-07-10",20.09
"44","2019-07-11",21.459999
"45","2019-07-12",19.07
"46","2019-07-15",19.690001
"47","2019-07-16",19.370001
"48","2019-07-17",19.4
"49","2019-07-18",19.139999
"50","2019-07-19",19.450001
"51","2019-07-22",19.5
"52","2019-07-23",19.934999
"53","2019-07-24",19.620001
"54","2019-07-25",17.32
"55","2019-07-26",17.530001
"56","2019-07-29",17.972
"57","2019-07-30",15.95
"58","2019-07-31",16.200001
"59","2019-08-01",16.17
"60","2019-08-02",16.299999
"61","2019-08-05",15.67
"62","2019-08-06",16.365
"63","2019-08-07",16
"64","2019-08-08",15.87
"65","2019-08-09",16
"66","2019-08-12",16
"67","2019-08-13",16.799999
"68","2019-08-14",17.25
"69","2019-08-15",18.01
"70","2019-08-16",17.58
"71","2019-08-19",17.799999
"72","2019-08-20",18.52
"73","2019-08-21",19
"74","2019-08-22",19
"75","2019-08-23",20.23
"76","2019-08-26",23.57
"77","2019-08-27",23.469999
"78","2019-08-28",22.08
"79","2019-08-29",22.85
"80","2019-08-30",22.6
"81","2019-09-03",23.135
"82","2019-09-04",23.200001
"83","2019-09-05",23.110001
"84","2019-09-06",22.43
"85","2019-09-09",22.450001
"86","2019-09-10",22.548
"87","2019-09-11",22.295
"88","2019-09-12",22.1
"89","2019-09-13",22.26
"90","2019-09-16",21.280001
"91","2019-09-17",21.280001
"92","2019-09-18",21.040001
"93","2019-09-19",20.299999
"94","2019-09-20",20
"95","2019-09-23",19.379999
"96","2019-09-24",18.610001
"97","2019-09-25",18.790001
"98","2019-09-26",16.799999
"99","2019-09-27",18.9
"100","2019-09-30",18.65
"101","2019-10-01",18.219999
"102","2019-10-02",18.26
"103","2019-10-03",18.889999
"104","2019-10-04",18.370001
"105","2019-10-07",18.26
"106","2019-10-08",17.565001
"107","2019-10-09",17.1
"108","2019-10-10",16.200001
"109","2019-10-11",17.57
"110","2019-10-14",18.254999
"111","2019-10-15",18.290001
"112","2019-10-16",18.889999
"113","2019-10-17",18.950001
"114","2019-10-18",20.99
"115","2019-10-21",21.9
"116","2019-10-22",21.25
"117","2019-10-23",21.25
"118","2019-10-24",21
"119","2019-10-25",20.5
"120","2019-10-28",19.57
"121","2019-10-29",19.26
"122","2019-10-30",18.604
"123","2019-10-31",19.139999
"124","2019-11-01",19.700001
"125","2019-11-04",20.4
"126","2019-11-05",19.75
"127","2019-11-06",19.049999
"128","2019-11-07",19.049999
"129","2019-11-08",17.58
"130","2019-11-11",17.85
"131","2019-11-12",17.783001
"132","2019-11-13",17.530001
"133","2019-11-14",17.030001
"134","2019-11-15",17.66
"135","2019-11-18",17.577999
"136","2019-11-19",17.58
"137","2019-11-20",18.620001
"138","2019-11-21",16.809999
"139","2019-11-22",17.892
"140","2019-11-25",17.82
"141","2019-11-26",17.01
"142","2019-11-27",17.09
"143","2019-11-29",16.870001
"144","2019-12-02",17
"145","2019-12-03",16.75
"146","2019-12-04",16.700001
"147","2019-12-05",16.280001
"148","2019-12-06",16.74
"149","2019-12-09",16.870001
"150","2019-12-10",16.719999
"151","2019-12-11",16.201
"152","2019-12-12",16.57
"153","2019-12-13",16.5
"154","2019-12-16",16.1
"155","2019-12-17",15.82
"156","2019-12-18",15.43
"157","2019-12-19",15.41
"158","2019-12-20",15.6
"159","2019-12-23",15.5
"160","2019-12-24",15.6
"161","2019-12-26",15.465
"162","2019-12-27",15.4
"163","2019-12-30",15.53
"164","2019-12-31",16.01
"165","2020-01-02",15.85
"166","2020-01-03",17.5
"167","2020-01-06",17
"168","2020-01-07",16.4
"169","2020-01-08",17.094999
"170","2020-01-09",16.888
"171","2020-01-10",16.5
"172","2020-01-13",16.9
"173","2020-01-14",17.84
"174","2020-01-15",18
"175","2020-01-16",18.59
"176","2020-01-17",18.469999
"177","2020-01-21",19.809999
"178","2020-01-22",21.690001
"179","2020-01-23",21.48
"180","2020-01-24",21.33
"181","2020-01-27",21.360001
"182","2020-01-28",21.5
"183","2020-01-29",21.870001
"184","2020-01-30",22
"185","2020-01-31",22.049999
"186","2020-02-03",21.860001
"187","2020-02-04",21.24
"188","2020-02-05",22.5
"189","2020-02-06",21.959999
"190","2020-02-07",21.450001
"191","2020-02-10",21.73
"192","2020-02-11",21.73
"193","2020-02-12",21.02
"194","2020-02-13",20.1
"195","2020-02-14",20.98
"196","2020-02-18",21.200001
"197","2020-02-19",20.940001
"198","2020-02-20",20.9
"199","2020-02-21",21.43
"200","2020-02-24",20.51
"201","2020-02-25",19.93
"202","2020-02-26",19.85
"203","2020-02-27",19.620001
"204","2020-02-28",19
"205","2020-03-02",18.780001
"206","2020-03-03",18
"207","2020-03-04",18.5
"208","2020-03-05",18.389999
"209","2020-03-06",20.52
"210","2020-03-09",19.75
"211","2020-03-10",19.9
"212","2020-03-11",19.99
"213","2020-03-12",17.219999
"214","2020-03-13",15.71
"215","2020-03-16",12.91
"216","2020-03-17",12.65
"217","2020-03-18",12.53
"218","2020-03-19",12.97
"219","2020-03-20",12.02
"220","2020-03-23",14
"221","2020-03-24",1.7
"222","2020-03-25",1.95
"223","2020-03-26",2.06
"224","2020-03-27",1.98
"225","2020-03-30",1.87
"226","2020-03-31",1.84
"227","2020-04-01",1.79
"228","2020-04-02",1.78
"229","2020-04-03",1.77
"230","2020-04-06",2.11
"231","2020-04-07",1.9
"232","2020-04-08",1.95
"233","2020-04-09",2.39
"234","2020-04-13",2.7
"235","2020-04-14",2.61
"236","2020-04-15",2.5
"237","2020-04-16",2.33
"238","2020-04-17",2.42
"239","2020-04-20",2.3
"240","2020-04-21",2.19
"241","2020-04-22",2.255
"242","2020-04-23",2.25
"243","2020-04-24",2.26
