"","date","ACRE"
"1","2012-04-27",17.82
"2","2012-04-30",17.98
"3","2012-05-01",18
"4","2012-05-02",17.84
"5","2012-05-03",17.75
"6","2012-05-04",17.530001
"7","2012-05-07",17.5
"8","2012-05-08",17.360001
"9","2012-05-09",16.799999
"10","2012-05-10",16.530001
"11","2012-05-11",16.6
"12","2012-05-14",16.629999
"13","2012-05-15",16.57
"14","2012-05-16",16.5
"15","2012-05-17",16.450001
"16","2012-05-18",16.76
"17","2012-05-21",17
"18","2012-05-22",16.459999
"19","2012-05-23",16.549999
"20","2012-05-24",16.719999
"21","2012-05-25",16.639999
"22","2012-05-29",16.610001
"23","2012-05-30",16.549999
"24","2012-05-31",16.49
"25","2012-06-01",16.35
"26","2012-06-04",16.57
"27","2012-06-05",16.799999
"28","2012-06-06",17.17
"29","2012-06-07",17.5
"30","2012-06-08",17.32
"31","2012-06-11",17.309999
"32","2012-06-12",17.450001
"33","2012-06-13",17.5
"34","2012-06-14",17.5
"35","2012-06-15",17.98
"36","2012-06-18",17.52
"37","2012-06-19",17.33
"38","2012-06-20",17.629999
"39","2012-06-21",17.120001
"40","2012-06-22",17.41
"41","2012-06-25",17.09
"42","2012-06-26",17.030001
"43","2012-06-27",17.200001
"44","2012-06-28",17.200001
"45","2012-06-29",17.48
"46","2012-07-02",17.379999
"47","2012-07-03",17.35
"48","2012-07-05",17.200001
"49","2012-07-06",16.92
"50","2012-07-09",16.91
"51","2012-07-10",17.17
"52","2012-07-11",16.85
"53","2012-07-12",16.780001
"54","2012-07-13",16.959999
"55","2012-07-16",16.790001
"56","2012-07-17",16.790001
"57","2012-07-18",16.74
"58","2012-07-19",16.85
"59","2012-07-20",16.83
"60","2012-07-23",16.74
"61","2012-07-24",16.889999
"62","2012-07-25",16.700001
"63","2012-07-26",16.75
"64","2012-07-27",16.790001
"65","2012-07-30",16.719999
"66","2012-07-31",16.74
"67","2012-08-01",16.51
"68","2012-08-02",16.76
"69","2012-08-03",16.83
"70","2012-08-06",16.77
"71","2012-08-07",16.75
"72","2012-08-08",16.68
"73","2012-08-09",16.76
"74","2012-08-10",16.76
"75","2012-08-13",16.690001
"76","2012-08-14",16.48
"77","2012-08-15",16.639999
"78","2012-08-16",16.530001
"79","2012-08-17",16.389999
"80","2012-08-20",16.42
"81","2012-08-21",16.42
"82","2012-08-22",16.309999
"83","2012-08-23",16.370001
"84","2012-08-24",16.49
"85","2012-08-27",16.360001
"86","2012-08-28",16.51
"87","2012-08-29",16.610001
"88","2012-08-30",16.66
"89","2012-08-31",16.84
"90","2012-09-04",17
"91","2012-09-05",16.98
"92","2012-09-06",17.17
"93","2012-09-07",16.98
"94","2012-09-10",17.129999
"95","2012-09-11",17.139999
"96","2012-09-12",17.07
"97","2012-09-13",17.379999
"98","2012-09-14",17.389999
"99","2012-09-17",17.49
"100","2012-09-18",17.559999
"101","2012-09-19",17.620001
"102","2012-09-20",17.52
"103","2012-09-21",17.41
"104","2012-09-24",17.51
"105","2012-09-25",17
"106","2012-09-26",17.1
"107","2012-09-27",17.110001
"108","2012-09-28",17.059999
"109","2012-10-01",17.059999
"110","2012-10-02",17.08
"111","2012-10-03",17.030001
"112","2012-10-04",16.969999
"113","2012-10-05",17.02
"114","2012-10-08",17.08
"115","2012-10-09",16.93
"116","2012-10-10",16.809999
"117","2012-10-11",16.809999
"118","2012-10-12",16.83
"119","2012-10-15",16.969999
