"","date","ELTK"
"1","2007-01-03",19.75
"2","2007-01-04",19.950001
"3","2007-01-05",19.700001
"4","2007-01-08",20.35
"5","2007-01-09",21.5
"6","2007-01-10",21.450001
"7","2007-01-11",21.200001
"8","2007-01-12",20.75
"9","2007-01-16",20.6
"10","2007-01-17",20.9
"11","2007-01-18",20.4
"12","2007-01-19",20
"13","2007-01-22",20.6
"14","2007-01-23",20.799999
"15","2007-01-24",21.1
"16","2007-01-25",20.700001
"17","2007-01-26",20.799999
"18","2007-01-29",21.15
"19","2007-01-30",21.450001
"20","2007-01-31",21.25
"21","2007-02-01",20.85
"22","2007-02-02",21.950001
"23","2007-02-05",21.75
"24","2007-02-06",21.35
"25","2007-02-07",22.25
"26","2007-02-08",22.25
"27","2007-02-09",22
"28","2007-02-12",21.75
"29","2007-02-13",21.9
"30","2007-02-14",21.85
"31","2007-02-15",21.65
"32","2007-02-16",21.75
"33","2007-02-20",21.75
"34","2007-02-21",21.75
"35","2007-02-22",21.299999
"36","2007-02-23",21.450001
"37","2007-02-26",21.299999
"38","2007-02-27",19.9
"39","2007-02-28",19.950001
"40","2007-03-01",19.9
"41","2007-03-02",19.549999
"42","2007-03-05",19
"43","2007-03-06",19.299999
"44","2007-03-07",19.9
"45","2007-03-08",20
"46","2007-03-09",19.6
"47","2007-03-12",20.35
"48","2007-03-13",20.4
"49","2007-03-14",21.35
"50","2007-03-15",21.950001
"51","2007-03-16",21.9
"52","2007-03-19",21.799999
"53","2007-03-20",22
"54","2007-03-21",21.950001
"55","2007-03-22",22
"56","2007-03-23",22
"57","2007-03-26",21.950001
"58","2007-03-27",21.25
"59","2007-03-28",21.450001
"60","2007-03-29",21.549999
"61","2007-03-30",21.450001
"62","2007-04-02",20.75
"63","2007-04-03",20.85
"64","2007-04-04",20.799999
"65","2007-04-05",20.6
"66","2007-04-09",20.65
"67","2007-04-10",21.35
"68","2007-04-11",20.799999
"69","2007-04-12",20.799999
"70","2007-04-13",20.9
"71","2007-04-16",21
"72","2007-04-17",21.1
"73","2007-04-18",21.799999
"74","2007-04-19",21.799999
"75","2007-04-20",22
"76","2007-04-23",21.950001
"77","2007-04-24",22.35
"78","2007-04-25",22.4
"79","2007-04-26",22.5
"80","2007-04-27",22.35
"81","2007-04-30",22.15
"82","2007-05-01",22.9
"83","2007-05-02",22.4
"84","2007-05-03",22.4
"85","2007-05-04",22.450001
"86","2007-05-07",22.35
"87","2007-05-08",22
"88","2007-05-09",22.450001
"89","2007-05-10",22.4
"90","2007-05-11",22.200001
"91","2007-05-14",22
"92","2007-05-15",22.1
"93","2007-05-16",22.200001
"94","2007-05-17",22.200001
"95","2007-05-18",22.35
"96","2007-05-21",22.5
"97","2007-05-22",23.35
"98","2007-05-23",23.1
"99","2007-05-24",22.799999
"100","2007-05-25",22.799999
"101","2007-05-29",22.299999
"102","2007-05-30",22.200001
"103","2007-05-31",22.25
"104","2007-06-01",22.85
"105","2007-06-04",22.700001
"106","2007-06-05",21.799999
"107","2007-06-06",21.950001
"108","2007-06-07",21.200001
"109","2007-06-08",22.200001
"110","2007-06-11",21.5
"111","2007-06-12",22
"112","2007-06-13",22
"113","2007-06-14",21.799999
"114","2007-06-15",21.700001
