"","date","ORTX"
"1","2018-10-31",14
"2","2018-11-01",13.89
"3","2018-11-02",14
"4","2018-11-05",14.09
"5","2018-11-06",14.55
"6","2018-11-07",14.6
"7","2018-11-08",14.48
"8","2018-11-09",14.6
"9","2018-11-12",14.5
"10","2018-11-13",14.55
"11","2018-11-14",15.71
"12","2018-11-15",16.84
"13","2018-11-16",18.700001
"14","2018-11-19",16
"15","2018-11-20",16.65
"16","2018-11-21",16.040001
"17","2018-11-23",16.76
"18","2018-11-26",16.950001
"19","2018-11-27",16.4
"20","2018-11-28",15.64
"21","2018-11-29",15.15
"22","2018-11-30",15.06
"23","2018-12-03",15.24
"24","2018-12-04",14.8
"25","2018-12-06",15.98
"26","2018-12-07",15.09
"27","2018-12-10",15.56
"28","2018-12-11",15.56
"29","2018-12-12",15.26
"30","2018-12-13",15
"31","2018-12-14",14.56
"32","2018-12-17",14.3
"33","2018-12-18",14.2
"34","2018-12-19",13.35
"35","2018-12-20",12.4
"36","2018-12-21",13.2
"37","2018-12-24",13
"38","2018-12-26",13.3
"39","2018-12-27",12.51
"40","2018-12-28",13.03
"41","2018-12-31",15.73
"42","2019-01-02",14.98
"43","2019-01-03",14.5
"44","2019-01-04",15
"45","2019-01-07",14.75
"46","2019-01-08",16.139999
"47","2019-01-09",14.9
"48","2019-01-10",14.7
"49","2019-01-11",14.24
"50","2019-01-14",12.85
"51","2019-01-15",13
"52","2019-01-16",12.54
"53","2019-01-17",12.8
"54","2019-01-18",13.32
"55","2019-01-22",12.9
"56","2019-01-23",12.25
"57","2019-01-24",13.2
"58","2019-01-25",12.05
"59","2019-01-28",12.59
"60","2019-01-29",12.01
"61","2019-01-30",12.29
"62","2019-01-31",12.68
"63","2019-02-01",12.86
"64","2019-02-04",12.61
"65","2019-02-05",13
"66","2019-02-06",13.46
"67","2019-02-07",13.54
"68","2019-02-08",14
"69","2019-02-11",14.7
"70","2019-02-12",14.65
"71","2019-02-13",14.43
"72","2019-02-14",14.4
"73","2019-02-15",15.25
"74","2019-02-19",16.469999
"75","2019-02-20",15.97
"76","2019-02-21",15.61
"77","2019-02-22",15.78
"78","2019-02-25",17.52
"79","2019-02-26",16.26
"80","2019-02-27",16.629999
"81","2019-02-28",17.15
"82","2019-03-01",16.889999
"83","2019-03-04",17
"84","2019-03-05",16.860001
"85","2019-03-06",16.75
"86","2019-03-07",15.9
"87","2019-03-08",15.17
"88","2019-03-11",15.17
"89","2019-03-12",15.22
"90","2019-03-13",14.92
"91","2019-03-14",14.9
"92","2019-03-15",16.25
"93","2019-03-18",17.200001
"94","2019-03-19",17
"95","2019-03-20",17.280001
"96","2019-03-21",17
"97","2019-03-22",16.85
"98","2019-03-25",16.6
"99","2019-03-26",19.49
"100","2019-03-27",17.700001
"101","2019-03-28",16.969999
"102","2019-03-29",17.879999
"103","2019-04-01",18.559999
"104","2019-04-02",18.6
"105","2019-04-03",19.35
"106","2019-04-04",20.18
"107","2019-04-05",19.309999
"108","2019-04-08",19.879999
"109","2019-04-09",19.48
"110","2019-04-10",20.629999
"111","2019-04-11",19.25
"112","2019-04-12",20.040001
"113","2019-04-15",19.91
"114","2019-04-16",19.26
"115","2019-04-17",18.51
