"","date","BKEPP"
"1","2012-03-05",8.99
"2","2012-03-06",8.21
"3","2012-03-07",8.61
"4","2012-03-08",8.6
"5","2012-03-09",8.6
"6","2012-03-12",9
"7","2012-03-13",9.25
"8","2012-03-14",8.85
"9","2012-03-15",9.2
"10","2012-03-16",9
"11","2012-03-19",9
"12","2012-03-20",9
"13","2012-03-21",9
"14","2012-03-22",8.65
"15","2012-03-23",8.6
"16","2012-03-26",8.43
"17","2012-03-27",8.5
"18","2012-03-28",8.45
"19","2012-03-29",8.35
"20","2012-03-30",8.37
"21","2012-04-02",8.4
"22","2012-04-03",8.4
"23","2012-04-04",8.4
"24","2012-04-05",8.7
"25","2012-04-09",8.95
"26","2012-04-10",8.95
"27","2012-04-11",8.95
"28","2012-04-12",8.95
"29","2012-04-13",8.95
"30","2012-04-16",8.95
"31","2012-04-17",8.95
"32","2012-04-18",8.91
"33","2012-04-19",8.91
"34","2012-04-20",8.9
"35","2012-04-23",8.9
"36","2012-04-24",8.65
"37","2012-04-25",8.95
"38","2012-04-26",8.95
"39","2012-04-27",8.7
"40","2012-04-30",8.7
"41","2012-05-01",9
"42","2012-05-02",9.2
"43","2012-05-03",9.2
"44","2012-05-04",8.9
"45","2012-05-07",8.65
"46","2012-05-08",8.65
"47","2012-05-09",8.95
"48","2012-05-10",8.95
"49","2012-05-11",8.77
"50","2012-05-14",8.77
"51","2012-05-15",9.05
"52","2012-05-16",8.9
"53","2012-05-17",8.75
"54","2012-05-18",8.75
"55","2012-05-21",8.7
"56","2012-05-22",8.7
"57","2012-05-23",8.7
"58","2012-05-24",8.65
"59","2012-05-25",8.65
"60","2012-05-29",8.69
"61","2012-05-30",8.7
"62","2012-05-31",8.5
"63","2012-06-01",8.5
"64","2012-06-04",8.4
"65","2012-06-05",8.5
"66","2012-06-06",8.32
"67","2012-06-07",8.33
"68","2012-06-08",8.33
"69","2012-06-11",8.75
"70","2012-06-12",8.54
"71","2012-06-13",8.35
"72","2012-06-14",8.32
"73","2012-06-15",8.34
"74","2012-06-18",8.33
"75","2012-06-19",8.33
"76","2012-06-20",8.6
"77","2012-06-21",8.5
"78","2012-06-22",8.32
"79","2012-06-25",8.5
"80","2012-06-26",8.5
"81","2012-06-27",8.5
"82","2012-06-28",8.85
"83","2012-06-29",8.85
"84","2012-07-02",8.85
"85","2012-07-03",8.5
"86","2012-07-05",8.4
"87","2012-07-06",8.5
"88","2012-07-09",8.5
"89","2012-07-10",8.5
"90","2012-07-11",8.48
"91","2012-07-12",8.48
"92","2012-07-13",8.8
"93","2012-07-16",8.8
"94","2012-07-17",8.6
"95","2012-07-18",8.8
"96","2012-07-19",8.82
"97","2012-07-20",8.6
"98","2012-07-23",8.84
"99","2012-07-24",8.82
"100","2012-07-25",8.72
"101","2012-07-26",8.8
"102","2012-07-27",8.8
"103","2012-07-30",8.75
"104","2012-07-31",8.9
"105","2012-08-01",8.9
"106","2012-08-02",8.91
"107","2012-08-03",8.74
"108","2012-08-06",8.75
"109","2012-08-07",8.75
"110","2012-08-08",8.72
"111","2012-08-09",8.72
"112","2012-08-10",8.75
"113","2012-08-13",8.75
"114","2012-08-14",8.72
"115","2012-08-15",8.31
"116","2012-08-16",8.75
"117","2012-08-17",8.31
"118","2012-08-20",8.35
"119","2012-08-21",8.4
"120","2012-08-22",8.5
"121","2012-08-23",8.6
"122","2012-08-24",8.6
"123","2012-08-27",8.75
"124","2012-08-28",8.75
"125","2012-08-29",8.57
"126","2012-08-30",8.6
"127","2012-08-31",8.65
"128","2012-09-04",8.65
"129","2012-09-05",8.85
"130","2012-09-06",8.8
"131","2012-09-07",8.75
"132","2012-09-10",8.7
"133","2012-09-11",8.7
"134","2012-09-12",8.6
"135","2012-09-13",8.6
"136","2012-09-14",8.6
"137","2012-09-17",8.59
"138","2012-09-18",8.59
"139","2012-09-19",8.7
"140","2012-09-20",8.7
"141","2012-09-21",8.55
"142","2012-09-24",8.55
"143","2012-09-25",8.55
"144","2012-09-26",8.65
"145","2012-09-27",8.65
"146","2012-09-28",8.7
"147","2012-10-01",8.55
"148","2012-10-02",8.55
"149","2012-10-03",8.68
"150","2012-10-04",8.74
"151","2012-10-05",8.74
"152","2012-10-08",8.55
"153","2012-10-09",8.55
"154","2012-10-10",8.75
"155","2012-10-11",8.55
"156","2012-10-12",8.5
"157","2012-10-15",8.5
"158","2012-10-16",8.6
"159","2012-10-17",8.6
"160","2012-10-18",8.55
"161","2012-10-19",8.57
"162","2012-10-22",8.55
"163","2012-10-23",8.55
"164","2012-10-24",8.65
"165","2012-10-25",8.6
"166","2012-10-26",8.65
"167","2012-10-31",8.5
"168","2012-11-01",8.6
"169","2012-11-02",8.63
"170","2012-11-05",8.52
"171","2012-11-06",8.52
"172","2012-11-07",8.52
"173","2012-11-08",8.33
"174","2012-11-09",8.63
"175","2012-11-12",8.63
"176","2012-11-13",8.55
"177","2012-11-14",8.63
"178","2012-11-15",8.65
"179","2012-11-16",8.61
"180","2012-11-19",8.51
"181","2012-11-20",8.5
"182","2012-11-21",8.3
"183","2012-11-23",8.3
"184","2012-11-26",8.31
"185","2012-11-27",8.5
"186","2012-11-28",8.38
"187","2012-11-29",8.38
"188","2012-11-30",8.38
"189","2012-12-03",8.37
"190","2012-12-04",8.35
"191","2012-12-05",8.35
"192","2012-12-06",8.35
"193","2012-12-07",8.35
"194","2012-12-10",8.31
"195","2012-12-11",8.39
"196","2012-12-12",8.39
"197","2012-12-13",8.4
"198","2012-12-14",8.47
"199","2012-12-17",8.5
"200","2012-12-18",8.55
"201","2012-12-19",8.73
"202","2012-12-20",8.75
"203","2012-12-21",8.75
"204","2012-12-24",8.51
"205","2012-12-26",8.51
"206","2012-12-27",8.51
"207","2012-12-28",8.51
"208","2012-12-31",8.6
"209","2013-01-02",8.46
"210","2013-01-03",8.65
"211","2013-01-04",8.5
"212","2013-01-07",8.5
"213","2013-01-08",8.5
"214","2013-01-09",8.59
"215","2013-01-10",8.64
"216","2013-01-11",8.52
"217","2013-01-14",8.52
"218","2013-01-15",8.6
"219","2013-01-16",8.6
"220","2013-01-17",8.65
"221","2013-01-18",8.7
"222","2013-01-22",8.65
"223","2013-01-23",8.73
"224","2013-01-24",8.65
"225","2013-01-25",8.65
"226","2013-01-28",8.85
"227","2013-01-29",8.85
"228","2013-01-30",8.85
"229","2013-01-31",8.7
"230","2013-02-01",8.8
"231","2013-02-04",8.68
"232","2013-02-05",8.73
"233","2013-02-06",8.73
"234","2013-02-07",8.85
"235","2013-02-08",8.75
"236","2013-02-11",8.79
"237","2013-02-12",8.85
"238","2013-02-13",8.8
"239","2013-02-14",8.79
"240","2013-02-15",8.79
"241","2013-02-19",8.75
"242","2013-02-20",8.75
"243","2013-02-21",8.84
"244","2013-02-22",8.99
"245","2013-02-25",8.77
"246","2013-02-26",8.77
"247","2013-02-27",8.77
"248","2013-02-28",8.65
"249","2013-03-01",9
"250","2013-03-04",9.1
"251","2013-03-05",9.1
"252","2013-03-06",8.98
"253","2013-03-07",9.05
"254","2013-03-08",9.08
"255","2013-03-11",9.05
"256","2013-03-12",9.12
"257","2013-03-13",9.13
"258","2013-03-14",9.1
"259","2013-03-15",9.1
"260","2013-03-18",9.08
"261","2013-03-19",8.91
"262","2013-03-20",8.91
"263","2013-03-21",9.13
"264","2013-03-22",9
"265","2013-03-25",8.9
"266","2013-03-26",9
