"","date","GLBS"
"1","2008-03-11",141760
"2","2008-03-12",141760
"3","2008-03-13",141760
"4","2008-03-14",141760
"5","2008-03-17",141760
"6","2008-03-18",141760
"7","2008-03-19",141760
"8","2008-03-20",141760
"9","2008-03-24",141760
"10","2008-03-25",141760
"11","2008-03-26",141760
"12","2008-03-27",141760
"13","2008-03-28",141760
"14","2008-03-31",141760
"15","2008-04-01",141760
"16","2008-04-02",141760
"17","2008-04-03",141760
"18","2008-04-04",141760
"19","2008-04-07",141760
"20","2008-04-08",141760
"21","2008-04-09",141760
"22","2008-04-10",141760
"23","2008-04-11",141760
"24","2008-04-14",141760
"25","2008-04-15",141760
"26","2008-04-16",141760
"27","2008-04-17",141760
"28","2008-04-18",141760
"29","2008-04-21",141760
"30","2008-04-22",141760
"31","2008-04-23",141760
"32","2008-04-24",141760
"33","2008-04-25",141760
"34","2008-04-28",141760
"35","2008-04-29",141760
"36","2008-04-30",141760
"37","2008-05-01",141760
"38","2008-05-02",141760
"39","2008-05-05",141760
"40","2008-05-06",141760
"41","2008-05-07",141760
"42","2008-05-08",141760
"43","2008-05-09",141760
"44","2008-05-12",141760
"45","2008-05-13",141760
"46","2008-05-14",141760
"47","2008-05-15",176000
"48","2008-05-16",176000
"49","2008-05-19",176000
"50","2008-05-20",176000
"51","2008-05-21",176000
"52","2008-05-22",176000
"53","2008-05-23",176000
"54","2008-05-27",176000
"55","2008-05-28",176000
"56","2008-05-29",176000
"57","2008-05-30",176000
"58","2008-06-02",176000
"59","2008-06-03",176000
"60","2008-06-04",176000
"61","2008-06-05",176000
"62","2008-06-06",176000
"63","2008-06-09",176000
"64","2008-06-10",176000
"65","2008-06-11",176000
"66","2008-06-12",176000
"67","2008-06-13",176000
"68","2008-06-16",176000
"69","2008-06-17",176000
"70","2008-06-18",176000
"71","2008-06-19",176000
"72","2008-06-20",176000
"73","2008-06-23",176000
"74","2008-06-24",176000
"75","2008-06-25",176000
"76","2008-06-26",176000
"77","2008-06-27",176000
"78","2008-06-30",176000
"79","2008-07-01",176000
"80","2008-07-02",176000
"81","2008-07-03",176000
"82","2008-07-07",176000
"83","2008-07-08",176000
"84","2008-07-09",176000
"85","2008-07-10",176000
"86","2008-07-11",176000
"87","2008-07-14",176000
"88","2008-07-15",176000
"89","2008-07-16",176000
"90","2008-07-17",176000
"91","2008-07-18",176000
"92","2008-07-21",176000
"93","2008-07-22",176000
"94","2008-07-23",176000
"95","2008-07-24",176000
"96","2008-07-25",176000
"97","2008-07-28",176000
"98","2008-07-29",176000
"99","2008-07-30",176000
"100","2008-07-31",176000
"101","2008-08-01",176000
"102","2008-08-04",176000
"103","2008-08-05",176000
"104","2008-08-06",176000
"105","2008-08-07",176000
"106","2008-08-08",176000
"107","2008-08-11",176000
"108","2008-08-12",176000
"109","2008-08-13",176000
"110","2008-08-14",176000
"111","2008-08-15",176000
"112","2008-08-18",176000
"113","2008-08-19",176000
"114","2008-08-20",176000
"115","2008-08-21",176000
"116","2008-08-22",176000
"117","2008-08-25",176000
"118","2008-08-26",176000
"119","2008-08-27",176000
"120","2008-08-28",176000
"121","2008-08-29",176000
"122","2008-09-02",124000
"123","2008-09-03",124000
"124","2008-09-04",124000
"125","2008-09-05",124000
"126","2008-09-08",124000
"127","2008-09-09",124000
"128","2008-09-10",124000
"129","2008-09-11",124000
"130","2008-09-12",124000
"131","2008-09-15",124000
"132","2008-09-16",124000
"133","2008-09-17",124000
"134","2008-09-18",124000
"135","2008-09-19",124000
"136","2008-09-22",124000
"137","2008-09-23",124000
"138","2008-09-24",124000
"139","2008-09-25",124000
"140","2008-09-26",124000
