"","date","MIC"
"1","2007-01-03",36.25
"2","2007-01-04",36.040001
"3","2007-01-05",35.919998
"4","2007-01-08",35.549999
"5","2007-01-09",36.240002
"6","2007-01-10",36
"7","2007-01-11",35.849998
"8","2007-01-12",34.880001
"9","2007-01-16",35.200001
"10","2007-01-17",35.650002
"11","2007-01-18",35.459999
"12","2007-01-19",35.700001
"13","2007-01-22",36.02
"14","2007-01-23",35.580002
"15","2007-01-24",35.77
"16","2007-01-25",35.970001
"17","2007-01-26",35.720001
"18","2007-01-29",35.900002
"19","2007-01-30",36.25
"20","2007-01-31",36.669998
"21","2007-02-01",37.040001
"22","2007-02-02",36.639999
"23","2007-02-05",36.68
"24","2007-02-06",36.93
"25","2007-02-07",37.529999
"26","2007-02-08",37.919998
"27","2007-02-09",38.299999
"28","2007-02-12",37.970001
"29","2007-02-13",38.060001
"30","2007-02-14",38.119999
"31","2007-02-15",39.130001
"32","2007-02-16",38.830002
"33","2007-02-20",38.900002
"34","2007-02-21",39.02
"35","2007-02-22",39.25
"36","2007-02-23",39.25
"37","2007-02-26",39.27
"38","2007-02-27",38.669998
"39","2007-02-28",38.5
"40","2007-03-01",37.779999
"41","2007-03-02",36.509998
"42","2007-03-05",36.900002
"43","2007-03-06",36.27
"44","2007-03-07",36.509998
"45","2007-03-08",37.07
"46","2007-03-09",37.009998
"47","2007-03-12",37.189999
"48","2007-03-13",36.169998
"49","2007-03-14",36.279999
"50","2007-03-15",36.91
"51","2007-03-16",37.150002
"52","2007-03-19",37.810001
"53","2007-03-20",39.119999
"54","2007-03-21",38.950001
"55","2007-03-22",39.200001
"56","2007-03-23",39
"57","2007-03-26",38.700001
"58","2007-03-27",38.779999
"59","2007-03-28",38.900002
"60","2007-03-29",38.880001
"61","2007-03-30",39.299999
"62","2007-04-02",39.049999
"63","2007-04-03",39.5
"64","2007-04-04",39.880001
"65","2007-04-05",41
"66","2007-04-09",40.900002
"67","2007-04-10",41.27
"68","2007-04-11",41.189999
"69","2007-04-12",41.150002
"70","2007-04-13",41.5
"71","2007-04-16",41.16
"72","2007-04-17",41.23
"73","2007-04-18",41.400002
"74","2007-04-19",40.860001
"75","2007-04-20",41.189999
"76","2007-04-23",40.59
"77","2007-04-24",40.310001
"78","2007-04-25",41.5
"79","2007-04-26",41.959999
"80","2007-04-27",42.07
"81","2007-04-30",42.580002
"82","2007-05-01",42.849998
"83","2007-05-02",43.279999
"84","2007-05-03",43.169998
"85","2007-05-04",43.689999
"86","2007-05-07",44
"87","2007-05-08",44.200001
"88","2007-05-09",42.830002
"89","2007-05-10",43.32
"90","2007-05-11",44.099998
"91","2007-05-14",44.509998
"92","2007-05-15",43.91
"93","2007-05-16",44
"94","2007-05-17",43.450001
"95","2007-05-18",43.490002
"96","2007-05-21",43.150002
"97","2007-05-22",43.310001
"98","2007-05-23",43.209999
"99","2007-05-24",43.240002
"100","2007-05-25",43.5
"101","2007-05-29",43.630001
"102","2007-05-30",44.68
"103","2007-05-31",44.610001
"104","2007-06-01",44.200001
"105","2007-06-04",44.220001
"106","2007-06-05",43.650002
"107","2007-06-06",43.880001
"108","2007-06-07",43.18
"109","2007-06-08",42.82
"110","2007-06-11",43.700001
"111","2007-06-12",43.580002
"112","2007-06-13",43.540001
"113","2007-06-14",43.619999
"114","2007-06-15",44.130001
"115","2007-06-18",44.490002
"116","2007-06-19",44.860001
"117","2007-06-20",43.790001
"118","2007-06-21",44.049999
"119","2007-06-22",43.880001
"120","2007-06-25",42.709999
"121","2007-06-26",41.610001
"122","2007-06-27",42.189999
"123","2007-06-28",40.990002
"124","2007-06-29",41.48
"125","2007-07-02",41.25
"126","2007-07-03",41.450001
"127","2007-07-05",41.080002
"128","2007-07-06",41.040001
"129","2007-07-09",41.27
"130","2007-07-10",41.060001
"131","2007-07-11",41.09
"132","2007-07-12",41.759998
"133","2007-07-13",41.5
"134","2007-07-16",41.43
"135","2007-07-17",41.400002
"136","2007-07-18",41.48
"137","2007-07-19",41.450001
"138","2007-07-20",41.529999
"139","2007-07-23",41.209999
"140","2007-07-24",40.950001
"141","2007-07-25",41.040001
"142","2007-07-26",41.139999
"143","2007-07-27",41.07
"144","2007-07-30",40.32
"145","2007-07-31",39.790001
"146","2007-08-01",38.439999
"147","2007-08-02",40.439999
"148","2007-08-03",40.25
"149","2007-08-06",39.450001
"150","2007-08-07",42.130001
"151","2007-08-08",43.900002
"152","2007-08-09",44.029999
