"","date","BORR"
"1","2019-07-30",9.445
"2","2019-07-31",9.77
"3","2019-08-01",9.38
"4","2019-08-02",8.89
"5","2019-08-05",8.01
"6","2019-08-06",7.58
"7","2019-08-07",6.95
"8","2019-08-08",7.22
"9","2019-08-09",6.96
"10","2019-08-12",6.59
"11","2019-08-13",6.72
"12","2019-08-14",6.18
"13","2019-08-15",5.235
"14","2019-08-16",5.36
"15","2019-08-19",5.57
"16","2019-08-20",5.38
"17","2019-08-21",5.36
"18","2019-08-22",5.41
"19","2019-08-23",5.055
"20","2019-08-26",5.17
"21","2019-08-27",5.24
"22","2019-08-28",5.21
"23","2019-08-29",5.12
"24","2019-08-30",5.84
"25","2019-09-03",5.19
"26","2019-09-04",5.31
"27","2019-09-05",5.919
"28","2019-09-06",6.25
"29","2019-09-09",6.46
"30","2019-09-10",6.77
"31","2019-09-11",6.9
"32","2019-09-12",6.76
"33","2019-09-13",6.75
"34","2019-09-16",7.34
"35","2019-09-17",6.94
"36","2019-09-18",6.89
"37","2019-09-19",6.45
"38","2019-09-20",5.89
"39","2019-09-23",5.605
"40","2019-09-24",5.37
"41","2019-09-25",5.39
"42","2019-09-26",5
"43","2019-09-27",5.44
"44","2019-09-30",5.14
"45","2019-10-01",5.02
"46","2019-10-02",4.655
"47","2019-10-03",4.75
"48","2019-10-04",4.86
"49","2019-10-07",4.79
"50","2019-10-08",4.7
"51","2019-10-09",5.28
"52","2019-10-10",5.7
"53","2019-10-11",6.15
"54","2019-10-14",5.92
"55","2019-10-15",5.91
"56","2019-10-16",6
"57","2019-10-17",5.99
"58","2019-10-18",6.4
"59","2019-10-21",6.6
"60","2019-10-22",6.43
"61","2019-10-23",6.54
"62","2019-10-24",6.37
"63","2019-10-25",6.58
"64","2019-10-28",6.63
"65","2019-10-29",6.53
"66","2019-10-30",6.6
"67","2019-10-31",6.55
"68","2019-11-01",6.68
"69","2019-11-04",6.84
"70","2019-11-05",6.84
"71","2019-11-06",6.349
"72","2019-11-07",6.46
"73","2019-11-08",6.56
"74","2019-11-11",6.44
"75","2019-11-12",6.42
"76","2019-11-13",6.45
"77","2019-11-14",6.52
"78","2019-11-15",6.51
"79","2019-11-18",6.35
"80","2019-11-19",6.25
"81","2019-11-20",6.34
"82","2019-11-21",6.27
"83","2019-11-22",6.58
"84","2019-11-25",6.6
"85","2019-11-26",6.25
"86","2019-11-27",6.34
"87","2019-11-29",6.37
"88","2019-12-02",6.23
"89","2019-12-03",6.11
"90","2019-12-04",6.4
"91","2019-12-05",6.12
"92","2019-12-06",6.2
"93","2019-12-09",6.614
"94","2019-12-10",6.57
"95","2019-12-11",6.85
"96","2019-12-12",7.18
"97","2019-12-13",8.068
"98","2019-12-16",8.69
"99","2019-12-17",8.75
"100","2019-12-18",8.585
"101","2019-12-19",8.66
"102","2019-12-20",8.385
"103","2019-12-23",8.4
"104","2019-12-24",8.55
"105","2019-12-26",8.61
"106","2019-12-27",8.74
"107","2019-12-30",8.68
"108","2019-12-31",9.05
"109","2020-01-02",8.87
"110","2020-01-03",8.87
"111","2020-01-06",9.12
"112","2020-01-07",8.99
"113","2020-01-08",8.33
"114","2020-01-09",8.232
"115","2020-01-10",7.65
"116","2020-01-13",7.731
"117","2020-01-14",8.06
"118","2020-01-15",8.07
"119","2020-01-16",7.91
"120","2020-01-17",7.74
"121","2020-01-21",7.703
"122","2020-01-22",7.41
"123","2020-01-23",7.1
"124","2020-01-24",6.9
"125","2020-01-27",6.74
"126","2020-01-28",6.38
"127","2020-01-29",6.15
"128","2020-01-30",5.665
"129","2020-01-31",5.29
"130","2020-02-03",5.1
